index,City,State,population,minimum_age_x,minimum_age_y,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Employed,Unemployment,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Mean,Median,Stdev
213,Albany,OR,2542408,0.0,80.0,6.9,82.3,0.9,0.6,6.1,0.3,22.3,15.1,49.4,18.7,18.1,6.6,7.3,39915,8.6,65.4,8.4,2.1,7.1,9.4,7.6,19.5,64.8,28.4,6.7,0.1,49802.0,1596.0,27888.0,764.0,52950.0,49922.25,35298.5
239,Albion,NE,124476,0.0,80.0,1.7,97.8,0.1,0.0,0.1,0.1,10.1,11.7,35.6,17.5,18.5,16.1,12.3,2777,1.2,77.0,7.5,0.0,4.7,1.0,9.8,17.0,72.7,11.8,15.6,0.0,50306.0,3055.0,27799.0,1872.0,52167.5,41261.0,45137.0
247,Albrightsville,PA,360844,0.0,80.0,3.9,92.8,1.3,0.1,0.5,0.0,10.9,19.6,27.2,18.9,22.6,12.2,19.0,28973,8.6,82.9,7.5,0.4,3.0,2.6,3.6,31.7,83.8,11.3,4.8,0.1,49973.0,1462.0,25398.0,1109.0,48035.0,37088.0,39256.0
248,Albuquerque,NM,27745476,0.0,80.0,48.7,40.4,2.5,3.9,2.2,0.1,19.4,27.2,40.3,19.9,23.5,8.6,7.8,307756,8.4,79.9,9.4,1.8,2.0,2.6,4.1,21.6,74.0,20.1,5.6,0.2,47725.0,789.0,26765.0,356.0,63773.38983050847,97945.81355932204,46159.627118644064
284,Alexander City,AL,894784,0.0,80.0,2.8,73.6,21.0,0.2,0.5,0.0,13.6,20.5,33.3,16.0,25.2,9.6,15.9,33636,8.3,87.1,9.0,0.1,0.4,1.2,2.2,28.5,70.4,24.1,5.5,0.0,53555.0,1980.0,24381.0,941.0,40286.0,31306.0,39643.0
287,Alexandria,KY,715704,0.0,80.0,1.8,92.5,3.2,0.1,0.8,0.0,14.6,20.5,38.3,15.7,26.9,7.7,11.5,45872,6.8,82.6,7.8,2.2,3.4,1.1,2.9,22.1,83.9,12.2,3.8,0.0,54621.0,1722.0,28248.0,782.0,94952.0,87871.0,64029.5
313,Alice,TX,1244584,0.0,80.0,88.5,10.0,0.9,0.2,0.4,0.0,23.9,36.2,18.1,24.4,21.9,22.9,12.6,4336,10.9,70.0,19.3,0.0,5.7,1.7,3.3,26.9,76.0,17.2,6.4,0.3,33939.0,5080.0,20752.0,2417.0,53805.0,30317.5,47613.0
314,Aliceville,AL,213092,0.0,80.0,0.4,24.8,72.4,0.4,1.7,0.0,42.7,57.1,23.8,29.9,19.7,7.1,19.6,4416,16.8,86.2,8.4,0.3,2.8,0.3,2.0,24.3,71.1,23.8,5.1,0.0,19501.0,2420.0,12887.0,809.0,31491.0,22086.0,31526.5
336,Allen,TX,4091912,0.0,80.0,15.0,60.8,8.9,0.3,12.4,0.1,7.6,9.5,52.1,11.8,25.2,5.2,5.7,444189,4.9,81.6,7.2,1.1,0.8,1.4,7.8,28.2,84.1,10.0,5.8,0.2,84735.0,1217.0,38883.0,427.0,108175.6,181360.2,57907.2
362,Alliance,NE,434632,0.0,80.0,4.2,82.9,0.4,9.1,0.5,0.0,16.5,29.5,42.2,16.3,20.4,14.8,6.4,2564,1.4,71.5,10.3,0.0,9.9,1.4,6.9,18.0,64.4,20.8,14.4,0.5,41985.0,2132.0,23734.0,1766.0,69153.5,53840.0,50231.5
379,Alma,GA,428208,0.0,80.0,9.45,73.3,15.65,0.0,0.6,0.15,40.2,55.3,52.4,27.1,49.7,36.099999999999994,34.599999999999994,10204,11.0,80.3,15.299999999999999,0.45,1.6,0.7,1.7,20.55,76.4,19.15,4.4,0.1,36773.5,2988.0,18397.5,1340.0,49250.0,43668.0,36163.0
388,Alma Center,WI,56672,0.0,80.0,3.1,86.7,2.3,5.4,0.5,0.0,14.6,25.3,26.4,21.8,19.0,13.4,19.4,9294,5.6,79.7,11.1,0.1,2.5,1.3,5.3,22.1,73.0,18.1,8.5,0.4,47851.0,2402.0,23299.0,668.0,55828.0,50237.0,35541.0
390,Almena,WI,63580,0.0,80.0,2.3,94.1,1.3,0.8,0.5,0.0,12.6,17.4,26.6,17.1,20.6,12.2,23.5,22257,6.0,79.2,7.6,0.2,5.5,1.3,6.2,19.6,80.8,10.9,8.1,0.2,45714.0,1117.0,23852.0,587.0,56654.0,47757.0,40319.0
404,Alpena,MI,968484,0.0,80.0,1.1,96.4,0.5,0.4,0.3,0.0,13.7,21.0,27.6,18.7,21.7,14.4,17.6,4490,13.1,79.5,11.7,0.0,2.7,1.6,4.5,24.8,76.8,15.8,6.9,0.5,41213.0,1240.0,23550.0,815.0,54361.8,40435.4,46788.6
411,Alpharetta,GA,7229948,0.0,80.0,7.6,40.4,43.5,0.2,6.3,0.0,17.6,25.2,49.4,15.0,24.1,4.0,7.5,471816,9.9,72.8,8.1,7.0,2.8,1.4,7.9,27.4,83.1,11.5,5.2,0.1,57207.0,835.0,37926.0,541.0,120771.77777777778,129578.88888888889,66102.55555555556
414,Alpine,CA,754072,0.0,80.0,32.9,47.0,4.7,0.4,11.2,0.4,14.5,18.4,40.6,19.7,23.6,7.8,8.4,1462130,8.7,76.0,9.3,3.0,2.9,2.0,6.8,25.0,77.3,14.8,7.7,0.2,64309.0,514.0,31266.0,197.0,91662.0,79440.0,65636.0
464,Altoona,FL,109252,0.0,80.0,13.5,72.3,9.5,0.3,1.8,0.1,13.9,21.1,31.0,21.5,27.6,10.4,9.6,121642,9.7,80.5,11.4,0.3,1.1,1.5,5.3,28.2,81.5,13.1,5.2,0.1,46403.0,1069.0,24236.0,514.0,38781.0,31944.0,32227.0
472,Altus,OK,936056,0.0,80.0,22.4,64.2,7.4,1.1,1.4,0.2,17.0,21.2,25.8,21.8,21.5,15.5,15.4,10388,7.6,81.5,12.7,0.2,2.3,1.2,2.1,15.0,65.1,29.2,5.7,0.1,41560.0,2135.0,21923.0,1265.0,46877.0,39024.0,34332.5
