City,State,Professional,Service,Office,Construction,Production
Carmel,NY,40.7,17.1,25.5,10.7,5.9
Carolina,PR,33.6,19.5,31.3,7.3,8.2
Carpenter,IA,24.7,18.4,23.1,14.2,19.7
Carpenter,SD,34.8,18.0,20.7,16.1,10.5
Carrabelle,FL,28.7,28.1,15.4,17.4,10.3
Carrington,ND,31.6,15.8,21.6,13.5,17.4
Carrollton,VA,36.2,14.5,22.7,13.4,13.2
Carson,MS,21.9,19.8,21.4,12.0,25.0
Carson,ND,47.5,14.9,14.2,11.2,12.3
Carson City,NV,30.2,22.0,25.5,8.1,14.2
Cartersville,GA,29.0,17.1,23.3,13.0,17.5
Cartersville,VA,28.7,20.0,20.7,12.2,18.5
Carthage,AR,19.8,23.0,19.4,13.3,24.6
Carthage,MS,27.1,17.7,19.4,16.5,19.2
Carthage,NC,38.6,20.4,21.2,9.6,10.2
Carthage,NY,29.3,17.3,18.4,17.9,17.0
Cartwright,ND,32.5,11.4,21.8,19.7,14.6
Cascade Locks,OR,35.6,16.3,18.2,15.9,14.0
Casco,WI,29.3,13.6,20.9,15.4,20.8
Cassatt,SC,31.0,17.0,22.9,12.7,16.5
Castalia,NC,31.7,16.5,24.7,13.5,13.5
Castell,TX,23.4,22.2,19.4,25.9,9.1
Castleford,ID,28.4,19.3,23.6,13.5,15.3
Cataldo,ID,31.0,18.4,27.2,11.6,11.9
Cataula,GA,36.6,13.3,25.9,10.0,14.2
Catoosa,OK,32.4,14.5,26.5,12.1,14.6
Cave City,AR,28.2,17.0,20.8,14.6,19.4
Cayce,SC,36.6,15.4,26.0,10.6,11.4
Cayey,PR,32.5,19.6,25.4,9.3,13.2
Cayuga,IN,23.1,16.6,23.8,10.3,26.1
Cecil,GA,25.4,18.8,22.3,10.2,23.4
Cedar Bluff,VA,30.8,12.8,24.8,15.8,15.7
Cedar Falls,NC,26.1,14.6,24.3,10.6,24.4
Cedar Valley,UT,40.3,15.6,26.2,7.6,10.3
Ceiba,PR,23.1,24.3,27.9,11.6,13.1
Centenary,SC,28.4,18.6,21.6,10.1,21.4
Center,NE,34.8,16.9,21.3,14.4,12.6
Center,TX,27.0,16.7,17.5,22.1,16.8
Center Harbor,NH,37.9,16.1,23.7,11.1,11.2
Centerview,MO,30.0,20.9,22.4,12.5,14.1
Centerville,KS,31.7,16.9,22.0,16.0,13.5
Centerville,PA,30.4,18.3,20.6,10.2,20.5
Centerville,TN,24.1,21.1,21.5,14.5,18.8
Central,SC,33.6,17.8,22.7,9.1,16.8
Central Bridge,NY,33.5,18.1,22.9,12.5,13.1
Central City,CO,40.5,21.9,17.9,11.1,8.6
Centralia,IL,27.1,21.9,19.9,8.6,22.5
Centreville,VA,56.1,14.9,19.2,5.5,4.4
Ceres,CA,26.4,18.3,24.2,14.0,17.1
Ceresco,NE,36.3,15.3,25.1,11.1,12.2
Chadwick,IL,28.5,16.7,18.2,10.8,25.9
Challis,ID,29.8,15.4,23.6,21.9,9.4
Chamberlain,SD,38.9,17.5,23.7,12.4,7.5
Chambers,NE,37.2,16.8,14.2,22.3,9.5
Chapel Hill,NC,55.1,16.2,18.0,5.5,5.2
Chapin,SC,38.7,19.6,26.4,5.5,9.8
Chapmansboro,TN,29.5,16.1,24.6,13.0,16.7
Chapmanville,WV,26.3,19.7,21.1,20.3,12.5
Chappell,NE,29.5,14.5,29.3,8.2,18.5
Charleston,SC,39.4,19.6,24.0,7.7,9.3
Charleston,TN,29.1,17.6,24.6,9.2,19.4
Charleston,WV,37.9,17.7,26.9,8.2,9.3
Charlo,MT,34.1,20.8,20.5,14.3,10.2
Charlottesville,VA,49.5,22.6,18.4,4.4,5.1
Chase,LA,28.0,14.3,26.9,20.1,10.6
Chateaugay,NY,31.8,27.0,20.4,9.6,11.2
Chatfield,MN,32.8,18.3,22.9,7.5,18.6
Cherokee,AL,48.7,29.1,45.099999999999994,23.5,53.5
Cherokee,NC,29.0,28.2,22.1,9.9,10.8
Cherokee,TX,26.5,16.7,17.9,21.0,17.9
Cherryvale,KS,32.6,19.2,15.6,12.5,20.1
Chesapeake,VA,39.1,15.3,25.2,9.7,10.7
Chester,IA,29.0,15.7,16.5,14.0,24.8
Chester,PA,41.9,17.2,25.1,6.7,9.1
Chester,TX,25.2,22.6,22.9,15.4,13.9
Chester Gap,VA,32.7,18.2,22.1,16.2,10.7
Chesterland,OH,40.3,14.1,23.5,10.6,11.4
Cheyenne,WY,37.2,16.0,23.9,11.4,11.6
Cheyenne Wells,CO,38.8,12.2,18.6,18.3,12.0
Chicopee,MA,33.5,21.1,25.1,7.6,12.7
Chicora,PA,27.4,18.3,22.1,13.8,18.5
Chiefland,FL,25.1,22.4,23.2,17.7,11.6
Chili,WI,28.6,15.0,17.1,13.9,25.4
Chillicothe,MO,30.4,18.9,22.9,9.0,18.7
Chillicothe,TX,30.6,20.2,15.1,18.7,15.4
Chilton,WI,33.8,12.3,25.2,8.7,20.0
Christiana,TN,34.6,15.1,26.7,8.3,15.3
Christmas Valley,OR,29.8,23.5,15.2,21.2,10.3
Church Hill,TN,25.8,17.5,21.9,12.6,22.2
Ciales,PR,29.6,24.3,19.4,11.1,15.7
Cibolo,TX,34.4,16.1,25.0,10.0,14.6
Cidra,PR,31.2,16.1,28.3,10.5,13.9
Cincinnati,OH,40.1,18.3,24.7,5.7,11.2
Cincinnatus,NY,33.3,20.3,23.7,9.0,13.7
Cisco,TX,30.7,20.6,20.9,12.0,15.8
Claremont,IL,27.7,16.8,22.9,10.4,22.2
Claremont,SD,34.8,12.3,21.6,16.5,14.8
Clarence,MO,27.1,16.1,20.9,16.9,18.9
Clarence,PA,44.6,18.4,20.5,7.0,9.5
Clarendon,TX,32.9,24.9,16.5,14.1,11.6
Clark,SD,38.9,14.7,18.2,16.8,11.4
Clarks Mills,PA,30.4,20.4,23.5,8.4,17.4
Clarksdale,MO,31.9,18.3,24.2,10.8,14.9
Clarkson,NE,28.9,20.3,17.1,13.1,20.4
Clarkston,WA,30.3,20.2,25.7,10.6,13.2
Clay City,IL,25.3,15.8,20.4,11.9,26.5
Clayton,GA,61.5,43.0,47.400000000000006,27.799999999999997,20.5
Clayton,IN,40.0,13.7,25.8,7.9,12.6
Clayton,NM,38.5,21.0,23.4,11.2,5.9
Clayton,OK,30.9,18.8,18.7,17.5,14.1
Cle Elum,WA,32.2,22.2,22.0,11.2,12.4
Clearbrook,MN,26.9,19.3,17.1,19.6,17.2
Cleveland,GA,31.5,18.7,26.5,9.6,13.6
Cleveland,NY,34.9,20.7,23.6,8.1,12.7
Cleveland,OH,39.0,18.4,24.7,5.6,12.3
Cleveland,TX,23.9,14.9,23.4,17.9,19.9
Clifford,VA,28.5,20.5,25.3,10.4,15.3
Clifton,KS,33.6,14.8,27.6,14.2,9.9
Clifton,TX,28.5,18.1,21.8,15.6,16.0
Clifton Forge,VA,29.0,18.5,17.4,14.2,21.0
Clinton,KY,24.2,21.6,17.8,20.1,16.3
Clio,AL,26.8,16.1,23.1,10.8,23.1
Cloquet,MN,30.9,23.3,20.1,10.2,15.5
Clover,SC,36.2,15.4,26.9,8.0,13.5
Cloverdale,OR,25.5,18.7,20.4,16.0,19.4
Cluster Springs,VA,26.6,20.8,22.6,10.5,19.4
Coahoma,TX,28.4,20.2,21.6,14.3,15.5
Coal City,IL,28.9,17.6,24.0,12.7,16.7
Coalgate,OK,31.5,14.4,22.0,19.5,12.6
Coamo,PR,29.2,20.1,22.7,13.8,14.1
Coats,KS,34.3,17.5,20.4,15.7,12.1
Coatsville,MO,30.5,13.0,23.5,15.4,17.6
Coeburn,VA,27.1,22.1,22.3,17.7,10.8
Coffeeville,MS,25.4,15.6,23.9,8.9,26.3
Colby,KS,33.0,19.3,23.7,13.4,10.5
Cold Brook,NY,32.3,19.7,24.1,10.1,13.7
Coldwater,MS,28.9,18.0,22.7,12.0,18.5
Colebrook,NH,31.1,22.4,21.8,11.5,13.2
Coleman,MI,64.5,35.900000000000006,45.2,23.1,31.200000000000003
Collierville,TN,32.4,14.5,25.0,12.4,15.7
Collins,GA,29.6,20.5,23.4,16.0,10.5
Collinston,LA,24.6,20.5,23.4,13.4,18.0
Collison,IL,25.7,20.3,21.6,9.3,23.1
Colonial Heights,VA,35.6,20.0,25.4,9.2,9.9
Colorado City,TX,30.5,20.3,17.3,19.1,12.9
Colt,AR,23.7,21.4,24.1,10.8,20.0
Columbia,CA,33.9,26.4,20.0,11.4,8.3
Columbia,TN,31.3,18.2,26.7,9.6,14.1
Columbia City,IN,26.2,14.6,21.9,8.7,28.6
Columbia Falls,MT,33.3,18.1,25.8,12.9,10.0
Columbiaville,MI,29.2,17.0,22.8,11.5,19.5
Columbus,GA,32.9,20.9,26.8,6.8,12.5
Columbus,IN,39.0,15.3,19.7,6.8,19.2
Columbus,NE,63.2,26.5,42.5,28.1,39.7
Columbus Grove,OH,31.6,15.8,17.6,12.0,22.9
Comanche,OK,28.8,16.6,24.2,14.4,16.0
Comer,GA,31.3,13.4,19.9,14.1,21.4
Comerio,PR,27.3,22.7,26.6,12.2,11.2
Comfort,TX,46.7,15.7,23.2,8.7,5.6
Comfrey,MN,29.6,17.9,20.1,12.3,20.2
Comins,MI,22.3,22.2,24.2,11.2,20.1
Commerce,GA,28.9,15.0,21.2,13.2,21.8
Commerce,OK,26.5,23.7,21.0,12.1,16.7
Commiskey,IN,23.6,16.5,21.8,10.1,27.9
Concord,NE,29.5,17.0,18.3,17.6,17.6
Concord,TX,30.3,14.4,21.2,19.5,14.6
Concrete,WA,31.6,20.0,22.1,12.0,14.2
Conehatta,MS,33.2,16.0,20.8,13.8,16.2
Conley,GA,23.5,21.8,26.5,9.7,18.5
Connellsville,PA,26.5,19.2,23.7,12.0,18.6
Conover,WI,31.2,21.2,25.2,13.9,8.4
Conrad,MT,37.1,19.2,19.5,15.5,8.7
Conroe,TX,38.2,15.8,24.2,10.3,11.5
Converse,IN,29.3,19.6,21.8,7.9,21.4
Conway,NC,27.4,22.3,17.7,10.9,21.6
Conway,SC,28.2,25.6,28.4,10.2,7.5
Conway Springs,KS,30.4,17.9,19.7,11.8,20.3
Cook Station,MO,25.6,19.4,19.5,14.7,20.7
Coon Valley,WI,30.4,17.8,20.6,12.6,18.6
Cooper,IA,33.8,19.0,19.4,11.1,16.6
Coquille,OR,27.0,24.3,22.1,12.0,14.7
Cora,WY,37.9,12.7,12.8,18.4,18.3
Corinth,KY,22.2,17.1,24.7,10.9,25.1
Corinth,ME,35.2,20.6,24.6,9.6,10.1
Cornersville,TN,24.7,16.7,22.6,9.7,26.3
Corning,CA,26.1,21.5,23.4,14.5,14.6
Cornish,NH,35.2,14.1,24.3,9.2,17.3
Corsica,SD,36.3,20.7,13.3,15.7,14.0
Cortez,CO,34.1,20.1,23.7,11.4,10.6
Corunna,IN,26.8,14.1,21.5,8.7,28.9
Corunna,MI,28.2,17.3,23.8,11.4,19.3
Corwith,IA,30.9,13.6,19.6,9.3,26.6
Cosby,TN,46.0,48.1,52.0,20.6,33.2
Coshocton,OH,21.8,18.6,18.4,14.9,26.3
Cost,TX,22.5,17.9,23.3,17.5,18.9
Cotopaxi,CO,26.6,32.2,22.8,10.7,7.6
Cotter,AR,29.2,19.7,23.3,8.5,19.3
Cotton Center,TX,24.5,20.5,20.9,16.6,17.4
Cottonwood Falls,KS,32.3,14.7,21.4,16.1,15.5
Cotulla,TX,25.1,13.8,19.0,24.0,18.1
Couch,MO,23.4,20.4,20.5,12.4,23.4
Coulee City,WA,24.9,16.3,21.9,22.2,14.7
Council,ID,27.9,23.5,20.4,17.0,11.2
Coupeville,WA,35.1,19.3,22.5,13.0,10.1
Courtland,MS,29.7,14.2,24.1,7.9,24.1
Cove City,NC,32.6,21.0,22.2,12.6,11.7
Covington,GA,32.3,17.0,25.1,9.8,15.8
Covington,LA,38.0,16.0,26.9,10.7,8.4
Covington,MI,27.2,20.4,24.9,9.8,17.7
Covington,PA,28.8,16.9,21.2,13.0,20.1
Covington,VA,43.599999999999994,31.1,52.5,30.5,42.4
Coxsackie,NY,34.0,19.0,22.4,10.7,13.9
Coy,AL,28.4,17.8,19.2,8.5,26.1
Crab Orchard,NE,31.9,22.3,18.9,12.4,14.5
Crab Orchard,TN,27.2,19.0,24.2,11.7,17.9
Craigsville,VA,23.1,19.4,21.7,9.4,26.4
Craigville,IN,26.5,15.1,19.5,13.1,25.7
Crane,IN,30.4,14.9,20.2,13.8,20.7
Crane,TX,19.0,19.4,17.3,21.9,22.3
Crawford,OK,28.9,12.6,27.4,17.7,13.4
Crawfordsville,IA,25.5,15.0,18.7,11.1,29.7
Crawfordville,GA,42.5,47.8,33.5,34.3,42.0
Crayne,KY,26.7,16.4,19.1,15.0,22.8
Crenshaw,MS,30.1,27.0,17.0,11.9,14.1
Creole,LA,26.4,13.5,23.8,19.8,16.7
Cresco,PA,32.2,21.5,23.9,8.5,13.9
Crestline,OH,26.3,18.6,20.0,10.2,24.9
Creston,IA,25.2,17.3,21.3,8.4,27.8
Creston,WV,28.1,18.5,17.6,17.7,18.1
Creswell,NC,13.5,23.7,22.3,23.4,17.1
Cromwell,KY,26.4,15.8,19.4,14.6,23.8
Crook,CO,25.4,24.3,23.5,12.2,14.5
Cropwell,AL,28.8,14.9,27.6,12.4,16.3
Crossville,AL,24.2,15.7,21.3,12.4,26.4
Crowell,TX,58.3,30.4,54.8,40.3,16.2
Crowley,TX,31.0,14.5,24.1,13.0,17.5
Crown Point,IN,29.9,19.1,24.0,9.7,17.3
Crystal Spring,PA,23.9,16.7,21.9,14.4,23.1
Crystal Springs,MS,27.2,18.9,22.9,11.3,19.7
Cub Run,KY,21.2,17.8,18.9,14.9,27.1
Cuba,IL,28.7,20.3,20.3,10.4,20.2
Culbertson,MT,33.0,27.5,14.7,13.1,11.6
Culbertson,NE,28.9,14.1,24.2,14.9,17.9
Culebra,PR,20.3,32.7,15.9,16.5,14.7
Cullman,AL,28.5,15.6,23.9,13.9,18.1
Cumberland,KY,28.2,20.0,22.8,15.0,14.0
Cumberland Center,ME,43.3,16.6,24.4,7.7,8.0
Cumberland Gap,TN,27.5,16.7,20.4,13.5,21.9
Currie,MN,36.9,15.1,18.5,13.3,16.2
Cushing,IA,33.7,16.5,17.6,11.4,20.8
Cushing,OK,27.7,17.4,22.6,16.3,16.0
Cushing,WI,29.1,16.3,20.8,12.5,21.3
Cusseta,AL,23.3,14.5,26.3,11.5,24.4
Cusseta,GA,28.6,18.8,21.5,11.8,19.4
Cut Bank,MT,37.3,22.7,17.5,15.0,7.6
Cutler,IL,24.7,21.0,18.9,15.1,20.4
Cuyahoga Falls,OH,37.5,16.9,25.8,6.7,13.2
Cynthiana,IN,31.0,15.9,19.9,12.1,21.2
Cypress,FL,28.3,28.6,22.4,9.3,11.3
Cypress,IL,30.6,21.5,24.0,12.4,11.5
Daggett,MI,25.4,18.5,21.1,11.7,23.2
Dahlonega,GA,32.2,13.7,26.2,13.5,14.3
Dailey,WV,29.1,23.7,23.8,11.5,11.8
Daisy,GA,31.5,11.6,18.4,18.8,19.7
Dakota City,IA,29.2,17.0,20.4,14.3,19.1
Daleville,AL,59.300000000000004,35.8,47.5,26.9,30.7
Daleville,MS,31.5,17.3,28.0,10.6,12.5
Dalhart,TX,58.900000000000006,38.6,37.5,39.3,25.7
Dalton,MA,37.3,21.8,23.3,9.2,8.4
Damon,TX,41.0,14.3,20.9,11.0,12.8
Dana,IL,26.4,20.2,23.5,10.2,19.7
Danville,GA,29.5,21.8,22.9,12.9,12.9
Danville,PA,31.3,18.4,22.5,8.7,19.2
Danville,VA,31.6,21.0,23.5,5.1,18.7
Darlington,IN,24.0,16.9,22.0,10.9,26.2
Datto,AR,22.6,17.7,21.9,13.3,24.5
Davidson,NC,33.6,15.9,23.3,9.9,17.3
Davis,WV,29.6,24.2,16.1,16.0,14.3
Dawson Springs,KY,64.6,32.7,40.7,23.5,38.5
Dawsonville,GA,75.4,30.5,52.8,20.0,21.3
Dayton,OH,80.0,34.9,48.1,12.6,24.5
Dayton,TN,25.9,16.8,19.9,10.8,26.6
De Borgia,MT,28.0,22.3,24.6,10.0,15.1
De Mossville,KY,24.2,13.2,20.6,16.8,25.1
De Queen,AR,20.4,13.5,18.8,17.9,29.4
De Smet,SD,35.1,13.9,18.3,12.6,20.1
De Soto,WI,24.6,19.2,19.9,11.4,24.9
Dearborn,MO,26.7,20.9,24.3,8.2,19.9
Deary,ID,41.7,18.2,22.1,8.3,9.7
Decatur,AL,29.7,15.4,24.3,11.7,18.8
Decatur,TN,19.3,15.8,18.6,15.1,31.1
Decorah,IA,66.2,32.599999999999994,40.900000000000006,25.2,35.3
Dedham,MA,51.6,13.8,22.6,5.9,6.1
Deer Island,OR,28.1,17.9,23.0,13.0,17.9
Deer Lodge,TN,23.3,22.2,22.7,13.7,18.1
Deer Park,AL,20.3,15.2,19.6,16.8,28.2
Deer Trail,CO,38.9,15.6,23.5,13.8,8.2
Deerfield,WI,48.8,15.5,21.7,5.5,8.5
Defuniak Springs,FL,32.0,23.0,25.5,11.3,8.2
Delcambre,LA,25.4,16.3,26.0,16.9,15.4
Delta,CO,30.3,19.5,21.8,17.1,11.3
Delta,OH,28.5,15.4,21.7,11.7,22.8
Deltona,FL,31.0,21.1,27.6,10.2,10.0
Deming,NM,23.8,24.9,22.2,17.7,11.5
Denhoff,ND,39.4,15.4,14.5,18.4,12.2
Denmark,SC,29.1,23.3,16.6,9.5,21.5
Dennis,MA,37.0,20.4,24.4,11.2,7.0
Denver,CO,44.6,17.6,22.3,7.5,8.1
Denver,MO,37.8,16.1,15.8,11.7,18.5
Denver City,TX,50.1,25.3,34.4,58.0,32.1
Depew,OK,28.1,16.7,23.2,12.1,20.0
Derry,NH,42.4,13.5,25.1,9.1,9.9
Detroit,MI,31.3,20.5,24.4,6.9,16.8
Devol,OK,31.8,17.7,22.6,11.9,16.0
Dewy Rose,GA,50.1,30.0,44.7,23.5,51.8
Dexter,IA,32.3,15.8,23.8,15.0,13.1
Dexter,KY,31.7,17.6,26.4,9.1,15.2
Dexter,MO,27.4,15.8,23.0,13.0,20.8
Diaz,AR,22.0,17.3,21.0,13.6,26.1
Dickinson,AL,21.1,15.0,25.5,11.6,26.9
Dickinson,ND,27.7,16.1,23.2,17.5,15.5
Dilley,TX,18.5,27.3,20.2,18.7,15.3
Dillon,CO,32.0,23.3,23.1,14.5,7.1
Dingmans Ferry,PA,31.9,20.2,24.7,13.1,10.1
Dinwiddie,VA,27.2,20.3,21.5,13.7,17.3
Disputanta,VA,26.1,20.6,25.3,14.0,14.0
Divide,CO,38.6,21.5,21.3,11.3,7.3
Dixfield,ME,27.1,19.2,21.9,15.2,16.6
Dixon Springs,TN,23.1,17.3,28.4,8.7,22.4
Dodge,NE,58.5,32.0,48.099999999999994,25.8,35.7
Dodson,LA,29.9,19.3,17.3,16.5,17.0
Dodson,MT,38.0,16.6,18.6,19.7,7.1
Dolliver,IA,27.8,16.3,20.7,12.3,22.9
Donaldsonville,LA,36.3,14.9,24.7,11.9,12.1
Donnelly,ID,31.8,27.2,17.2,13.8,10.0
Doon,IA,36.9,15.1,20.8,12.7,14.5
Dorado,PR,63.400000000000006,38.1,64.5,16.700000000000003,17.2
Doswell,VA,43.1,14.1,25.8,9.6,7.4
Dothan,AL,64.6,35.6,44.6,21.200000000000003,34.1
Douglas,GA,31.6,16.1,21.4,8.5,22.5
Douglass,TX,33.7,17.3,22.6,11.3,15.1
Douglasville,GA,33.3,14.5,27.7,9.4,15.1
Dove Creek,CO,30.5,25.5,21.0,12.9,10.2
Dover,DE,32.7,19.8,23.4,10.4,13.7
Dover,OK,31.3,13.0,22.7,20.4,12.6
Dow City,IA,25.7,16.5,18.3,14.1,25.4
Downsville,LA,25.8,14.8,23.4,20.0,15.9
Doyle,TN,23.2,19.5,21.6,12.6,23.1
Doylesburg,PA,30.7,17.2,23.0,10.5,18.6
Drakes Branch,VA,27.0,20.1,22.5,12.6,17.8
Drewsey,OR,36.1,16.8,21.5,17.9,7.7
Driscoll,ND,41.3,11.4,21.5,16.6,9.2
Drummond,WI,34.6,19.2,19.6,13.6,13.0
Dry Branch,GA,24.0,15.6,21.5,17.9,20.9
Dryden,TX,20.0,30.6,23.9,14.9,10.6
Du Bois,NE,31.6,20.8,17.6,12.8,17.3
Duck Hill,MS,29.4,14.6,23.4,12.2,20.4
Dudley,GA,30.7,19.3,24.6,10.2,15.3
Duke Center,PA,30.7,19.5,18.8,10.6,20.5
Dulce,NM,35.2,27.1,19.9,10.8,7.0
Duluth,MN,33.6,21.2,23.7,10.2,11.3
Dumont,MN,34.3,17.0,20.3,15.4,12.9
Dundee,MS,30.2,26.3,20.0,8.8,14.6
Dunellen,NJ,44.2,14.0,24.3,6.2,11.2
Dunn Center,ND,31.3,18.5,16.0,18.0,16.1
Dunning,NE,40.1,13.9,8.0,27.2,10.8
Dupree,SD,48.7,12.9,17.5,15.8,5.1
Durand,WI,31.8,15.1,21.1,13.8,18.2
Durango,CO,28.8,18.1,27.9,18.7,6.5
Durant,MS,23.2,20.4,18.1,11.9,26.3
Durham,NC,49.5,17.2,18.5,7.2,7.7
Dustin,OK,28.1,20.4,18.6,19.5,13.4
Dutch John,UT,21.6,23.4,21.6,19.4,14.0
Eagle,ID,42.4,16.8,25.4,7.2,8.2
Eagle Pass,TX,22.0,26.6,22.5,13.0,15.9
Eagle River,WI,30.9,18.9,24.9,10.3,15.0
Earle,AR,53.8,36.9,50.2,26.3,33.0
Earling,IA,32.1,13.2,26.0,11.9,16.8
East Concord,NY,38.1,18.6,25.7,6.3,11.3
East Jordan,MI,29.5,20.2,24.4,9.7,16.1
East Nassau,NY,38.9,16.7,25.4,8.6,10.3
East Peoria,IL,35.5,16.7,24.2,8.0,15.6
East Prairie,MO,23.6,23.1,24.5,12.2,16.6
East Stone Gap,VA,33.5,13.6,23.7,16.1,13.1
Eastsound,WA,37.7,22.0,19.1,13.7,7.5
Eastview,KY,33.8,16.6,25.2,8.3,16.2
Eaton,IN,21.0,15.8,20.8,7.9,34.5
Eatonton,GA,29.3,22.0,24.6,10.0,14.1
Eau Claire,WI,29.5,16.7,21.8,10.6,21.4
Ebro,FL,28.8,21.9,24.5,13.6,11.2
Echola,AL,35.1,18.2,21.7,9.1,15.9
Eckert,CO,32.2,19.6,19.9,19.4,8.9
Edelstein,IL,38.1,18.5,24.7,7.1,11.6
Edgartown,MA,44.2,17.5,17.3,16.8,4.3
Edgemont,SD,73.2,38.400000000000006,40.599999999999994,26.1,21.6
Edgerton,MN,31.5,17.6,23.2,12.4,15.4
Edgewood,NM,34.6,21.6,22.3,11.4,10.1
Edinburg,ND,30.1,16.0,22.5,18.1,13.3
Edison,OH,28.0,14.8,21.7,13.3,22.2
Edon,OH,24.1,13.4,21.2,9.6,31.6
Edson,KS,32.0,18.9,22.9,13.5,12.7
Egegik,AK,34.1,20.7,13.4,16.3,15.5
Ekalaka,MT,52.0,10.6,9.6,19.8,8.1
El Cerrito,CA,42.9,17.5,23.6,8.2,7.7
El Paso,TX,53.6,51.599999999999994,42.3,27.4,25.1
El Reno,OK,36.0,15.1,26.7,10.4,11.8
Eldorado,OK,34.9,15.4,23.6,16.1,10.1
Eldorado,TX,30.8,15.1,17.2,19.5,17.3
Eldridge,IA,35.8,17.4,23.9,8.0,15.0
Electra,TX,33.7,13.9,21.8,15.7,14.9
Electric City,WA,27.6,15.9,16.2,25.3,15.1
Elfrida,AZ,33.7,24.9,23.4,10.3,7.6
Elgin,IL,33.7,16.5,25.2,7.7,16.8
Elgin,TX,24.7,23.7,23.4,13.2,14.9
Elizabeth,LA,27.5,25.9,17.1,18.3,11.2
Elizabeth City,NC,69.6,35.3,47.8,24.9,22.299999999999997
Elk City,KS,27.8,17.5,21.2,9.8,23.7
Elk Horn,IA,30.5,18.2,21.6,14.4,15.3
Elk Horn,KY,25.3,17.2,27.9,10.3,19.3
Elk Park,NC,26.5,24.2,24.0,13.5,11.9
Elkhart,IN,24.2,15.2,21.8,7.6,31.2
Elkton,OR,28.1,20.4,23.4,11.2,16.9
Ellabell,GA,34.7,18.7,23.0,11.1,12.4
Ellaville,GA,28.4,14.3,23.4,13.8,20.1
Ellenboro,NC,28.1,19.3,23.4,9.1,20.0
Ellenboro,WV,31.2,19.9,15.6,16.8,16.5
Ellendale,DE,30.5,21.0,23.5,11.7,13.3
Ellinger,TX,22.7,17.2,25.9,17.1,17.1
Elliott,IA,28.4,18.1,22.4,11.8,19.2
Elliottville,KY,30.4,24.6,22.4,8.4,14.2
Ellsinore,MO,31.0,22.5,18.4,10.1,18.0
Ellsworth,IA,30.0,15.3,21.7,12.3,20.7
Ellsworth,NE,33.4,20.6,19.6,15.0,11.4
Ellwood City,PA,29.9,19.3,23.7,10.1,17.1
Elm City,NC,29.9,18.3,23.0,11.2,17.6
Elm Creek,NE,23.1,14.8,17.9,14.3,29.9
Elmendorf,TX,34.6,19.6,26.4,9.6,9.8
Elmira,NY,34.4,20.4,23.1,8.2,13.9
Elmo,UT,26.4,19.8,16.7,21.6,15.5
Eltopia,WA,23.8,18.0,18.2,22.0,18.0
Ely,NV,35.1,23.8,13.0,19.5,8.6
Emmetsburg,IA,32.1,17.4,21.1,11.0,18.4
Emory,TX,28.6,15.9,22.9,14.6,18.0
Empire,CO,36.8,17.6,24.5,11.2,9.9
Empire,LA,25.1,17.7,21.1,21.1,15.0
Emporia,VA,30.5,19.3,21.9,13.7,14.6
Encampment,WY,28.6,19.5,16.4,16.5,19.0
Enders,NE,39.2,10.1,23.8,17.5,9.5
Endicott,WA,23.9,12.3,16.3,31.1,16.4
Energy,TX,26.9,15.7,20.7,15.6,21.2
Enfield,IL,25.6,18.0,21.7,15.6,19.2
Enfield,NC,25.6,21.6,22.1,9.1,21.5
Engadine,MI,24.2,28.0,23.7,12.4,11.7
Englewood,CO,53.0,11.9,25.7,4.6,4.8
Englewood,KS,40.9,17.6,17.4,14.7,9.4
Englishtown,NJ,43.8,15.6,25.5,7.7,7.4
Enigma,GA,26.0,20.4,22.5,16.3,14.8
Ennice,NC,29.8,19.5,20.9,14.1,15.7
Enochs,TX,23.2,22.4,20.6,20.7,13.2
Enola,AR,34.5,16.9,25.7,11.8,11.0
Enterprise,LA,29.7,15.8,21.9,23.3,9.3
Enterprise,MS,28.6,13.9,22.3,21.4,13.8
Enterprise,OR,34.5,19.9,21.8,13.0,10.8
Epping,ND,29.9,13.4,20.0,20.5,16.3
Epps,LA,25.0,31.0,20.0,11.6,12.4
Epworth,GA,25.4,17.0,27.3,14.4,15.7
Equality,IL,29.5,18.9,19.2,16.1,16.3
Erbacon,WV,43.6,47.5,40.7,35.4,32.8
Erick,OK,24.3,17.3,25.2,17.7,15.5
Ericson,NE,30.4,15.3,24.0,16.0,14.2
Erie,KS,30.4,17.4,21.6,11.0,19.5
Erlanger,KY,35.8,15.5,26.6,7.5,14.6
Escalante,UT,27.7,21.8,28.7,10.2,11.5
Esom Hill,GA,23.6,16.7,23.0,12.9,23.8
Essex,MD,43.3,16.2,24.8,7.2,8.4
Essig,MN,31.3,17.1,21.9,11.5,18.2
Ethan,SD,37.8,15.5,17.7,15.6,13.3
Ettrick,WI,30.3,14.3,18.3,11.7,25.4
Eudora,AR,55.9,38.0,45.3,24.0,36.900000000000006
Eufaula,OK,28.6,18.5,21.8,13.5,17.7
Eupora,MS,35.8,13.4,19.3,12.0,19.5
Eutaw,AL,20.1,22.3,26.0,9.5,22.1
Evans,WV,32.0,16.5,25.0,13.4,13.2
Evansville,IN,30.8,18.5,25.4,8.3,16.9
Evansville,MN,34.5,16.4,20.1,12.0,17.0
Evant,TX,30.4,24.1,25.1,11.1,9.3
Everson,WA,34.0,20.2,23.9,10.3,11.6
