City,State,Professional,Service,Office,Construction,Production
Arlington,NE,37.4,13.9,24.8,11.4,12.6
Arlington,OR,28.1,10.9,23.2,18.1,19.7
Arlington,TX,36.3,16.0,25.7,8.9,13.1
Arlington,VA,126.1,26.5,32.3,7.5,7.6000000000000005
Armagh,PA,29.4,18.7,24.1,12.6,15.1
Armour,SD,34.5,20.7,19.8,12.5,12.5
Armstrong,TX,24.9,34.1,20.5,20.5,0.0
Arnett,WV,31.3,20.9,24.0,14.2,9.6
Arnold,CA,37.3,20.3,17.9,10.3,14.2
Arnold,KS,32.3,15.3,21.1,17.7,13.6
Arnold,NE,32.6,17.8,19.1,15.2,15.3
Arpin,WI,30.4,16.5,22.7,10.0,20.4
Arroyo,PR,25.5,28.6,20.9,11.2,13.9
Artemus,KY,25.8,18.6,25.4,11.1,19.2
Ash,NC,28.8,21.6,25.9,13.4,10.3
Ash Grove,MO,63.5,40.7,44.9,19.0,31.8
Ashburn,GA,62.4,32.8,50.0,28.6,26.299999999999997
Ashburnham,MA,40.9,17.5,23.1,7.5,11.0
Ashford,WV,26.5,19.6,21.4,20.1,12.5
Ashland,AL,21.5,13.3,20.8,15.3,29.1
Ashland,IL,24.7,16.4,20.0,11.9,27.0
Ashland,KY,34.7,17.7,23.9,10.4,13.4
Ashland,MA,53.4,14.5,19.8,5.7,6.5
Ashley,ND,35.4,19.0,18.6,14.6,12.5
Aspen,CO,40.4,23.6,25.0,6.9,4.0
Assaria,KS,31.3,18.0,20.9,9.7,20.1
Astoria,NY,32.3,24.8,24.0,8.2,10.7
Atchison,KS,32.8,17.1,21.7,10.1,18.3
Athens,AL,34.2,15.2,22.3,12.4,16.0
Athens,GA,39.4,22.2,21.6,5.6,11.2
Athens,TN,26.1,15.8,21.8,9.9,26.5
Atkins,AR,28.8,14.2,23.3,16.7,17.0
Atlanta,MI,21.4,24.9,23.3,11.1,19.3
Atlantic,VA,33.1,16.8,20.5,14.2,15.4
Atlantic City,NJ,29.9,29.8,24.0,8.0,8.2
Attleboro,MA,34.4,18.9,24.8,9.3,12.6
Atwood,TN,27.1,17.0,23.3,11.0,21.6
Au Gres,MI,26.8,20.6,23.0,11.1,18.5
Auburn,AL,45.5,38.1,42.3,29.200000000000003,45.0
Auburn,KY,25.7,16.1,25.1,9.7,23.5
Auburn,WV,25.1,16.8,22.4,13.7,22.0
Auburntown,TN,26.6,14.2,23.5,12.4,23.4
Audubon,MN,32.7,17.5,20.2,13.7,15.9
Augusta,GA,72.7,36.2,51.6,17.0,22.299999999999997
Augusta,KY,29.9,14.1,21.2,14.9,20.0
Augusta,MO,41.4,14.9,26.6,7.6,9.5
Aurora,CO,29.5,18.7,24.5,13.4,13.9
Aurora,MO,25.6,15.4,19.6,13.2,26.2
Austin,NV,21.4,12.1,12.8,40.3,13.4
Austin,PA,23.6,15.2,18.6,11.3,31.3
Austin,TX,46.2,16.7,22.5,8.1,6.4
Austinburg,OH,25.3,18.5,22.2,10.1,23.9
Austinville,VA,26.8,18.0,20.2,14.6,20.4
Autaugaville,AL,33.2,17.0,24.2,8.6,17.1
Avera,GA,24.4,21.8,14.9,14.5,24.4
Avinger,TX,21.3,19.2,24.4,14.9,20.2
Avoca,TX,28.3,20.4,24.5,14.7,12.1
Avondale,CO,30.1,22.8,25.7,9.8,11.7
Axtell,TX,61.9,39.8,43.2,24.5,30.6
Axton,VA,25.0,16.5,26.7,9.4,22.4
Azle,TX,28.5,15.6,25.1,14.0,16.8
Bainbridge,NY,31.2,18.6,22.0,10.0,18.1
Bajadero,PR,29.4,19.9,28.9,8.5,13.3
Baker,MT,30.2,17.3,18.1,19.3,15.1
Baker City,OR,36.7,14.2,22.5,13.8,12.8
Bakersfield,CA,25.6,18.9,21.0,20.8,13.7
Bakersfield,MO,26.1,21.4,22.4,12.4,17.7
Baldwin,IA,27.8,17.1,24.2,10.0,21.0
Baldwyn,MS,30.8,16.3,24.2,8.0,20.7
Balko,OK,33.0,13.0,19.1,19.9,14.9
Ball Ground,GA,38.0,15.4,28.2,8.9,9.4
Baltic,OH,20.8,13.5,19.3,14.7,31.6
Baltimore,MD,40.5,20.8,23.1,5.6,10.0
Bandana,KY,26.9,16.5,23.2,12.0,21.4
Banks,AL,29.7,15.9,25.6,9.4,19.3
Barceloneta,PR,19.8,28.6,21.4,16.1,14.1
Barksdale,TX,22.7,20.9,26.9,22.0,7.5
Barnesville,GA,24.7,19.7,21.8,9.8,23.9
Barnesville,MN,32.6,15.1,21.9,14.6,15.9
Barnhart,MO,29.2,18.7,25.4,12.4,14.3
Barnum,IA,30.5,19.8,23.3,12.0,14.4
Barranquitas,PR,58.5,40.0,52.0,27.3,22.2
Bartlett,TX,45.4,14.6,24.9,7.4,7.7
Barton,NY,35.5,17.7,22.5,9.4,14.8
Bartow,GA,30.1,18.1,26.2,11.1,14.5
Basehor,KS,36.6,18.6,23.1,10.2,11.6
Basile,LA,28.0,17.4,24.3,14.9,15.4
Bassett,AR,23.7,17.4,21.6,11.0,26.2
Batavia,NY,30.4,18.4,22.5,11.9,16.8
Bates,OR,34.8,18.3,21.4,13.7,11.7
Batesburg,SC,21.9,14.8,21.3,19.4,22.7
Batesville,IN,27.5,16.8,22.6,11.9,21.1
Bath,IL,28.9,17.6,21.6,12.8,19.1
Bath Springs,TN,28.4,20.9,18.5,13.0,19.2
Battle Creek,NE,28.8,16.9,23.9,12.1,18.3
Battle Ground,IN,22.9,15.9,22.9,13.4,24.9
Battle Mountain,NV,37.5,11.4,15.9,23.8,11.4
Bauxite,AR,33.9,16.1,27.7,11.0,11.2
Bay City,MI,29.7,20.9,25.5,8.6,15.4
Bay City,TX,22.5,20.4,23.8,17.3,16.1
Bay Port,MI,27.3,16.4,22.0,13.3,20.9
Bayamon,PR,33.4,17.5,33.6,7.6,8.0
Bayport,NY,37.8,17.5,25.7,9.4,9.5
Beach,ND,36.4,20.2,20.0,17.9,5.4
Beach Haven,NJ,34.5,18.5,27.4,10.7,8.9
Bealeton,VA,42.6,15.4,22.3,12.2,7.5
Bear Creek,NC,39.4,16.6,19.8,11.5,12.6
Beattyville,KY,22.0,29.5,22.1,13.1,13.3
Beaufort,SC,33.6,24.3,24.9,9.8,7.6
Beaumont,KY,24.5,12.8,24.7,10.2,27.8
Beaverton,MI,23.8,23.6,22.9,12.3,17.4
Beaverton,OR,43.9,15.8,23.6,7.1,9.6
Bechtelsville,PA,31.3,16.3,24.2,9.2,18.9
Becker,MN,34.0,16.1,23.4,10.7,15.8
Bedford,KY,23.8,16.0,19.0,18.8,22.3
Bee Branch,AR,25.3,16.7,22.1,19.6,16.3
Beeson,WV,31.2,19.3,27.8,10.4,11.2
Beeville,TX,21.3,26.4,22.4,14.5,15.5
Bejou,MN,33.5,17.5,20.4,14.6,14.0
Belden,MS,22.8,10.7,25.7,7.9,32.9
Belgium,WI,46.5,14.0,22.5,6.8,10.1
Bella Vista,CA,31.4,21.4,27.4,10.8,8.9
Bellaire,MI,26.3,23.0,22.3,11.0,17.4
Belle Plaine,MN,41.1,14.6,23.8,8.1,12.3
Belleview,MO,22.5,25.2,20.9,12.1,19.3
Belleville,IL,34.7,19.5,24.7,8.1,13.0
Bellevue,NE,41.7,15.0,25.3,8.8,9.2
Bellevue,TX,28.8,18.3,24.6,14.5,13.7
Bells,TX,31.4,18.2,24.9,11.2,14.3
Belmont,NY,32.1,21.0,19.5,11.7,15.8
Belpre,OH,30.4,16.9,25.4,10.4,16.9
Belvidere,NC,33.2,18.1,24.1,10.2,14.5
Bend,OR,22.3,25.2,26.0,9.6,16.9
Benicia,CA,32.5,20.1,25.3,10.1,12.0
Benkelman,NE,41.3,9.1,16.4,22.5,10.6
Bennett,IA,33.9,14.2,24.3,10.3,17.3
Bennington,IN,21.5,23.0,19.3,11.4,24.9
Bennington,VT,34.1,20.1,22.5,9.6,13.7
Benzonia,MI,29.7,22.2,22.5,12.5,13.2
Berea,KY,58.0,25.8,46.599999999999994,26.4,43.2
Berkeley Springs,WV,30.9,19.0,19.0,15.8,15.2
Berlin Heights,OH,29.5,22.4,22.0,8.1,18.1
Bern,ID,25.3,19.3,23.8,16.1,15.6
Bernalillo,NM,39.7,17.5,25.0,10.0,7.8
Berryton,KS,30.1,18.8,21.1,14.6,15.4
Berthoud,CO,33.1,16.8,23.3,13.1,13.7
Berwick,LA,25.3,19.2,21.5,12.3,21.7
Bessemer,MI,28.4,24.8,17.1,10.9,18.9
Bethlehem,GA,37.6,16.0,26.6,10.1,9.7
Bethlehem,PA,35.0,17.3,24.7,8.3,14.7
Bethune,CO,31.4,18.1,22.7,19.1,8.7
Beulah,MS,32.0,22.2,22.4,8.8,14.7
Beulah,ND,38.5,13.3,18.1,20.4,9.7
Biddeford,ME,34.1,19.0,24.4,9.9,12.6
Big Cabin,OK,28.3,17.8,22.1,14.4,17.5
Big Pine Key,FL,32.1,23.9,25.5,10.9,7.6
Big Rock,TN,31.7,19.4,21.3,11.1,16.5
Big Rock,VA,22.8,15.9,25.4,21.3,14.6
Big Sandy,MT,40.5,20.3,19.6,12.1,7.5
Big Sandy,TN,23.1,20.6,20.9,11.7,23.7
