City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Andrews,NC,228052,73.6,5628.7699999999995,569538.88,793,399,1107,295,400,693,558,152,964,844,404,856,446,904,386,1118,1293,25,831,25
Andrews,TX,642004,46.3,3616.100000000001,481871.27999999997,569,641,604,824,625,1158,467,934,1193,43,365,628,724,66,398,641,790,829,558,829
Angola,LA,21076,78.6,3773.5400000000004,305610.0,106,1265,347,65,535,649,1333,154,745,25,1280,961,1202,1336,380,403,1118,1142,736,1142
Animas,NM,38544,99.89999999999999,3604.75,113991.84,713,194,545,766,944,718,793,1324,1204,1320,175,97,340,1190,1121,1108,1038,237,978,237
Anniston,AL,3062004,83.7,4766.140000000001,2882462.96,404,1022,1017,285,499,1298,136,159,247,581,510,1359,429,1029,1119,943,254,106,554,106
Antigo,WI,563508,58.6,5799.39,534084.6399999999,1069,888,592,1254,1150,577,199,1024,746,647,1138,154,1247,737,143,1102,1271,444,735,444
Apache,OK,161568,76.0,3800.4100000000003,681818.8,1045,1107,1318,1099,1022,722,456,510,899,1317,964,769,459,657,997,144,515,632,1293,632
Arab,AL,726396,86.0,5275.500000000001,2319241.28,761,586,293,1022,883,1145,1059,162,895,487,632,225,934,512,1093,401,284,257,889,257
Aransas Pass,TX,518584,91.8,4652.09,575677.76,42,671,288,954,43,399,710,710,711,1152,11,1052,121,777,4,1098,95,401,699,401
Arapahoe,NC,64988,62.6,4806.73,310885.83999999997,119,777,129,1202,1217,164,249,924,671,222,1020,35,1122,280,462,1097,723,254,689,254
Arapahoe,NE,55836,79.6,5809.1,141371.68,1080,170,471,865,1214,182,633,165,115,1110,999,692,805,366,306,1091,9,1281,81,1281
Arcadia,FL,1346708,115.4,4084.1600000000008,746931.6799999999,1163,1000,555,494,1172,1099,802,1048,479,1144,128,1018,1370,109,858,1089,347,457,300,457
