City,State,Hispanic,White,Black,Native,Asian,Pacific
Aransas Pass,TX,26.1,68.3,1.5,0.1,1.7,0.0
Arapahoe,NC,3.4,74.1,18.7,0.6,0.3,0.8
Arapahoe,NE,3.3,94.8,0.1,0.5,0.2,0.0
Arcadia,FL,30.5,55.2,12.9,0.1,0.3,0.1
Arcadia,LA,1.4,46.2,50.0,0.3,0.0,0.0
Arcadia,NE,1.5,96.8,0.1,0.4,0.0,0.0
Arcanum,OH,1.1,95.0,1.4000000000000001,0.2,0.9,0.0
Arco,ID,6.1,87.6,2.0,0.3,0.5,0.0
Arcola,IL,6.9,91.0,0.5,0.2,0.6,0.0
Ardenvoir,WA,27.2,69.0,0.5,0.9,0.8,0.1
Ardmore,OK,4.5,70.7,1.8,6.4,0.6,0.0
Arena,WI,1.7,96.2,0.4,0.2,0.6,0.0
Arkadelphia,AR,4.3,69.6,23.9,0.1,0.8,0.0
Arlington,KY,2.2,94.7,1.6,0.7,0.1,0.0
Arlington,NE,2.4,95.3,0.7,0.2,0.1,0.1
Arlington,OR,7.8,90.1,1.0,1.1,0.0,0.0
Arlington,TX,27.6,49.8,15.1,0.3,4.9,0.2
Arlington,VA,16.05,57.7,14.6,0.2,8.2,0.05
Armagh,PA,1.3,93.9,2.3,0.2,1.1,0.0
Armour,SD,0.9,95.1,0.0,2.8,0.0,0.0
Armstrong,TX,66.2,33.6,0.0,0.0,0.2,0.0
Arnett,WV,1.4,87.3,8.3,0.3,1.1,0.1
Arnold,CA,9.5,64.1,1.0,19.4,1.2,1.4
Arnold,KS,9.2,89.2,0.5,0.1,0.0,0.0
Arnold,NE,2.4,95.6,0.8,0.1,0.4,0.0
Arpin,WI,2.6,93.2,0.5,0.7,2.0,0.0
Arroyo,PR,99.8,0.2,0.0,0.0,0.0,0.0
Artemus,KY,1.1,96.2,1.1,0.4,0.0,0.0
Ash,NC,4.8,81.2,10.6,0.3,0.6,0.4
Ash Grove,MO,5.1,89.4,1.6,0.45,1.15,0.05
Ashburn,GA,7.550000000000001,55.650000000000006,34.3,0.1,1.25,0.0
Ashburnham,MA,10.2,79.0,4.2,0.2,4.4,0.0
Ashford,WV,0.5,98.0,0.7,0.0,0.1,0.0
Ashland,AL,3.2,79.9,14.4,0.7,0.0,0.0
Ashland,IL,18.4,77.0,3.2,0.0,0.2,0.0
Ashland,KY,1.5,93.5,2.7,0.3,0.4,0.0
Ashland,MA,7.3,74.7,4.6,0.1,10.5,0.0
Ashley,ND,2.9,94.0,1.5,0.8,0.3,0.0
Aspen,CO,9.7,86.3,1.2,0.2,1.4,0.0
Assaria,KS,10.5,80.9,3.1,0.5,2.5,0.1
Astoria,NY,27.9,26.1,17.4,0.2,24.2,0.0
Atchison,KS,2.8,88.2,4.1,0.4,0.3,0.1
Athens,AL,5.8,77.4,12.8,0.5,1.2,0.0
Athens,GA,10.6,56.4,26.5,0.2,4.4,0.0
Athens,TN,3.3,90.0,4.0,0.2,0.5,0.0
Atkins,AR,3.9,81.8,12.0,0.7,0.1,0.0
Atlanta,MI,1.2,96.3,0.4,0.6,0.0,0.0
Atlantic,VA,8.8,60.9,28.6,0.4,0.1,0.0
Atlantic City,NJ,18.1,57.0,14.3,0.2,8.2,0.0
Attleboro,MA,6.8,84.2,3.3,0.0,2.1,0.1
Atwood,TN,2.3,85.2,10.3,0.4,0.2,0.0
Au Gres,MI,1.8,95.2,0.5,1.3,0.2,0.0
Auburn,AL,3.0,19.15,75.80000000000001,0.75,0.2,0.0
Auburn,KY,2.0,85.4,10.3,0.4,0.2,0.0
Auburn,WV,0.5,97.9,0.5,0.0,0.0,0.0
Auburntown,TN,1.8,94.7,1.6,0.3,0.3,0.0
Audubon,MN,1.8,86.8,0.5,7.0,0.5,0.0
Augusta,GA,5.25,53.9,35.15,0.25,2.85,0.1
Augusta,KY,1.4,98.4,0.0,0.0,0.0,0.0
Augusta,MO,3.1,88.2,4.4,0.2,2.3,0.0
Aurora,CO,38.6,52.1,3.0,0.5,3.7,0.1
Aurora,MO,8.5,87.2,0.2,0.4,1.5,0.1
Austin,NV,27.1,65.2,0.1,3.7,0.8,0.2
Austin,PA,0.7,97.3,0.6,0.2,0.1,0.0
Austin,TX,33.7,49.8,7.9,0.2,6.0,0.1
Austinburg,OH,3.8,90.2,3.4,0.1,0.5,0.0
Austinville,VA,2.9,95.3,0.8,0.0,0.2,0.0
Autaugaville,AL,2.6,75.8,18.5,0.4,1.0,0.0
Avera,GA,3.3,41.8,54.3,0.1,0.1,0.0
Avinger,TX,4.1,76.6,17.2,0.2,0.4,0.1
Avoca,TX,26.6,55.6,15.1,0.4,0.3,0.0
Avondale,CO,42.3,53.0,1.7,0.5,0.7,0.0
Axtell,TX,22.6,59.0,15.9,0.15000000000000002,1.05,0.05
Axton,VA,5.2,70.6,22.1,0.0,0.5,0.0
Azle,TX,18.2,78.2,1.2,0.7,0.4,0.0
Bainbridge,NY,2.1,95.0,0.8,0.3,0.5,0.0
Bajadero,PR,99.5,0.4,0.0,0.0,0.0,0.0
Baker,MT,1.0,95.6,1.3,0.3,0.4,0.0
Baker City,OR,3.8,91.8,0.3,1.2,0.7,0.2
Bakersfield,CA,51.0,36.6,5.3,0.6,4.4,0.1
Bakersfield,MO,1.9,94.9,0.3,0.5,0.6,0.0
Baldwin,IA,2.9,91.7,2.7,0.4,0.7,0.0
Baldwyn,MS,2.5,67.2,27.8,0.2,0.7,0.0
Balko,OK,21.7,76.0,0.6,0.5,0.1,0.0
Ball Ground,GA,9.9,80.2,6.1,0.2,1.7,0.0
Baltic,OH,0.9,98.0,0.2,0.1,0.1,0.1
Baltimore,MD,4.6,28.1,62.3,0.2,2.6,0.0
Bandana,KY,1.2,93.4,3.4,0.5,0.6,0.0
