City,State,Hispanic,White,Black,Native,Asian,Pacific
Burlington,WV,0.9,94.2,3.0,0.0,0.3,0.0
Burlington,WY,8.9,88.1,0.1,1.1,0.4,0.1
Burlington Junction,MO,1.5,93.0,2.7,0.3,1.6,0.1
Burns,TN,3.2,90.1,3.9,0.2,0.5,0.0
Burnsville,MS,2.7,93.4,2.6,0.4,0.2,0.0
Burton,WV,0.6,97.8,0.1,0.0,0.5,0.0
Burwell,NE,0.25,94.95,0.35,0.75,0.1,0.0
Bushnell,NE,7.9,89.4,0.3,0.1,0.6,0.0
Bussey,IA,1.8,95.1,0.5,0.2,1.0,0.0
Butte,MT,4.0,91.4,0.5,1.5,0.7,0.0
Butte,NE,0.5,96.8,0.8,0.7,0.0,0.0
Butternut,WI,0.9,96.6,0.4,0.6,0.1,0.0
Byhalia,MS,5.0,68.0,23.8,0.1,1.3,0.0
Byrdstown,TN,0.4,97.3,0.7,0.0,0.0,0.0
Byron,GA,6.85,52.0,37.3,0.1,1.95,0.0
Cabins,WV,0.6,96.7,1.4,0.0,0.0,0.0
Cadiz,KY,1.6,88.3,8.8,0.0,0.5,0.0
Caguas,PR,99.3,0.7,0.0,0.0,0.0,0.0
Cairo,IL,1.6,60.9,34.4,0.5,0.3,0.0
Cairo,NE,25.5,69.8,2.1,0.4,1.0,0.0
Caldwell,OH,1.0,95.1,1.5,0.1,0.3,0.0
Caledonia,NY,3.3,91.2,2.2,0.1,1.3,0.0
Calhoun,KY,2.7,89.4,4.5,0.1,0.9,0.0
Calhoun,MO,2.0,94.2,1.7,0.9,0.2,0.0
Calhoun City,MS,5.6,65.4,26.9,0.0,0.0,0.5
Caliente,NV,7.1,84.2,2.9,3.9,0.1,0.0
Call,TX,3.4,73.8,20.9,0.4,0.6,0.0
Calumet,MI,1.4,92.6,0.7,0.4,2.9,0.0
Calvin,WV,0.0,99.3,0.0,0.0,0.2,0.0
Camarillo,CA,41.6,47.0,1.6,0.3,6.9,0.1
Cambria,WI,4.6,93.2,0.5,0.3,0.4,0.0
Cambridge,KS,10.0,80.9,2.8,1.8,1.6,0.0
Cambridge,NE,2.5,96.9,0.0,0.7,0.0,0.0
Cambridge,NY,2.5,92.8,2.8,0.2,0.5,0.0
Camden,AR,2.0,55.7,40.1,0.2,0.2,0.0
Camden,IL,0.4,94.0,4.5,0.2,0.0,0.0
Camden,MO,2.2,94.2,1.4,0.4,0.2,0.0
Cameron,MO,3.8,82.5,9.7,0.6,0.2,0.0
Camilla,GA,4.4,46.4,47.2,0.1,0.3,0.0
Camp Douglas,WI,2.9,92.1,2.3,1.5,0.4,0.0
Camp Hill,PA,3.2,87.9,3.3,0.1,3.4,0.0
Campbellsburg,IN,1.4,97.0,0.1,0.4,0.2,0.0
Campbelltown,PA,11.0,84.7,1.7,0.1,1.1,0.0
Campton,KY,0.8,96.5,0.9,0.5,0.2,0.0
Campton,NH,2.1,91.5,0.7,0.5,3.2,0.1
Camuy,PR,99.4,0.6,0.0,0.0,0.0,0.0
Canandaigua,NY,4.1,90.8,2.3,0.2,1.2,0.0
Candor,NC,10.55,60.75,25.05,1.45,0.9,0.0
Cannelburg,IN,4.5,93.0,1.4,0.0,0.3,0.0
Cannon Beach,OR,8.1,86.4,0.7,0.3,0.9,0.2
Canovanas,PR,99.9,0.1,0.1,0.0,0.0,0.0
Canton,MO,1.6,92.5,3.0,0.4,0.2,0.0
Canton,OH,1.8,87.2,7.1,0.1,0.8,0.0
Canton,OK,9.1,74.9,5.6,4.9,0.3,0.0
Cantwell,AK,2.6,84.7,0.6,3.5,2.9,0.0
Cape Coral,FL,19.3,69.5,8.2,0.2,1.5,0.0
Carey,ID,20.5,77.3,0.1,0.0,1.2,0.0
Carlyle,IL,3.0,91.7,3.4,0.1,0.5,0.0
Carmel,NY,12.7,81.2,2.2,0.0,2.3,0.0
Carolina,PR,98.8,0.8,0.1,0.0,0.2,0.0
Carpenter,IA,2.6,95.5,1.0,0.0,0.2,0.0
Carpenter,SD,2.0,95.1,0.2,1.3,0.0,0.5
Carrabelle,FL,5.0,78.6,13.7,0.3,0.8,0.6
Carrington,ND,1.2,96.5,0.1,0.8,0.7,0.0
Carrollton,VA,2.5,70.7,22.8,0.1,0.9,0.0
Carson,MS,0.1,38.4,61.2,0.0,0.0,0.0
Carson,ND,0.8,97.0,0.3,1.1,0.0,0.0
Carson City,NV,22.7,68.8,0.9,1.9,2.7,0.6
Cartersville,GA,7.9,78.9,10.8,0.4,0.8,0.0
Cartersville,VA,0.1,63.0,33.1,0.5,0.0,0.0
Carthage,AR,2.8,53.7,40.9,0.0,2.2,0.0
Carthage,MS,1.8,55.0,41.8,0.0,0.2,0.0
Carthage,NC,6.2,77.3,12.3,0.7,1.1,0.0
Carthage,NY,1.7,95.9,0.9,0.2,0.4,0.0
Cartwright,ND,2.8,76.7,0.8,17.2,0.4,0.0
Cascade Locks,OR,30.5,64.8,0.5,0.7,1.8,0.0
Casco,WI,2.4,95.5,0.3,0.5,0.4,0.0
Cassatt,SC,4.1,68.9,24.7,0.2,0.5,0.0
Castalia,NC,7.9,63.5,25.5,0.4,0.4,0.0
Castell,TX,24.6,71.8,0.0,0.5,3.1,0.0
Castleford,ID,14.9,81.2,0.5,0.7,1.4,0.0
Cataldo,ID,4.2,91.3,0.3,1.3,0.7,0.1
Cataula,GA,3.2,77.0,16.2,0.1,0.8,0.0
Catoosa,OK,5.4,72.7,3.5,8.1,1.3,0.0
Cave City,AR,6.0,89.3,2.0,0.3,0.9,0.0
Cayce,SC,5.7,76.0,14.4,0.3,1.6,0.1
Cayey,PR,99.4,0.5,0.0,0.0,0.1,0.0
Cayuga,IN,1.1,97.0,0.3,0.4,0.3,0.0
Cecil,GA,5.9,64.9,27.7,0.3,0.3,0.0
Cedar Bluff,VA,1.1,96.7,1.0,0.0,0.1,0.0
Cedar Falls,NC,10.9,80.3,5.7,0.4,1.0,0.0
Cedar Valley,UT,11.1,83.4,0.6,0.4,1.5,0.8
Ceiba,PR,99.5,0.3,0.0,0.0,0.1,0.0
Centenary,SC,2.7,39.4,55.7,0.5,0.6,0.0
Center,NE,2.5,86.8,0.1,8.8,0.5,0.1
Center,TX,17.6,63.4,17.5,0.0,0.9,0.1
Center Harbor,NH,1.6,95.1,0.5,0.2,1.1,0.0
Centerview,MO,3.8,86.5,4.4,0.6,1.4,0.3
Centerville,KS,2.2,94.4,0.7,1.2,0.3,0.0
Centerville,PA,1.2,95.2,1.8,0.1,0.5,0.0
Centerville,TN,2.1,90.8,4.8,0.0,0.0,0.0
Central,SC,3.3,86.5,6.6,0.4,1.7,0.1
Central Bridge,NY,3.0,93.6,1.3,0.1,0.8,0.0
Central City,CO,8.8,88.2,0.5,0.0,0.1,0.0
Centralia,IL,1.7,91.9,3.7,0.2,0.7,0.0
Centreville,VA,16.1,52.6,9.1,0.1,18.3,0.1
Ceres,CA,43.6,44.7,2.4,0.5,5.2,0.7
Ceresco,NE,2.1,95.8,0.6,0.3,0.3,0.0
Chadwick,IL,3.3,93.9,1.1,0.1,0.4,0.0
Challis,ID,2.7,95.2,0.0,0.6,0.0,0.4
Chamberlain,SD,0.4,85.8,0.0,10.2,0.0,0.0
Chambers,NE,0.0,99.8,0.0,0.0,0.2,0.0
Chapel Hill,NC,8.3,69.8,11.5,0.4,7.3,0.0
Chapin,SC,5.0,44.3,45.5,0.1,2.7,0.1
Chapmansboro,TN,2.6,93.7,1.6,0.1,0.4,0.2
Chapmanville,WV,0.9,95.8,2.1,0.2,0.4,0.0
Chappell,NE,8.7,88.8,0.0,0.5,0.1,0.0
Charleston,SC,5.1,63.2,28.5,0.2,1.4,0.0
Charleston,TN,5.4,87.1,4.6,0.1,1.0,0.0
Charleston,WV,1.1,88.0,4.4,0.1,1.1,0.0
Charlo,MT,4.0,66.3,0.2,23.3,0.4,0.0
Charlottesville,VA,5.0,66.4,19.2,0.2,6.6,0.2
Chase,LA,0.4,65.9,32.7,0.0,0.1,0.0
Chateaugay,NY,3.3,81.9,5.4,7.2,0.4,0.0
Chatfield,MN,2.7,92.0,1.4,0.4,2.6,0.0
Cherokee,AL,9.049999999999999,78.7,9.85,0.6499999999999999,0.2,0.1
Cherokee,NC,2.4,64.0,1.5,26.1,0.5,0.0
Cherokee,TX,28.9,66.4,3.2,0.0,0.3,0.0
Cherryvale,KS,2.8,92.9,0.2,0.5,0.6,0.0
Chesapeake,VA,5.1,59.2,29.3,0.2,3.2,0.1
Chester,IA,1.5,96.8,0.3,0.0,0.2,0.0
Chester,PA,3.4,69.2,20.3,0.1,5.0,0.0
Chester,TX,14.2,71.1,10.9,1.3,0.6,0.0
Chester Gap,VA,3.9,87.9,4.0,0.2,1.0,0.0
Chesterland,OH,1.3,95.8,1.3,0.0,0.6,0.0
Cheyenne,WY,14.0,79.2,2.8,0.8,1.1,0.1
Cheyenne Wells,CO,12.9,84.5,0.3,0.1,1.5,0.0
Chicopee,MA,22.7,65.4,7.8,0.1,2.1,0.0
Chicora,PA,0.7,97.4,0.9,0.0,0.2,0.0
Chiefland,FL,8.0,80.1,9.1,0.4,0.5,0.0
Chili,WI,4.1,93.8,0.4,0.3,0.4,0.0
Chillicothe,MO,1.5,93.4,2.6,0.7,0.5,0.3
Chillicothe,TX,20.4,69.8,8.8,0.0,0.2,0.0
Chilton,WI,3.9,91.7,0.7,0.6,2.3,0.0
Christiana,TN,7.1,74.0,13.4,0.1,3.0,0.0
Christmas Valley,OR,7.7,85.6,0.4,0.8,0.6,0.0
Church Hill,TN,1.3,95.4,1.4,0.2,0.4,0.0
Ciales,PR,99.5,0.5,0.0,0.0,0.0,0.0
Cibolo,TX,36.7,52.6,6.7,0.2,1.6,0.0
Cidra,PR,99.5,0.3,0.0,0.0,0.1,0.0
Cincinnati,OH,2.8,66.8,25.6,0.1,2.2,0.0
Cincinnatus,NY,2.5,92.9,1.5,0.1,0.9,0.0
Cisco,TX,14.8,80.2,2.8,0.2,0.4,0.0
Claremont,IL,1.5,96.0,0.4,0.2,0.4,0.0
Claremont,SD,4.8,83.4,0.6,9.0,0.0,0.0
Clarence,MO,1.3,96.6,1.6,0.0,0.0,0.0
Clarence,PA,2.7,86.6,3.5,0.2,5.5,0.0
Clarendon,TX,10.1,82.5,5.7,0.6,0.4,0.1
Clark,SD,2.5,93.8,0.8,1.0,0.8,0.0
Clarks Mills,PA,1.3,90.5,5.6,0.1,0.7,0.0
Clarksdale,MO,2.1,95.2,0.8,0.5,0.2,0.0
Clarkson,NE,5.0,92.5,0.6,0.1,0.3,0.0
Clarkston,WA,3.6,91.6,0.4,1.1,0.9,0.3
Clay City,IL,1.4,96.4,0.5,0.2,0.2,0.0
Clayton,GA,5.25,91.0,1.25,0.4,0.5,0.0
Clayton,IN,3.4,86.7,5.7,0.1,2.4,0.0
Clayton,NM,38.6,61.1,0.0,0.0,0.2,0.0
Clayton,OK,3.2,73.1,1.2,11.7,0.4,0.0
Cle Elum,WA,8.5,84.6,0.9,0.8,2.2,0.1
Clearbrook,MN,1.6,85.8,0.3,8.5,0.4,0.1
Cleveland,GA,4.6,90.9,2.0,0.6,0.3,0.0
Cleveland,NY,5.1,83.3,5.6,0.2,3.6,0.0
Cleveland,OH,5.3,60.4,29.3,0.2,2.8,0.0
Cleveland,TX,20.0,67.2,10.6,0.2,0.7,0.0
Clifford,VA,2.1,75.6,18.4,0.3,0.7,0.0
Clifton,KS,2.5,94.8,0.6,0.2,0.5,0.0
Clifton,TX,16.9,79.4,1.4,0.4,0.4,0.0
Clifton Forge,VA,1.4,92.0,5.3,0.0,0.2,0.0
Clinton,KY,1.0,87.6,9.1,0.0,0.5,0.0
Clio,AL,4.6,46.2,46.7,0.2,0.4,0.0
Cloquet,MN,1.6,88.6,1.2,5.4,0.6,0.0
Clover,SC,4.8,71.8,18.8,0.6,1.7,0.0
Cloverdale,OR,10.0,85.3,0.2,0.9,0.9,0.3
Cluster Springs,VA,1.9,59.9,36.7,0.1,0.6,0.0
Coahoma,TX,39.9,51.5,5.2,0.7,0.9,0.4
Coal City,IL,9.0,87.6,1.4,0.1,0.7,0.0
Coalgate,OK,3.6,71.0,0.3,11.5,0.2,0.0
Coamo,PR,99.8,0.2,0.0,0.0,0.0,0.0
Coats,KS,6.6,89.5,0.7,1.7,0.0,0.1
Coatsville,MO,0.8,97.6,0.3,0.1,0.3,0.5
Coeburn,VA,0.8,98.0,0.9,0.0,0.1,0.0
Coffeeville,MS,0.1,55.5,43.5,0.0,0.5,0.0
Colby,KS,5.4,91.5,1.8,0.3,0.1,0.1
Cold Brook,NY,1.9,95.0,0.9,0.2,0.4,0.1
Coldwater,MS,2.5,65.1,30.8,0.0,0.4,0.0
Colebrook,NH,1.5,94.4,1.7,0.6,0.4,0.0
Coleman,MI,1.85,94.2,0.8999999999999999,0.45,1.3499999999999999,0.0
Collierville,TN,2.5,68.2,27.6,0.0,0.6,0.0
Collins,GA,10.7,58.7,28.9,0.3,0.3,0.0
Collinston,LA,1.2,49.8,47.3,0.1,0.3,0.0
Collison,IL,4.6,79.4,13.8,0.3,0.8,0.0
Colonial Heights,VA,5.0,76.8,12.7,0.6,3.5,0.0
Colorado City,TX,38.7,48.7,10.6,0.3,0.5,0.0
Colt,AR,4.4,41.2,51.7,0.3,0.3,0.0
Columbia,CA,11.4,81.4,1.8,1.5,1.4,0.1
Columbia,TN,5.2,79.9,11.7,0.4,0.8,0.0
Columbia City,IN,1.9,95.9,0.4,0.4,0.3,0.0
Columbia Falls,MT,2.6,93.3,0.3,1.5,0.5,0.0
Columbiaville,MI,4.4,92.3,1.3,0.2,0.5,0.0
Columbus,GA,7.3,42.4,44.2,0.3,2.3,0.2
Columbus,IN,6.2,84.9,2.0,0.3,4.9,0.1
Columbus,NE,9.85,88.0,0.25,0.15000000000000002,0.5,0.0
Columbus Grove,OH,5.8,93.0,0.3,0.0,0.2,0.0
Comanche,OK,6.8,81.4,1.9,5.7,0.5,0.0
Comer,GA,3.9,76.3,16.0,0.4,0.3,0.0
Comerio,PR,99.8,0.1,0.0,0.0,0.0,0.0
Comfort,TX,21.8,75.1,0.7,0.0,0.7,0.0
Comfrey,MN,7.0,87.7,0.6,0.5,2.7,0.0
Comins,MI,1.3,96.0,0.4,0.7,0.1,0.1
Commerce,GA,4.2,84.3,9.6,0.0,0.7,0.0
Commerce,OK,5.1,66.3,0.9,13.7,0.7,0.7
Commiskey,IN,2.3,95.5,1.4,0.1,0.2,0.0
Concord,NE,11.7,86.6,0.4,0.1,0.1,0.1
Concord,TX,14.0,76.8,7.5,0.4,0.4,0.0
Concrete,WA,17.5,75.7,0.7,1.3,1.8,0.4
Conehatta,MS,1.6,62.3,30.4,4.8,0.3,0.0
Conley,GA,13.1,13.7,65.8,0.2,5.2,0.0
Connellsville,PA,1.0,92.4,4.0,0.1,0.2,0.2
Conover,WI,1.8,85.5,0.2,8.9,0.5,0.0
Conrad,MT,1.8,81.3,0.3,14.3,0.4,0.0
Conroe,TX,22.2,69.1,3.4,0.3,2.5,0.0
Converse,IN,3.0,86.2,6.9,0.2,1.2,0.0
Conway,NC,1.9,38.6,56.7,0.2,0.1,0.1
Conway,SC,6.1,77.0,13.4,0.4,1.1,0.1
Conway Springs,KS,5.2,90.3,0.9,1.3,0.2,0.1
Cook Station,MO,1.7,95.9,0.2,0.6,0.1,0.0
Coon Valley,WI,1.5,96.5,0.5,0.2,0.5,0.0
Cooper,IA,2.6,95.4,0.1,0.0,0.4,0.0
Coquille,OR,5.9,85.8,0.6,2.5,1.2,0.1
Cora,WY,7.7,88.1,0.0,0.0,0.5,0.0
Corinth,KY,2.5,94.2,0.3,0.1,0.0,0.0
Corinth,ME,1.2,94.2,0.8,1.1,1.1,0.0
Cornersville,TN,4.9,86.0,7.0,0.0,0.5,0.0
Corning,CA,23.5,70.1,0.5,1.8,1.3,0.2
Cornish,NH,1.4,95.7,0.4,0.5,0.9,0.0
Corsica,SD,6.1,90.0,0.4,2.4,0.2,0.0
Cortez,CO,12.1,73.5,0.1,11.3,0.2,0.0
Corunna,IN,2.6,95.3,0.1,0.1,0.5,0.0
Corunna,MI,2.7,94.5,0.5,0.4,0.4,0.0
Corwith,IA,3.7,94.2,0.6,0.1,0.3,0.0
Cosby,TN,3.7,92.35,1.1,0.25,0.6,0.0
Coshocton,OH,0.9,96.2,1.1,0.1,0.4,0.0
Cost,TX,49.1,43.2,6.6,0.1,0.1,0.0
Cotopaxi,CO,13.0,78.0,5.1,1.3,0.7,0.1
Cotter,AR,1.9,95.3,0.3,0.6,0.5,0.0
Cotton Center,TX,57.9,35.4,4.6,0.1,0.4,0.0
Cottonwood Falls,KS,3.9,92.5,0.9,1.5,0.0,0.0
Cotulla,TX,83.2,15.3,0.9,0.0,0.0,0.0
Couch,MO,1.5,94.5,0.2,1.3,0.1,0.0
Coulee City,WA,30.0,66.1,0.2,0.9,0.7,0.0
Council,ID,3.1,93.5,0.0,1.7,0.1,0.0
Coupeville,WA,6.6,80.9,2.8,1.0,4.6,0.5
Courtland,MS,1.6,47.8,50.0,0.0,0.0,0.0
Cove City,NC,6.9,66.6,21.1,0.4,2.4,0.1
Covington,GA,9.9,37.6,48.6,0.1,2.0,0.2
Covington,LA,5.2,79.5,11.7,0.4,1.5,0.0
Covington,MI,1.3,73.3,18.3,4.5,0.5,0.0
Covington,PA,1.3,96.2,0.7,0.1,0.5,0.0
Covington,VA,0.65,88.75,7.05,0.0,0.7,0.15
Coxsackie,NY,5.3,86.2,5.8,0.0,1.0,0.0
Coy,AL,0.6,27.4,72.0,0.0,0.0,0.0
Crab Orchard,NE,9.9,81.3,6.7,0.4,0.8,0.0
Crab Orchard,TN,2.7,94.9,0.6,0.3,0.4,0.0
Craigsville,VA,2.9,92.4,2.7,0.2,0.1,0.0
Craigville,IN,4.4,94.1,0.7,0.1,0.3,0.0
Crane,IN,0.2,97.4,0.3,0.4,0.6,0.1
Crane,TX,60.0,35.7,3.5,0.7,0.0,0.0
Crawford,OK,6.5,84.9,0.1,1.8,0.0,0.1
Crawfordsville,IA,16.1,79.8,0.8,0.2,2.5,0.1
Crawfordville,GA,3.05,45.0,50.5,0.0,0.6,0.0
Crayne,KY,0.7,96.7,1.2,0.2,0.0,0.0
Crenshaw,MS,0.9,28.3,70.2,0.0,0.0,0.0
Creole,LA,4.2,92.2,3.1,0.0,0.3,0.0
Cresco,PA,14.2,68.5,12.7,0.2,2.2,0.0
Crestline,OH,1.4,96.0,0.7,0.0,0.4,0.0
Creston,IA,2.5,95.0,1.0,0.4,0.3,0.0
Creston,WV,0.2,97.3,0.8,0.4,0.0,0.0
Creswell,NC,9.7,56.2,30.4,0.2,2.8,0.2
Cromwell,KY,3.7,94.2,1.4,0.0,0.1,0.0
Crook,CO,15.4,78.5,1.4,1.2,2.1,0.0
Cropwell,AL,2.2,86.3,9.4,0.4,0.8,0.0
Crossville,AL,14.0,80.9,1.8,1.1,0.3,0.1
Crowell,TX,22.35,72.2,4.8,0.05,0.5,0.0
Crowley,TX,19.5,74.6,2.5,0.5,0.8,0.4
Crown Point,IN,17.7,54.8,24.4,0.2,1.3,0.0
Crystal Spring,PA,1.1,96.5,1.3,0.2,0.1,0.0
Crystal Springs,MS,2.8,45.2,50.8,0.0,0.5,0.0
Cub Run,KY,1.6,92.0,4.7,0.2,0.2,0.0
Cuba,IL,2.7,92.2,3.5,0.1,0.3,0.1
Culbertson,MT,1.1,36.7,0.1,55.5,0.2,0.0
Culbertson,NE,2.7,96.6,0.1,0.3,0.1,0.0
Culebra,PR,95.7,3.4,0.0,0.3,0.0,0.0
Cullman,AL,4.3,92.2,1.1,0.4,0.6,0.0
Cumberland,KY,0.8,95.2,2.4,0.2,0.4,0.2
Cumberland Center,ME,1.9,91.1,2.6,0.2,2.1,0.0
Cumberland Gap,TN,1.0,95.6,1.1,0.0,0.4,0.1
Currie,MN,3.2,94.3,0.4,0.3,0.4,0.4
Cushing,IA,1.9,96.2,0.5,0.4,0.3,0.0
Cushing,OK,2.9,83.5,1.7,7.2,0.1,0.0
Cushing,WI,1.7,95.5,0.4,0.9,0.5,0.0
Cusseta,AL,0.4,57.3,40.3,0.2,0.8,0.0
Cusseta,GA,14.9,60.2,14.8,1.3,2.9,0.3
Cut Bank,MT,2.5,32.0,0.3,63.1,0.5,0.1
Cutler,IL,2.3,86.3,8.7,0.3,0.4,0.0
Cuyahoga Falls,OH,1.8,78.6,14.2,0.2,2.6,0.0
Cynthiana,IN,1.0,96.4,1.3,0.0,0.4,0.0
Cypress,FL,4.7,65.6,26.6,0.5,0.6,0.1
Cypress,IL,3.0,86.3,8.8,0.1,0.2,0.0
Daggett,MI,1.6,93.7,0.3,2.0,0.2,0.0
Dahlonega,GA,3.9,93.0,0.6,0.2,0.5,0.0
Dailey,WV,0.8,96.2,1.9,0.2,0.2,0.0
Daisy,GA,11.9,56.6,30.2,0.0,0.8,0.0
Dakota City,IA,3.7,94.5,0.1,0.1,0.2,0.0
Daleville,AL,6.2,70.65,18.299999999999997,0.65,1.2,0.0
Daleville,MS,2.1,53.4,42.4,0.2,0.8,0.0
Dalhart,TX,33.95,58.150000000000006,4.8,0.55,0.55,0.0
Dalton,MA,3.9,89.7,2.7,0.2,1.5,0.0
Damon,TX,28.9,50.6,12.8,0.3,5.9,0.0
Dana,IL,8.8,86.9,2.4,0.1,0.7,0.0
Danville,GA,2.7,69.5,26.2,0.1,0.6,0.0
Danville,PA,2.5,93.6,1.8,0.1,1.2,0.0
Danville,VA,3.3,45.1,48.4,0.1,1.2,0.0
Darlington,IN,4.5,92.5,0.9,0.3,0.5,0.0
Datto,AR,1.7,96.0,0.4,0.3,0.1,0.0
Davidson,NC,7.2,76.8,12.1,0.3,2.3,0.0
Davis,WV,0.5,97.7,0.2,0.0,0.6,0.0
Dawson Springs,KY,1.6,90.2,5.85,0.1,0.25,0.15
Dawsonville,GA,10.149999999999999,81.8,1.75,0.2,4.3500000000000005,0.0
Dayton,OH,2.55,78.2,13.8,0.15000000000000002,2.45,0.0
Dayton,TN,4.4,91.3,2.5,0.1,0.1,0.0
De Borgia,MT,1.6,97.3,0.1,0.5,0.2,0.0
De Mossville,KY,1.1,97.1,0.6,0.1,0.0,0.0
De Queen,AR,32.2,59.3,4.7,1.9,0.5,0.0
De Smet,SD,2.1,95.4,0.6,0.1,0.6,0.0
De Soto,WI,1.1,95.5,1.8,0.6,0.4,0.0
Dearborn,MO,5.9,84.5,5.1,0.2,0.9,0.2
Deary,ID,4.0,89.9,0.6,0.6,2.2,0.0
Decatur,AL,7.8,76.8,12.1,0.5,0.6,0.1
Decatur,TN,1.4,94.9,1.6,0.1,0.0,0.0
Decorah,IA,3.75,93.65,0.8,0.15000000000000002,0.75,0.0
Dedham,MA,3.8,78.1,6.0,0.1,9.7,0.0
Deer Island,OR,4.6,89.5,0.5,1.2,1.1,0.2
Deer Lodge,TN,1.1,93.4,4.3,0.0,0.0,0.0
Deer Park,AL,1.3,65.2,24.9,8.1,0.4,0.0
Deer Trail,CO,6.2,89.9,0.5,0.4,0.5,0.0
Deerfield,WI,6.2,80.8,5.0,0.2,5.4,0.0
Defuniak Springs,FL,5.9,84.3,5.1,0.9,1.2,0.2
Delcambre,LA,3.0,78.8,14.1,0.6,2.1,0.0
Delta,CO,20.2,76.4,0.5,0.3,0.4,0.3
Delta,OH,8.2,89.8,0.5,0.1,0.3,0.0
Deltona,FL,12.1,73.9,10.3,0.3,1.7,0.0
Deming,NM,64.1,33.0,1.0,0.9,0.4,0.1
Denhoff,ND,0.3,98.2,0.0,0.4,0.0,0.0
Denmark,SC,1.3,35.5,62.3,0.1,0.4,0.0
Dennis,MA,2.6,91.1,2.5,0.4,1.4,0.0
Denver,CO,30.9,53.1,9.4,0.6,3.5,0.1
Denver,MO,1.4,96.2,0.0,0.0,0.0,0.0
Denver City,TX,50.6,46.55,1.25,0.2,0.65,0.15
Depew,OK,3.7,77.4,2.3,10.2,0.5,0.0
Derry,NH,2.5,93.5,0.7,0.1,1.8,0.0
Detroit,MI,5.5,49.8,39.2,0.3,2.9,0.0
Devol,OK,7.0,77.2,2.0,8.0,0.6,0.0
Dewy Rose,GA,4.45,69.69999999999999,25.05,0.05,0.30000000000000004,0.0
Dexter,IA,2.1,96.1,0.8,0.1,0.1,0.2
Dexter,KY,2.5,89.6,3.9,0.3,2.2,0.0
Dexter,MO,1.6,95.8,1.5,0.1,0.0,0.0
Diaz,AR,2.8,77.6,17.2,0.5,0.2,0.0
Dickinson,AL,0.3,53.4,45.3,0.0,0.4,0.4
Dickinson,ND,4.4,90.3,1.1,0.9,1.3,0.1
Dilley,TX,78.1,17.0,3.9,0.0,0.4,0.0
Dillon,CO,14.7,81.0,1.2,0.2,0.9,0.4
Dingmans Ferry,PA,9.9,81.8,5.5,0.2,1.2,0.0
Dinwiddie,VA,2.8,62.6,32.8,0.1,0.4,0.0
Disputanta,VA,3.3,38.5,55.8,0.3,0.1,0.1
Divide,CO,6.1,89.6,1.1,0.3,0.9,0.0
Dixfield,ME,1.1,95.8,0.4,0.5,0.6,0.0
Dixon Springs,TN,0.4,85.5,12.0,0.0,1.2,0.0
Dodge,NE,10.05,87.6,0.2,0.15000000000000002,0.44999999999999996,0.1
Dodson,LA,0.6,65.3,32.6,0.7,0.0,0.0
Dodson,MT,2.4,47.3,0.2,48.0,0.0,0.3
Dolliver,IA,9.0,88.5,1.4,0.4,0.2,0.0
Donaldsonville,LA,5.0,69.8,21.8,0.1,0.9,0.0
Donnelly,ID,1.4,97.0,0.0,0.0,0.2,0.0
Doon,IA,2.5,96.3,0.1,0.2,0.3,0.0
Dorado,PR,98.7,1.05,0.15000000000000002,0.0,0.0,0.0
Doswell,VA,2.5,84.7,9.2,0.1,1.5,0.0
Dothan,AL,2.85,68.0,27.299999999999997,0.15,0.4,0.0
Douglas,GA,10.9,59.3,28.2,0.1,0.6,0.0
Douglass,TX,18.5,60.4,18.0,0.4,1.6,0.0
Douglasville,GA,8.8,45.9,41.2,0.1,1.7,0.0
Dove Creek,CO,5.9,90.7,0.0,1.2,0.0,0.2
Dover,DE,6.5,63.7,23.4,0.6,2.1,0.0
Dover,OK,14.5,78.2,0.5,3.9,0.0,0.0
Dow City,IA,27.0,69.1,1.0,0.9,0.3,0.2
Downsville,LA,4.3,68.1,25.8,0.0,0.2,0.2
Doyle,TN,2.0,94.0,1.7,0.0,0.0,0.0
Doylesburg,PA,4.9,89.2,3.6,0.2,1.0,0.0
Drakes Branch,VA,4.0,60.0,33.8,0.1,0.3,0.0
Drewsey,OR,4.6,87.8,0.7,4.1,0.6,0.1
Driscoll,ND,5.0,94.7,0.0,0.0,0.0,0.0
Drummond,WI,1.5,85.4,0.6,9.9,0.4,0.0
Dry Branch,GA,0.1,55.8,42.0,0.1,0.0,0.0
Dryden,TX,68.0,27.8,1.6,0.8,1.8,0.0
Du Bois,NE,1.8,92.7,0.0,2.0,0.3,0.0
Duck Hill,MS,1.1,52.5,45.0,0.0,0.2,0.0
Dudley,GA,2.5,59.4,36.0,0.1,1.1,0.0
Duke Center,PA,2.0,93.8,2.3,0.2,0.5,0.0
Dulce,NM,71.5,13.1,0.4,14.0,0.4,0.0
Duluth,MN,1.4,91.7,1.5,1.9,1.0,0.0
Dumont,MN,1.1,97.1,0.2,0.2,0.1,0.0
Dundee,MS,0.3,22.6,75.8,0.1,0.6,0.0
Dunellen,NJ,19.6,46.1,9.2,0.1,23.2,0.0
Dunn Center,ND,2.8,83.1,0.1,9.9,1.3,0.1
Dunning,NE,0.0,98.7,0.0,0.0,0.4,0.4
Dupree,SD,3.7,23.7,0.3,70.6,0.7,0.0
Durand,WI,1.4,97.0,0.4,0.1,0.2,0.0
Durango,CO,19.3,76.7,0.0,1.5,0.0,0.0
