index,City,State,population,minimum_age_x,minimum_age_y
150,Aguanga,CA,165308,0.0,80.0
151,Aguas Buenas,PR,1242780,0.0,80.0
152,Aguila,AZ,52008,0.0,80.0
153,Aguilar,CO,40876,0.0,80.0
154,Aguirre,PR,372284,0.0,80.0
155,Ahmeek,MI,14916,0.0,80.0
156,Ahoskie,NC,517176,0.0,80.0
157,Ahsahka,ID,8536,0.0,80.0
158,Ahwahnee,CA,82500,0.0,80.0
159,Aibonito,PR,1107216,0.0,80.0
160,Aiea,HI,1726560,0.0,80.0
161,Aiken,SC,2997060,0.0,80.0
162,Ailey,GA,94600,0.0,80.0
163,Aimwell,LA,5148,0.0,80.0
164,Ainsworth,IA,55176,0.0,80.0
165,Ainsworth,NE,103664,0.0,80.0
166,Airville,PA,134156,0.0,80.0
167,Airway Heights,WA,269412,0.0,80.0
168,Aitkin,MN,378048,0.0,80.0
169,Ajo,AZ,190740,0.0,80.0
170,Akaska,SD,3300,0.0,80.0
171,Akeley,MN,79772,0.0,80.0
172,Akiachak,AK,27500,0.0,80.0
173,Akiak,AK,15224,0.0,80.0
174,Akron,AL,45892,0.0,80.0
175,Akron,CO,108944,0.0,80.0
176,Akron,IA,103092,0.0,80.0
177,Akron,IN,145684,0.0,80.0
178,Akron,MI,59268,0.0,80.0
179,Akron,NY,408100,0.0,80.0
180,Akron,OH,11705408,0.0,80.0
181,Akron,PA,185240,0.0,80.0
182,Akutan,AK,45144,0.0,80.0
183,Alabaster,AL,1141272,0.0,80.0
184,Alachua,FL,658636,0.0,80.0
185,Aladdin,WY,10560,0.0,80.0
186,Alakanuk,AK,29568,0.0,80.0
187,Alamance,NC,2596,0.0,80.0
188,Alameda,CA,3174160,0.0,80.0
189,Alamo,CA,643104,0.0,80.0
190,Alamo,GA,190344,0.0,80.0
191,Alamo,IN,2772,0.0,80.0
192,Alamo,ND,9020,0.0,80.0
193,Alamo,NV,53328,0.0,80.0
194,Alamo,TN,202884,0.0,80.0
195,Alamo,TX,1467620,0.0,80.0
196,Alamogordo,NM,1582328,0.0,80.0
197,Alamosa,CO,636724,0.0,80.0
198,Alanson,MI,199276,0.0,80.0
199,Alapaha,GA,94688,0.0,80.0
200,Alba,MI,10208,0.0,80.0
201,Alba,MO,27808,0.0,80.0
202,Alba,TX,187836,0.0,80.0
203,Albany,CA,848892,0.0,80.0
204,Albany,GA,4402112,0.0,80.0
205,Albany,IL,53240,0.0,80.0
206,Albany,IN,177408,0.0,80.0
207,Albany,KY,442904,0.0,80.0
208,Albany,LA,229988,0.0,80.0
209,Albany,MN,218812,0.0,80.0
210,Albany,MO,100892,0.0,80.0
211,Albany,NY,6487844,0.0,80.0
212,Albany,OH,239756,0.0,80.0
213,Albany,OR,2542408,0.0,80.0
214,Albany,TX,108460,0.0,80.0
215,Albany,VT,28908,0.0,80.0
216,Albany,WI,105028,0.0,80.0
217,Albemarle,NC,1149412,0.0,80.0
218,Albers,IL,81532,0.0,80.0
219,Albert,KS,13464,0.0,80.0
220,Albert City,IA,45716,0.0,80.0
221,Albert Lea,MN,894344,0.0,80.0
222,Alberta,AL,33660,0.0,80.0
223,Alberta,MN,10912,0.0,80.0
224,Alberta,VA,69036,0.0,80.0
225,Alberton,MT,58784,0.0,80.0
226,Albertson,NC,119636,0.0,80.0
227,Albertson,NY,316140,0.0,80.0
228,Albertville,AL,1473956,0.0,80.0
229,Albertville,MN,462088,0.0,80.0
230,Albia,IA,254056,0.0,80.0
231,Albin,WY,17292,0.0,80.0
232,Albion,CA,40832,0.0,80.0
233,Albion,IA,31856,0.0,80.0
234,Albion,ID,24376,0.0,80.0
235,Albion,IL,145332,0.0,80.0
236,Albion,IN,344652,0.0,80.0
237,Albion,ME,88000,0.0,80.0
238,Albion,MI,611248,0.0,80.0
239,Albion,NE,124476,0.0,80.0
240,Albion,NY,621720,0.0,80.0
241,Albion,OK,9372,0.0,80.0
242,Albion,PA,285824,0.0,80.0
243,Albion,RI,34364,0.0,80.0
244,Albion,WA,21736,0.0,80.0
245,Alborn,MN,21824,0.0,80.0
246,Albright,WV,79948,0.0,80.0
247,Albrightsville,PA,360844,0.0,80.0
248,Albuquerque,NM,27745476,0.0,80.0
249,Alburg,VT,86812,0.0,80.0
250,Alburnett,IA,49896,0.0,80.0
251,Alburtis,PA,237952,0.0,80.0
252,Alcalde,NM,119372,0.0,80.0
253,Alcester,SD,70708,0.0,80.0
254,Alcoa,TN,292864,0.0,80.0
255,Alcolu,SC,93104,0.0,80.0
256,Alcova,WY,9108,0.0,80.0
257,Alcove,NY,2640,0.0,80.0
258,Alda,NE,48268,0.0,80.0
259,Alden,IA,72512,0.0,80.0
260,Alden,KS,10032,0.0,80.0
261,Alden,MI,48444,0.0,80.0
262,Alden,MN,68992,0.0,80.0
263,Alden,NY,545072,0.0,80.0
264,Alder,MT,12276,0.0,80.0
265,Alder Creek,NY,4224,0.0,80.0
266,Alderpoint,CA,15708,0.0,80.0
267,Alderson,OK,15092,0.0,80.0
268,Alderson,WV,233464,0.0,80.0
269,Aldie,VA,496540,0.0,80.0
270,Aldrich,MN,10296,0.0,80.0
271,Aldrich,MO,35200,0.0,80.0
272,Aledo,IL,234520,0.0,80.0
273,Aledo,TX,594220,0.0,80.0
274,Aleknagik,AK,9636,0.0,80.0
275,Aleppo,PA,12584,0.0,80.0
276,Alex,OK,46024,0.0,80.0
277,Alexander,AR,617716,0.0,80.0
278,Alexander,IA,16104,0.0,80.0
279,Alexander,IL,18744,0.0,80.0
280,Alexander,KS,3916,0.0,80.0
281,Alexander,NC,158092,0.0,80.0
282,Alexander,ND,20460,0.0,80.0
283,Alexander,NY,86636,0.0,80.0
284,Alexander City,AL,894784,0.0,80.0
285,Alexandria,AL,200552,0.0,80.0
286,Alexandria,IN,451484,0.0,80.0
287,Alexandria,KY,715704,0.0,80.0
288,Alexandria,LA,2539856,0.0,80.0
289,Alexandria,MN,1016532,0.0,80.0
290,Alexandria,MO,27852,0.0,80.0
291,Alexandria,NE,12320,0.0,80.0
292,Alexandria,OH,104280,0.0,80.0
293,Alexandria,PA,104456,0.0,80.0
294,Alexandria,SD,70268,0.0,80.0
295,Alexandria,TN,99088,0.0,80.0
296,Alexandria,VA,13962564,0.0,80.0
297,Alexandria Bay,NY,77308,0.0,80.0
298,Alexis,IL,56804,0.0,80.0
299,Alexis,NC,49104,0.0,80.0
300,Alford,FL,92796,0.0,80.0
301,Alfred,ME,319660,0.0,80.0
302,Alfred,NY,181148,0.0,80.0
303,Alfred Station,NY,50908,0.0,80.0
304,Alger,MI,133628,0.0,80.0
305,Alger,OH,84084,0.0,80.0
306,Algodones,NM,160820,0.0,80.0
307,Algoma,WI,227040,0.0,80.0
308,Algona,IA,300300,0.0,80.0
309,Algonac,MI,518100,0.0,80.0
310,Algonquin,IL,1404832,0.0,80.0
311,Alhambra,CA,3557532,0.0,80.0
312,Alhambra,IL,73788,0.0,80.0
313,Alice,TX,1244584,0.0,80.0
314,Aliceville,AL,213092,0.0,80.0
315,Alicia,AR,21780,0.0,80.0
316,Aline,OK,21956,0.0,80.0
317,Aliquippa,PA,1369192,0.0,80.0
318,Aliso Viejo,CA,2134616,0.0,80.0
319,Alkol,WV,49192,0.0,80.0
320,Allakaket,AK,9108,0.0,80.0
321,Allamuchy,NJ,1672,0.0,80.0
322,Allardt,TN,39424,0.0,80.0
323,Alledonia,OH,8800,0.0,80.0
324,Alleene,AR,4488,0.0,80.0
325,Allegan,MI,750772,0.0,80.0
326,Allegany,NY,272052,0.0,80.0
327,Alleghany,CA,3740,0.0,80.0
328,Alleman,IA,20592,0.0,80.0
329,Allen,KS,23232,0.0,80.0
330,Allen,KY,32340,0.0,80.0
331,Allen,MD,21032,0.0,80.0
332,Allen,MI,55308,0.0,80.0
333,Allen,NE,35772,0.0,80.0
334,Allen,OK,93720,0.0,80.0
335,Allen,SD,38324,0.0,80.0
336,Allen,TX,4091912,0.0,80.0
337,Allen Junction,WV,11308,0.0,80.0
338,Allen Park,MI,1194864,0.0,80.0
339,Allendale,IL,42944,0.0,80.0
340,Allendale,MI,907896,0.0,80.0
341,Allendale,MO,2332,0.0,80.0
342,Allendale,NJ,274736,0.0,80.0
343,Allendale,SC,215908,0.0,80.0
344,Allenhurst,GA,200948,0.0,80.0
345,Allenhurst,NJ,65736,0.0,80.0
346,Allenport,PA,19668,0.0,80.0
347,Allenspark,CO,18172,0.0,80.0
348,Allensville,KY,28292,0.0,80.0
349,Allensville,PA,34144,0.0,80.0
350,Allenton,MI,142472,0.0,80.0
351,Allenton,WI,100188,0.0,80.0
352,Allentown,GA,4796,0.0,80.0
353,Allentown,NJ,286572,0.0,80.0
354,Allentown,NY,10296,0.0,80.0
355,Allentown,PA,7122764,0.0,80.0
356,Allenwood,NJ,34056,0.0,80.0
357,Allenwood,PA,204776,0.0,80.0
358,Allerton,IA,37488,0.0,80.0
359,Allerton,IL,15664,0.0,80.0
360,Alleyton,TX,42548,0.0,80.0
361,Allgood,AL,5456,0.0,80.0
362,Alliance,NE,434632,0.0,80.0
363,Alliance,OH,1510916,0.0,80.0
364,Alligator,MS,25740,0.0,80.0
365,Allison,IA,67452,0.0,80.0
366,Allison,PA,23804,0.0,80.0
367,Allison,TX,6952,0.0,80.0
368,Allison Park,PA,1030700,0.0,80.0
369,Allons,TN,70400,0.0,80.0
370,Allouez,MI,14696,0.0,80.0
371,Alloway,NJ,36696,0.0,80.0
372,Alloy,WV,4928,0.0,80.0
373,Allport,PA,13772,0.0,80.0
374,Allred,TN,880,0.0,80.0
375,Allston,MA,939752,0.0,80.0
376,Allyn,WA,139260,0.0,80.0
377,Alma,AR,598576,0.0,80.0
378,Alma,CO,41008,0.0,80.0
379,Alma,GA,428208,0.0,80.0
380,Alma,IL,41096,0.0,80.0
381,Alma,KS,73216,0.0,80.0
382,Alma,MI,548196,0.0,80.0
383,Alma,MO,28072,0.0,80.0
384,Alma,NE,60280,0.0,80.0
385,Alma,NY,8052,0.0,80.0
386,Alma,WI,68948,0.0,80.0
387,Alma,WV,43604,0.0,80.0
388,Alma Center,WI,56672,0.0,80.0
389,Almena,KS,25872,0.0,80.0
390,Almena,WI,63580,0.0,80.0
391,Almira,WA,21384,0.0,80.0
392,Almo,ID,7172,0.0,80.0
393,Almo,KY,101640,0.0,80.0
394,Almond,NC,15972,0.0,80.0
395,Almond,NY,63932,0.0,80.0
396,Almond,WI,94776,0.0,80.0
397,Almont,CO,12056,0.0,80.0
398,Almont,MI,263956,0.0,80.0
399,Almont,ND,11352,0.0,80.0
400,Almyra,AR,32384,0.0,80.0
401,Alna,ME,30624,0.0,80.0
402,Alpaugh,CA,59180,0.0,80.0
403,Alpena,AR,73568,0.0,80.0
404,Alpena,MI,968484,0.0,80.0
405,Alpena,SD,22352,0.0,80.0
406,Alpha,IL,46508,0.0,80.0
407,Alpha,KY,5720,0.0,80.0
408,Alpha,MI,5940,0.0,80.0
409,Alpha,MN,17864,0.0,80.0
410,Alpha,OH,5588,0.0,80.0
411,Alpharetta,GA,7229948,0.0,80.0
412,Alpine,AL,198308,0.0,80.0
413,Alpine,AZ,20152,0.0,80.0
414,Alpine,CA,754072,0.0,80.0
415,Alpine,NJ,79772,0.0,80.0
416,Alpine,NY,47652,0.0,80.0
417,Alpine,TN,23892,0.0,80.0
418,Alpine,TX,332552,0.0,80.0
419,Alpine,UT,427812,0.0,80.0
420,Alpine,WY,70136,0.0,80.0
421,Alplaus,NY,21516,0.0,80.0
422,Alsea,OR,48752,0.0,80.0
423,Alsen,ND,2640,0.0,80.0
424,Alsey,IL,8624,0.0,80.0
425,Alsip,IL,965272,0.0,80.0
426,Alstead,NH,114840,0.0,80.0
427,Alston,GA,3432,0.0,80.0
428,Alta,CA,42592,0.0,80.0
429,Alta,IA,117348,0.0,80.0
430,Alta Loma,CA,2767908,0.0,80.0
431,Alta Vista,IA,26928,0.0,80.0
432,Alta Vista,KS,36520,0.0,80.0
433,Altadena,CA,1559492,0.0,80.0
434,Altair,TX,4664,0.0,80.0
435,Altamont,IL,189068,0.0,80.0
436,Altamont,KS,66616,0.0,80.0
437,Altamont,MO,20240,0.0,80.0
438,Altamont,NY,310288,0.0,80.0
439,Altamont,TN,62216,0.0,80.0
440,Altamont,UT,31636,0.0,80.0
441,Altamonte Springs,FL,2434652,0.0,80.0
442,Altavista,VA,241120,0.0,80.0
443,Altenburg,MO,35992,0.0,80.0
444,Altha,FL,196020,0.0,80.0
445,Altheimer,AR,56628,0.0,80.0
446,Altmar,NY,70400,0.0,80.0
447,Alto,GA,361240,0.0,80.0
448,Alto,MI,331364,0.0,80.0
449,Alto,NM,112420,0.0,80.0
450,Alto,TX,179828,0.0,80.0
451,Alto Pass,IL,29216,0.0,80.0
452,Alton,IA,73524,0.0,80.0
453,Alton,IL,1407164,0.0,80.0
454,Alton,KS,11528,0.0,80.0
455,Alton,MO,154704,0.0,80.0
456,Alton,NH,160688,0.0,80.0
