City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Chesterland,OH,82.0,9.6,8.1,0.2
Cheyenne,WY,67.6,27.7,4.5,0.2
Cheyenne Wells,CO,57.1,26.0,16.6,0.3
Chicopee,MA,79.5,15.1,5.2,0.1
Chicora,PA,84.9,10.0,4.9,0.1
Chiefland,FL,70.9,18.7,10.3,0.1
Chili,WI,75.8,9.0,14.7,0.6
Chillicothe,MO,72.6,17.2,9.7,0.5
Chillicothe,TX,67.3,25.3,7.5,0.0
Chilton,WI,86.0,9.5,4.3,0.2
Christiana,TN,80.6,13.4,5.8,0.1
Christmas Valley,OR,59.4,27.8,11.5,1.3
Church Hill,TN,79.8,12.6,7.6,0.0
Ciales,PR,58.5,35.8,5.8,0.0
Cibolo,TX,77.0,17.9,4.8,0.3
Cidra,PR,70.6,20.8,8.7,0.0
Cincinnati,OH,84.8,10.4,4.7,0.1
Cincinnatus,NY,72.7,20.6,6.5,0.2
Cisco,TX,76.4,15.1,7.8,0.7
Claremont,IL,79.6,14.2,6.1,0.1
Claremont,SD,67.7,18.0,14.2,0.2
Clarence,MO,74.4,13.5,11.8,0.3
Clarence,PA,78.9,16.1,4.9,0.1
Clarendon,TX,56.4,29.8,13.7,0.0
Clark,SD,66.9,12.8,18.7,1.5
Clarks Mills,PA,82.8,11.0,6.0,0.2
Clarksdale,MO,77.5,16.3,6.1,0.0
Clarkson,NE,74.0,14.6,10.2,1.1
Clarkston,WA,76.9,16.6,6.5,0.0
Clay City,IL,81.8,11.3,6.9,0.0
Clayton,GA,73.7,13.649999999999999,12.3,0.3
Clayton,IN,83.8,12.2,4.0,0.0
Clayton,NM,46.3,42.9,10.7,0.0
Clayton,OK,66.5,23.4,10.0,0.1
Cle Elum,WA,66.1,26.0,7.7,0.3
Clearbrook,MN,70.3,20.1,9.2,0.4
Cleveland,GA,73.2,17.2,9.1,0.4
Cleveland,NY,74.6,19.9,5.3,0.2
Cleveland,OH,83.1,12.6,4.2,0.1
Cleveland,TX,78.4,13.6,7.8,0.2
Clifford,VA,78.8,15.1,5.9,0.2
Clifton,KS,66.4,21.9,11.3,0.4
Clifton,TX,75.7,12.8,11.2,0.4
Clifton Forge,VA,77.3,16.3,6.3,0.1
Clinton,KY,76.1,15.0,9.0,0.0
Clio,AL,71.8,20.8,7.3,0.1
Cloquet,MN,72.8,20.4,6.4,0.3
Clover,SC,82.2,12.6,5.0,0.2
Cloverdale,OR,73.7,16.5,9.8,0.1
Cluster Springs,VA,73.5,18.9,7.3,0.3
Coahoma,TX,72.0,23.0,4.9,0.1
Coal City,IL,83.7,12.2,4.1,0.1
Coalgate,OK,64.6,25.2,9.5,0.7
Coamo,PR,64.4,28.0,7.5,0.0
Coats,KS,71.9,17.2,9.6,1.3
Coatsville,MO,68.1,17.7,13.6,0.5
Coeburn,VA,66.5,28.8,4.3,0.3
Coffeeville,MS,82.2,12.6,5.1,0.1
Colby,KS,69.9,18.5,11.4,0.1
Cold Brook,NY,76.3,16.7,6.9,0.2
Coldwater,MS,79.9,15.8,4.2,0.1
Colebrook,NH,72.7,18.0,9.0,0.4
Coleman,MI,83.0,10.399999999999999,6.15,0.5
Collierville,TN,79.8,13.0,7.1,0.1
Collins,GA,66.7,24.8,8.4,0.1
Collinston,LA,84.4,12.1,3.4,0.1
Collison,IL,78.9,15.2,5.7,0.2
Colonial Heights,VA,71.7,24.1,3.8,0.4
Colorado City,TX,66.7,25.9,7.0,0.4
Colt,AR,70.7,22.1,6.9,0.3
Columbia,CA,67.3,19.8,12.4,0.5
Columbia,TN,81.2,11.6,7.0,0.2
Columbia City,IN,85.1,9.3,5.5,0.1
Columbia Falls,MT,78.2,13.4,8.1,0.3
Columbiaville,MI,85.0,9.1,5.7,0.2
Columbus,GA,75.6,20.3,4.0,0.1
Columbus,IN,87.8,7.6,4.5,0.1
Columbus,NE,76.30000000000001,13.25,10.05,0.35
Columbus Grove,OH,84.7,11.0,4.1,0.1
Comanche,OK,78.0,14.6,7.0,0.4
Comer,GA,67.7,25.1,7.1,0.0
Comerio,PR,63.5,28.4,8.2,0.0
Comfort,TX,73.9,15.7,10.4,0.0
Comfrey,MN,75.1,13.3,11.3,0.3
Comins,MI,73.2,16.0,10.2,0.6
Commerce,GA,78.0,14.6,7.3,0.0
Commerce,OK,73.7,20.9,5.1,0.3
Commiskey,IN,81.9,13.6,4.4,0.1
Concord,NE,72.1,18.0,9.6,0.3
Concord,TX,69.4,14.5,15.7,0.4
Concrete,WA,76.4,15.7,7.8,0.1
Conehatta,MS,68.3,25.8,5.9,0.0
Conley,GA,79.6,15.4,4.9,0.1
Connellsville,PA,84.7,10.3,4.8,0.2
Conover,WI,70.8,15.9,13.0,0.2
Conrad,MT,66.0,19.0,14.4,0.6
Conroe,TX,80.4,11.7,7.8,0.1
Converse,IN,83.6,11.3,5.0,0.1
Conway,NC,72.1,22.9,4.6,0.4
Conway,SC,81.7,12.0,6.1,0.1
Conway Springs,KS,75.6,18.1,6.1,0.2
Cook Station,MO,79.6,11.8,8.4,0.2
Coon Valley,WI,76.3,12.5,10.8,0.4
Cooper,IA,73.1,15.4,10.9,0.5
Coquille,OR,71.8,17.7,9.9,0.5
Cora,WY,73.1,22.8,3.9,0.1
Corinth,KY,81.7,14.3,4.0,0.0
Corinth,ME,77.9,15.9,6.2,0.1
Cornersville,TN,80.8,12.9,6.2,0.1
Corning,CA,70.1,20.1,9.6,0.2
Cornish,NH,79.2,12.9,7.8,0.1
Corsica,SD,68.1,14.9,16.6,0.3
Cortez,CO,68.0,20.5,10.9,0.7
Corunna,IN,87.3,8.5,3.9,0.2
Corunna,MI,80.4,12.4,7.0,0.2
Corwith,IA,77.2,11.6,10.5,0.7
Cosby,TN,77.95,13.45,8.3,0.3
Coshocton,OH,81.5,10.7,7.2,0.7
Cost,TX,77.2,13.2,9.1,0.5
Cotopaxi,CO,66.2,27.0,6.7,0.1
Cotter,AR,78.9,12.8,8.3,0.0
Cotton Center,TX,75.9,16.4,7.4,0.2
Cottonwood Falls,KS,73.3,18.6,8.0,0.1
Cotulla,TX,78.2,14.0,7.8,0.0
Couch,MO,71.4,16.8,11.6,0.2
Coulee City,WA,79.2,14.6,5.7,0.4
Council,ID,60.4,25.2,14.2,0.1
Coupeville,WA,67.2,23.6,8.8,0.4
Courtland,MS,80.1,16.3,3.6,0.0
Cove City,NC,72.1,22.1,5.5,0.3
Covington,GA,76.1,18.8,5.1,0.1
Covington,LA,78.7,14.2,6.9,0.2
Covington,MI,74.0,19.4,6.4,0.2
Covington,PA,77.1,13.8,8.8,0.3
Covington,VA,77.9,18.3,3.6999999999999997,0.0
Coxsackie,NY,68.1,23.3,7.8,0.8
Coy,AL,68.9,26.0,5.1,0.0
Crab Orchard,NE,60.5,24.9,14.5,0.1
Crab Orchard,TN,76.4,14.4,8.7,0.4
Craigsville,VA,77.6,16.4,5.8,0.2
Craigville,IN,80.6,10.1,8.7,0.6
Crane,IN,74.5,20.2,4.9,0.4
Crane,TX,82.2,13.9,3.9,0.0
Crawford,OK,59.1,26.6,11.7,2.5
Crawfordsville,IA,81.9,11.2,6.9,0.0
Crawfordville,GA,70.7,23.200000000000003,6.050000000000001,0.0
Crayne,KY,74.5,16.7,8.7,0.1
Crenshaw,MS,68.1,24.4,7.5,0.0
Creole,LA,70.2,22.3,7.2,0.3
Cresco,PA,81.0,14.1,4.8,0.1
Crestline,OH,82.8,11.6,5.5,0.0
Creston,IA,76.9,13.0,9.8,0.3
Creston,WV,77.0,19.0,4.0,0.0
Creswell,NC,75.6,19.3,5.2,0.0
Cromwell,KY,79.7,14.8,5.5,0.0
Crook,CO,72.9,18.9,8.0,0.1
Cropwell,AL,81.6,12.3,6.0,0.1
Crossville,AL,78.8,12.6,8.5,0.1
Crowell,TX,63.949999999999996,24.95,10.25,0.8500000000000001
Crowley,TX,80.9,13.3,5.7,0.1
Crown Point,IN,85.3,11.0,3.5,0.2
Crystal Spring,PA,76.7,15.3,7.5,0.5
Crystal Springs,MS,79.7,15.1,5.2,0.0
Cub Run,KY,71.2,14.6,13.6,0.6
Cuba,IL,77.3,16.3,6.4,0.1
Culbertson,MT,45.0,42.8,11.3,0.9
Culbertson,NE,70.0,17.5,11.2,1.3
Culebra,PR,33.4,44.3,22.2,0.0
Cullman,AL,81.6,12.2,5.8,0.4
Cumberland,KY,74.0,20.2,5.8,0.1
Cumberland Center,ME,81.0,11.1,7.9,0.1
Cumberland Gap,TN,77.8,13.5,8.4,0.3
Currie,MN,70.7,15.2,13.6,0.4
Cushing,IA,79.7,10.9,9.3,0.1
Cushing,OK,73.1,17.4,9.3,0.1
Cushing,WI,79.2,12.1,8.2,0.5
Cusseta,AL,85.1,12.1,2.8,0.0
Cusseta,GA,54.4,38.3,7.3,0.0
Cut Bank,MT,53.0,36.9,8.6,1.5
Cutler,IL,75.7,18.2,5.7,0.4
Cuyahoga Falls,OH,84.2,11.2,4.5,0.1
Cynthiana,IN,83.2,11.1,5.6,0.0
Cypress,FL,62.1,32.1,5.6,0.2
Cypress,IL,66.5,26.9,6.5,0.0
Daggett,MI,80.7,11.9,7.1,0.3
Dahlonega,GA,80.6,11.7,7.4,0.3
Dailey,WV,77.2,18.9,3.9,0.0
Daisy,GA,72.6,16.5,10.6,0.3
Dakota City,IA,78.5,12.0,9.3,0.2
Daleville,AL,71.69999999999999,22.2,5.800000000000001,0.3
Daleville,MS,79.5,16.5,3.7,0.2
Dalhart,TX,77.1,13.05,9.55,0.25
Dalton,MA,78.5,13.4,7.9,0.2
Damon,TX,80.5,14.4,5.0,0.1
Dana,IL,84.2,11.2,4.4,0.2
Danville,GA,60.3,33.4,6.3,0.0
Danville,PA,80.6,14.1,5.2,0.1
Danville,VA,78.4,15.9,5.3,0.5
Darlington,IN,86.6,8.6,4.3,0.5
Datto,AR,78.6,13.4,7.9,0.1
Davidson,NC,84.4,10.4,5.0,0.2
Davis,WV,63.8,31.5,4.7,0.0
Dawson Springs,KY,73.1,17.55,9.25,0.1
Dawsonville,GA,81.35,9.55,8.85,0.3
Dayton,OH,77.25,17.65,5.0,0.15000000000000002
Dayton,TN,75.4,17.2,6.7,0.7
De Borgia,MT,78.5,13.6,8.0,0.0
De Mossville,KY,80.1,12.0,7.7,0.2
De Queen,AR,77.6,14.6,7.8,0.0
De Smet,SD,72.5,11.3,15.8,0.4
De Soto,WI,77.5,13.3,9.1,0.0
Dearborn,MO,84.1,11.4,4.3,0.1
Deary,ID,62.1,30.5,7.2,0.2
Decatur,AL,81.9,12.1,5.9,0.1
Decatur,TN,81.2,12.6,6.3,0.0
Decorah,IA,78.9,10.2,10.15,0.7
Dedham,MA,82.5,11.5,5.8,0.1
Deer Island,OR,79.5,12.7,7.7,0.2
Deer Lodge,TN,68.6,26.7,4.7,0.1
Deer Park,AL,77.4,16.1,6.0,0.4
Deer Trail,CO,77.3,13.8,8.6,0.4
Deerfield,WI,74.2,21.1,4.5,0.1
Defuniak Springs,FL,80.0,10.5,9.2,0.2
Delcambre,LA,80.3,12.9,6.8,0.0
Delta,CO,73.3,15.8,10.7,0.2
Delta,OH,82.5,11.0,6.4,0.1
Deltona,FL,81.8,12.1,5.9,0.2
Deming,NM,73.6,19.8,6.5,0.0
Denhoff,ND,59.3,13.0,27.2,0.5
Denmark,SC,70.9,23.1,6.0,0.0
Dennis,MA,74.3,13.6,12.0,0.1
Denver,CO,83.2,11.2,5.6,0.1
Denver,MO,64.5,15.3,19.8,0.3
Denver City,TX,75.1,14.5,10.25,0.1
Depew,OK,81.7,12.4,5.7,0.2
Derry,NH,80.9,12.3,6.7,0.1
Detroit,MI,86.1,10.0,3.8,0.1
Devol,OK,68.4,20.8,10.8,0.0
Dewy Rose,GA,76.4,14.6,8.75,0.25
Dexter,IA,73.8,14.6,10.9,0.7
Dexter,KY,71.9,20.9,7.0,0.1
Dexter,MO,77.3,13.9,8.8,0.0
Diaz,AR,75.7,17.8,6.1,0.4
Dickinson,AL,83.1,13.6,3.3,0.0
Dickinson,ND,77.5,13.6,8.9,0.1
Dilley,TX,81.1,15.4,3.4,0.1
Dillon,CO,81.5,10.4,8.1,0.0
Dingmans Ferry,PA,78.1,13.6,8.0,0.3
Dinwiddie,VA,74.1,19.5,6.0,0.4
Disputanta,VA,76.8,19.1,3.7,0.4
Divide,CO,69.8,22.5,7.4,0.3
Dixfield,ME,76.7,12.8,10.2,0.4
Dixon Springs,TN,76.2,15.5,8.1,0.2
Dodge,NE,78.05,11.7,9.649999999999999,0.55
Dodson,LA,71.1,21.6,7.2,0.2
Dodson,MT,45.7,38.1,10.2,6.0
Dolliver,IA,80.2,11.3,8.3,0.2
Donaldsonville,LA,81.6,13.4,4.9,0.1
Donnelly,ID,74.3,15.2,10.2,0.4
Doon,IA,76.8,12.1,10.5,0.6
Dorado,PR,68.80000000000001,22.25,8.9,0.15000000000000002
Doswell,VA,78.6,16.9,4.5,0.0
Dothan,AL,80.1,14.25,5.45,0.2
Douglas,GA,78.3,13.8,7.6,0.3
Douglass,TX,72.0,20.0,7.9,0.1
Douglasville,GA,80.5,13.7,5.7,0.1
Dove Creek,CO,69.5,21.7,8.5,0.2
Dover,DE,73.4,22.4,3.9,0.3
Dover,OK,77.4,13.0,9.3,0.3
Dow City,IA,77.8,12.8,8.4,1.0
Downsville,LA,84.3,10.7,4.9,0.2
Doyle,TN,72.7,17.7,9.4,0.1
Doylesburg,PA,81.1,12.2,6.4,0.3
Drakes Branch,VA,64.7,28.6,6.4,0.3
Drewsey,OR,53.4,29.5,16.2,1.0
Driscoll,ND,58.6,16.2,25.1,0.1
Drummond,WI,68.4,20.8,10.4,0.4
Dry Branch,GA,81.1,17.5,1.4,0.0
Dryden,TX,49.4,32.8,16.4,1.4
Du Bois,NE,70.5,18.2,11.1,0.2
Duck Hill,MS,70.7,24.5,4.8,0.0
Dudley,GA,72.8,20.3,6.6,0.2
Duke Center,PA,81.4,11.8,6.7,0.1
Dulce,NM,55.7,36.6,7.5,0.3
Duluth,MN,80.6,14.7,4.7,0.1
Dumont,MN,67.9,18.3,13.5,0.2
Dundee,MS,69.9,23.5,6.3,0.2
Dunellen,NJ,83.1,13.1,3.8,0.1
Dunn Center,ND,65.0,16.8,16.3,1.9
Dunning,NE,63.8,17.1,19.2,0.0
Dupree,SD,40.9,41.7,16.6,0.8
Durand,WI,75.0,12.8,11.9,0.2
Durango,CO,80.1,11.3,8.0,0.6
Durant,MS,72.7,23.8,3.5,0.0
Durham,NC,78.2,16.8,4.9,0.1
Dustin,OK,67.8,24.2,7.4,0.6
Dutch John,UT,47.7,44.1,8.1,0.0
Eagle,ID,77.2,15.8,6.9,0.1
Eagle Pass,TX,68.8,25.0,6.1,0.1
Eagle River,WI,79.0,13.1,7.7,0.2
Earle,AR,75.35,18.35,5.75,0.55
Earling,IA,73.7,13.4,12.5,0.5
East Concord,NY,79.2,16.8,4.0,0.1
East Jordan,MI,81.3,10.4,7.8,0.5
East Nassau,NY,74.3,20.8,4.8,0.1
East Peoria,IL,84.6,10.7,4.7,0.1
East Prairie,MO,72.9,17.7,9.0,0.3
East Stone Gap,VA,74.5,22.5,2.9,0.1
Eastsound,WA,68.9,14.3,16.2,0.5
Eastview,KY,72.8,22.7,4.5,0.0
Eaton,IN,85.1,10.4,4.3,0.2
Eatonton,GA,77.2,15.8,7.0,0.0
Eau Claire,WI,81.2,10.8,7.7,0.3
Ebro,FL,72.5,18.8,8.4,0.3
Echola,AL,77.0,18.9,4.0,0.1
Eckert,CO,70.0,15.0,14.7,0.4
Edelstein,IL,85.8,10.4,3.7,0.1
Edgartown,MA,61.3,16.0,22.6,0.2
Edgemont,SD,58.3,30.45,10.6,0.6499999999999999
Edgerton,MN,76.9,11.3,11.5,0.3
Edgewood,NM,66.2,20.0,13.8,0.0
Edinburg,ND,71.9,16.5,11.5,0.2
Edison,OH,77.5,15.0,6.9,0.5
Edon,OH,82.2,12.4,5.2,0.2
Edson,KS,70.1,22.4,7.5,0.0
Egegik,AK,42.2,51.6,6.1,0.2
Ekalaka,MT,50.0,16.0,30.9,3.1
El Cerrito,CA,77.5,13.6,8.7,0.2
El Paso,TX,65.75,26.5,7.65,0.1
El Reno,OK,77.7,16.3,5.9,0.1
Eldorado,OK,62.9,23.6,12.9,0.6
Eldorado,TX,67.4,23.5,9.1,0.0
Eldridge,IA,82.6,12.5,4.8,0.2
Electra,TX,76.6,13.8,9.5,0.2
Electric City,WA,75.4,19.4,5.1,0.1
Elfrida,AZ,63.2,30.5,6.1,0.2
Elgin,IL,85.9,10.3,3.7,0.2
Elgin,TX,74.5,16.7,8.4,0.4
Elizabeth,LA,69.8,26.2,3.8,0.2
Elizabeth City,NC,64.1,30.85,5.0,0.05
Elk City,KS,77.9,15.0,6.8,0.3
Elk Horn,IA,72.0,13.4,14.3,0.3
Elk Horn,KY,78.6,14.3,7.1,0.0
Elk Park,NC,75.3,14.9,9.5,0.3
Elkhart,IN,87.5,7.7,4.6,0.2
Elkton,OR,72.0,19.5,8.2,0.3
Ellabell,GA,73.3,19.4,7.2,0.1
Ellaville,GA,70.9,23.6,5.5,0.0
Ellenboro,NC,80.4,13.7,5.7,0.2
Ellenboro,WV,71.2,22.3,6.5,0.0
Ellendale,DE,78.8,14.7,6.4,0.1
Ellinger,TX,77.4,13.4,9.0,0.2
Elliott,IA,77.8,11.3,10.6,0.4
Elliottville,KY,69.4,24.6,5.6,0.4
Ellsinore,MO,75.4,14.1,10.5,0.0
Ellsworth,IA,75.1,16.0,8.7,0.2
Ellsworth,NE,57.0,24.5,17.9,0.6
Ellwood City,PA,83.6,10.8,5.5,0.1
Elm City,NC,81.5,14.0,4.3,0.2
Elm Creek,NE,80.5,11.5,7.9,0.1
Elmendorf,TX,79.6,14.8,5.6,0.1
Elmira,NY,78.3,16.7,4.8,0.2
Elmo,UT,71.5,22.5,5.7,0.2
Eltopia,WA,81.7,13.2,5.0,0.1
Ely,NV,60.4,33.5,5.6,0.4
Emmetsburg,IA,73.1,17.7,9.0,0.2
Emory,TX,75.3,15.6,9.0,0.1
Empire,CO,72.1,18.2,8.9,0.8
Empire,LA,72.2,18.7,9.0,0.1
Emporia,VA,74.1,22.6,3.3,0.0
Encampment,WY,72.5,21.8,5.3,0.4
Enders,NE,66.3,13.7,18.7,1.3
Endicott,WA,81.5,14.4,3.8,0.3
Energy,TX,72.2,15.0,12.3,0.5
Enfield,IL,77.5,12.2,10.1,0.2
Enfield,NC,76.7,17.6,5.6,0.1
Engadine,MI,68.9,22.0,8.9,0.2
Englewood,CO,82.9,11.9,5.1,0.1
Englewood,KS,60.7,23.7,15.6,0.1
Englishtown,NJ,80.6,13.8,5.5,0.2
Enigma,GA,72.6,20.6,6.4,0.4
Ennice,NC,68.8,18.4,12.3,0.4
Enochs,TX,75.3,19.1,5.6,0.0
Enola,AR,76.9,17.9,5.1,0.1
Enterprise,LA,69.8,20.2,10.0,0.0
Enterprise,MS,73.0,20.3,6.7,0.0
Enterprise,OR,65.5,20.8,13.5,0.2
Epping,ND,78.3,11.2,10.3,0.2
Epps,LA,72.4,22.8,4.6,0.1
Epworth,GA,73.4,14.3,12.0,0.3
Equality,IL,76.0,15.6,8.4,0.0
Erbacon,WV,77.25,17.0,5.4,0.35
Erick,OK,78.0,12.4,9.2,0.4
Ericson,NE,62.4,18.8,17.2,1.6
Erie,KS,70.9,20.5,8.4,0.2
Erlanger,KY,86.1,10.6,3.2,0.1
Escalante,UT,70.6,23.4,4.1,1.9
Esom Hill,GA,79.6,13.9,6.3,0.2
Essex,MD,77.0,18.3,4.6,0.1
Essig,MN,81.1,9.9,8.8,0.2
Ethan,SD,73.4,15.0,11.4,0.2
Ettrick,WI,78.7,12.0,9.0,0.3
Eudora,AR,71.6,21.4,6.699999999999999,0.25
Eufaula,OK,74.2,19.4,6.4,0.0
Eupora,MS,68.9,24.9,6.0,0.1
Eutaw,AL,75.8,17.2,7.0,0.0
Evans,WV,75.0,19.5,5.4,0.1
Evansville,IN,87.0,9.2,3.7,0.1
Evansville,MN,77.5,13.1,9.2,0.3
Evant,TX,60.3,34.2,5.3,0.2
Everson,WA,75.1,18.0,6.6,0.3
Everton,MO,70.8,14.3,13.8,1.1
Ewing,VA,71.1,23.1,5.3,0.5
Fairbanks,AK,65.8,29.9,4.1,0.2
Fairbury,IL,80.2,13.5,6.3,0.0
Fairfax,VA,73.4,21.9,4.5,0.2
Fairfield,IL,77.2,13.7,9.1,0.0
Fairfield,MT,63.2,19.2,16.5,1.2
Fairfield,NE,73.2,14.6,12.0,0.3
Fairmont,OK,77.6,15.4,6.7,0.2
Fairmont,WV,77.3,17.7,4.8,0.2
Fairplay,CO,70.4,17.5,10.8,1.2
Fairview,OK,72.6,15.1,11.5,0.9
Faith,SD,57.2,16.1,24.9,1.7
Falfurrias,TX,72.8,20.9,6.3,0.0
Fall Branch,TN,76.8,17.1,6.0,0.1
Fallon,NV,68.2,24.2,7.5,0.1
Falls Church,VA,60.6,32.1,7.3,0.0
Falmouth,MI,79.9,10.0,9.6,0.5
Fannin,TX,70.1,21.4,8.2,0.3
Fanwood,NJ,82.6,13.4,3.9,0.1
Farber,MO,75.2,17.1,7.5,0.2
Faribault,MN,82.4,10.8,6.5,0.3
Farina,IL,76.7,16.2,7.0,0.1
Farmersville,IL,74.9,17.1,7.9,0.1
Farmington,NM,76.5,19.4,3.8,0.3
Farmland,IN,81.5,11.0,6.9,0.6
Farnsworth,TX,80.1,10.4,9.2,0.3
Federalsburg,MD,74.35,17.9,7.6,0.2
Felt,ID,77.1,12.9,9.9,0.0
Ferdinand,IN,86.3,6.9,6.7,0.1
Fernandina Beach,FL,81.0,13.5,5.4,0.1
Fernley,NV,76.8,17.4,5.7,0.1
Fernwood,ID,71.3,21.8,6.7,0.2
Ferriday,LA,72.0,21.8,6.1,0.0
Fertile,MN,75.5,16.5,7.8,0.2
Festus,MO,83.9,10.5,5.2,0.4
Fieldton,TX,73.8,16.1,9.9,0.1
Firebaugh,CA,75.4,17.8,6.7,0.2
Fischer,TX,77.2,13.2,9.1,0.4
Fish Camp,CA,60.3,27.8,10.5,1.5
Flandreau,SD,66.0,18.6,14.8,0.5
Flemington,MO,75.7,12.4,11.1,0.9
Fletcher,MO,78.2,15.4,6.4,0.0
Flintville,TN,77.8,12.9,9.0,0.2
Florence,SC,78.0,16.4,5.5,0.1
Florence,WI,75.3,16.2,8.1,0.4
Florida,PR,71.1,25.2,3.7,0.0
Fluker,LA,78.8,16.3,4.9,0.0
Flushing,MI,83.7,11.4,4.7,0.1
Folkston,GA,72.1,24.5,3.3,0.0
Fond Du Lac,WI,84.0,10.7,5.0,0.3
Fontana Dam,NC,69.7,22.8,5.9,1.5
Ford,WA,69.1,21.7,8.8,0.4
Forest,MS,75.4,15.2,8.5,0.8
Forest City,IA,84.3,7.9,7.5,0.3
Forest City,NC,80.4,12.9,6.5,0.2
Forest City,PA,78.3,11.2,10.2,0.3
Forest Hill,WV,69.8,22.4,7.7,0.1
Foristell,MO,86.2,8.7,5.1,0.1
Forrest City,AR,64.9,25.7,9.4,0.0
Fort Bragg,CA,64.9,19.1,15.4,0.6
Fort Buchanan,PR,69.4,18.2,12.3,0.1
Fort Collins,CO,76.0,17.1,6.7,0.2
Fort Davis,TX,50.5,29.5,18.2,1.8
Fort Johnson,NY,79.0,16.2,4.4,0.3
Fort Lauderdale,FL,82.2,11.3,6.4,0.1
Fort Morgan,CO,74.9,17.5,7.3,0.3
Fort Pierce,FL,80.2,13.5,6.1,0.3
Fort Plain,NY,76.4,17.4,6.0,0.1
Fort Scott,KS,75.8,18.3,5.8,0.1
Fort Stewart,GA,61.8,34.7,3.4,0.1
Fort Valley,GA,73.1,21.1,5.4,0.4
Fort Valley,VA,79.1,15.4,5.4,0.2
Fort Wayne,IN,86.4,9.1,4.4,0.2
Fortine,MT,67.6,20.0,12.0,0.4
Fortuna,CA,63.8,22.0,14.0,0.3
Fouke,AR,75.3,16.8,7.8,0.0
Fountain,CO,76.6,17.5,5.7,0.2
Fountain,NC,78.0,17.4,4.4,0.2
Fountaintown,IN,85.4,9.2,5.4,0.1
Fowler,IL,83.4,10.7,5.6,0.2
Fowler,KS,61.2,28.4,10.3,0.2
Francis,OK,65.0,29.3,5.7,0.1
Frankfort,IN,87.5,7.5,4.9,0.1
Franklin,GA,76.0,15.2,8.6,0.2
Franklin,ID,81.3,11.9,6.4,0.3
Franklin,IN,84.1,10.4,5.4,0.1
Franklin,NE,78.6,11.9,8.9,0.5
Franklin,OH,83.9,10.7,5.2,0.1
Franklin,TX,69.8,22.4,7.6,0.1
Franklin,VA,67.0,26.5,5.949999999999999,0.5
Franklin,WV,64.5,25.9,9.1,0.5
Frankston,TX,75.6,13.9,10.4,0.1
Frazer,MT,61.7,22.6,14.9,0.9
Frederick,MD,73.9,20.7,5.2,0.2
Fredericksburg,VA,73.6,22.3,3.9000000000000004,0.15000000000000002
Fredonia,KY,74.5,20.0,5.3,0.2
Fredonia,ND,58.4,11.8,27.8,2.0
Fremont,CA,78.7,13.8,7.4,0.1
French Village,MO,77.3,18.9,3.8,0.1
Friendly,WV,75.8,18.9,5.2,0.0
Frisco,TX,82.2,11.9,5.7,0.1
Fritch,TX,82.0,11.7,5.9,0.4
Frost,MN,74.6,12.5,12.6,0.3
Fulda,MN,81.3,9.5,8.9,0.3
Funk,NE,75.1,12.1,12.3,0.5
Gackle,ND,63.6,14.1,20.4,1.9
Gadsden,AL,79.8,14.4,5.6,0.2
Gainesville,FL,69.1,26.6,4.3,0.1
Galax,VA,80.4,14.1,5.5,0.0
Galena,MD,76.1,13.3,10.1,0.5
Galena,MO,79.0,9.3,11.4,0.3
Galloway,OH,78.4,14.8,6.7,0.1
Gallup,NM,58.1,34.0,7.7,0.1
Galt,IA,76.9,14.6,8.5,0.0
Galva,IA,75.2,14.2,10.3,0.3
Garden,MI,82.1,11.8,5.9,0.3
Garden City,TX,70.0,18.7,11.1,0.2
Gardiner,MT,71.8,13.8,13.5,0.8
Garfield,GA,74.6,21.0,4.4,0.0
Garland,TX,83.9,9.5,6.4,0.1
Garland,UT,79.6,15.9,4.3,0.2
Garyville,LA,84.1,11.9,3.9,0.1
Gasquet,CA,57.0,32.7,10.0,0.4
Gastonia,NC,83.8,11.2,4.9,0.2
Gates,TN,72.5,21.8,5.5,0.3
Gatzke,MN,76.9,12.8,10.0,0.3
Gaylesville,AL,73.1,18.5,7.9,0.5
Genesee,ID,75.0,16.3,8.5,0.3
Genesee,PA,79.1,12.0,8.6,0.3
Geneseo,KS,69.6,20.9,9.5,0.0
Genoa,NE,66.9,16.7,14.9,1.5
Genoa City,WI,81.4,12.0,6.2,0.3
Georgetown,SC,78.9,13.3,7.6,0.1
Georgiana,AL,77.3,18.4,4.1,0.2
Gepp,AR,73.5,14.9,11.0,0.6
Gettysburg,SD,67.9,15.1,16.8,0.3
Gibbon,MN,77.9,11.4,10.3,0.4
Gilbertown,AL,77.5,16.8,5.4,0.3
Gillette,WY,80.8,14.6,4.3,0.3
Gillsville,GA,78.2,13.8,7.2,0.8
Gilman,IA,75.6,14.4,9.6,0.4
Gilman,VT,70.6,17.8,11.1,0.5
Gilman City,MO,71.6,16.4,11.5,0.6
Girard,GA,75.8,17.8,6.1,0.4
Girvin,TX,68.6,24.5,6.0,0.9
Gladeville,TN,80.7,11.7,7.5,0.0
Glen Allan,MS,70.5,24.1,5.2,0.1
Glencoe,OK,67.0,27.4,5.2,0.5
Glennallen,AK,56.6,32.9,10.1,0.4
Glenrock,WY,75.0,17.7,7.0,0.3
Glenwood,AR,68.5,18.4,13.1,0.0
Glenwood,GA,64.3,27.6,8.1,0.0
Gloster,MS,64.2,33.1,2.7,0.0
