City,State,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Brightwood,VA,76.9,13.4,0.6,1.9,1.2,6.1,30.7
Briscoe,TX,77.4,15.7,0.0,2.4,0.7,3.8,17.6
Bristol,CT,80.9,8.5,3.6,2.2,1.2,3.6,22.7
Bristol,VA,84.85,8.850000000000001,0.9,1.5499999999999998,1.6,2.25,23.6
Bristol,WI,85.1,8.0,1.0,1.8,1.5,2.6,26.0
Bristow,IA,80.7,9.4,0.3,3.7,0.9,5.1,23.9
Bristow,OK,78.3,12.0,0.4,2.6,2.7,4.0,27.2
Broadus,MT,59.2,7.7,0.0,9.6,3.0,20.6,15.5
Broadview,MT,72.9,8.4,0.0,4.7,0.0,14.0,32.9
Broadview,NM,83.3,9.9,0.3,2.1,2.9,1.5,14.3
Brocket,ND,81.6,6.2,0.5,4.0,1.8,5.9,12.5
Broken Bow,OK,79.8,14.2,0.5,1.5,1.7,2.3,22.3
Bronston,KY,84.9,9.9,0.3,1.7,1.3,1.9,19.9
Bronx,NY,22.5,4.7,59.7,8.0,1.8,3.3,43.0
Brookesmith,TX,87.3,9.4,0.4,0.7,0.5,1.6,17.4
Brookings,SD,75.3,9.6,0.4,6.6,3.1,5.0,14.1
Brooklyn,CT,82.9,8.7,0.6,3.5,0.8,3.5,26.0
Brooklyn,NY,18.6,4.4,61.7,8.8,2.5,3.9,41.7
Brooks,KY,86.4,9.2,0.4,0.8,0.7,2.6,27.5
Brooksville,FL,83.3,9.2,0.1,1.0,1.3,5.0,29.1
Brookville,PA,82.1,9.7,0.4,4.1,0.9,2.8,22.9
Broomfield,CO,78.7,8.0,3.2,1.5,1.6,7.0,27.0
Browns Valley,MN,75.8,8.3,0.1,4.3,1.2,10.2,16.0
Brownsville,TX,83.1,10.5,0.7,1.6,1.8,2.2,19.9
Brownton,MN,82.7,8.9,0.3,2.9,1.5,3.7,22.8
Brunswick,NC,87.9,8.7,0.2,0.8,0.5,1.9,24.1
Brunswick,OH,87.2,5.8,0.6,1.4,0.9,4.2,27.4
Brusly,LA,88.8,7.7,0.3,0.7,1.2,1.3,24.0
Brutus,MI,79.8,11.0,0.8,1.8,1.2,5.4,26.1
Bryan,TX,76.3,12.0,2.7,3.6,2.6,2.9,17.7
Buchanan,GA,87.7,7.2,0.1,1.6,0.8,2.5,31.8
Buchanan,MI,82.6,8.1,0.5,2.7,1.5,4.7,19.6
Buchanan,NY,58.5,7.9,21.8,5.2,1.6,5.0,32.9
Buckatunna,MS,81.2,8.5,0.8,1.6,2.7,5.1,28.2
Buckhannon,WV,81.0,9.5,0.2,3.6,1.7,4.0,25.6
Buckholts,TX,75.8,15.8,0.2,1.1,2.6,4.6,26.4
Buena Vista,CO,69.5,8.6,0.2,4.2,6.0,11.6,15.1
Buena Vista,VA,84.3,4.8,0.0,7.0,2.5,1.4,15.6
Buffalo,MO,70.9,18.2,0.1,2.0,3.3,5.5,32.6
Buffalo,SD,50.9,12.0,0.0,6.5,1.2,29.4,18.6
Buffalo,WY,68.3,18.4,0.5,2.4,3.1,7.3,31.1
Buford,GA,79.5,13.3,0.3,0.9,2.1,3.9,26.0
Buhl,ID,75.6,10.3,0.1,6.5,1.8,5.7,18.7
Bullhead City,AZ,78.1,14.2,0.5,1.9,2.5,2.8,19.3
Bullock,NC,85.2,10.4,0.1,2.1,0.3,1.8,22.4
Buna,TX,78.8,14.7,0.2,1.1,2.2,3.0,29.7
Buncombe,IL,81.9,9.4,0.7,1.8,1.0,5.2,24.2
Burbank,SD,68.6,8.5,0.4,12.5,4.0,5.9,15.0
Burgaw,NC,78.5,14.4,0.1,1.1,1.6,4.3,28.1
Burley,ID,82.9,12.4,0.1,1.5,0.9,2.3,16.5
Burlington,VT,73.2,8.4,2.4,7.4,2.6,5.9,20.6
Burlington,WV,82.1,14.2,0.2,1.4,0.8,1.3,26.2
Burlington,WY,71.1,13.6,0.0,7.0,2.6,5.7,16.9
Burlington Junction,MO,76.6,10.6,0.2,7.5,1.3,3.9,15.9
Burns,TN,81.3,12.0,0.7,2.8,1.0,2.2,31.3
Burnsville,MS,87.2,8.6,0.4,1.3,1.1,1.4,22.1
Burton,WV,85.4,8.7,0.0,3.1,0.6,2.2,29.0
Burwell,NE,65.94999999999999,8.1,0.55,6.6000000000000005,0.85,18.0,18.1
Bushnell,NE,74.9,10.8,0.3,8.8,0.5,4.7,14.3
Bussey,IA,79.2,8.5,0.4,4.3,1.8,5.8,20.2
Butte,MT,80.4,9.9,0.4,2.8,3.1,3.5,15.2
Butte,NE,65.7,8.3,0.0,8.5,1.1,16.3,16.6
Butternut,WI,78.9,11.9,0.2,3.2,1.1,4.7,22.0
Byhalia,MS,87.9,8.1,0.1,0.4,0.7,2.7,24.6
Byrdstown,TN,85.9,10.4,0.0,1.0,0.0,2.7,25.2
Byron,GA,83.0,11.399999999999999,0.9500000000000001,1.75,1.15,1.75,21.5
Cabins,WV,82.9,10.2,0.3,2.6,0.3,3.8,27.2
Cadiz,KY,82.8,10.0,0.0,3.9,0.7,2.6,26.5
Caguas,PR,80.2,11.9,1.2,2.8,2.1,1.9,32.8
Cairo,IL,81.9,11.0,2.1,2.5,1.7,0.8,25.3
Cairo,NE,80.9,12.8,1.1,1.2,1.3,2.7,15.9
Caldwell,OH,87.4,6.9,0.4,1.5,0.4,3.4,23.2
Caledonia,NY,81.4,6.9,0.5,6.4,1.5,3.3,25.2
Calhoun,KY,87.1,7.6,0.3,2.4,0.8,1.8,18.7
Calhoun,MO,82.8,10.6,0.0,1.0,1.5,4.0,21.7
Calhoun City,MS,83.0,12.0,0.6,1.1,1.4,1.8,24.1
Caliente,NV,73.1,12.0,0.0,8.3,0.0,6.6,20.1
Call,TX,84.3,10.6,0.0,0.1,3.4,1.5,36.1
Calumet,MI,72.1,11.3,0.9,10.2,1.6,3.9,14.9
Calvin,WV,90.0,5.0,0.4,0.7,1.9,2.0,26.9
Camarillo,CA,77.1,12.6,1.3,1.9,1.7,5.5,25.8
Cambria,WI,78.7,8.8,0.4,4.5,2.1,5.5,23.0
Cambridge,KS,79.3,12.1,0.0,2.4,1.9,4.3,18.6
Cambridge,NE,78.4,8.6,0.0,5.7,2.4,4.9,17.8
Cambridge,NY,79.2,10.5,0.9,3.1,1.0,5.3,25.5
Camden,AR,84.2,10.3,1.0,2.7,0.9,0.9,23.1
Camden,IL,79.2,12.0,1.0,2.3,0.6,5.0,23.7
Camden,MO,82.9,11.1,0.4,1.6,0.8,3.2,31.2
Cameron,MO,80.0,12.6,0.7,1.6,1.3,3.7,25.8
Camilla,GA,73.6,19.1,0.3,3.0,1.2,2.9,22.1
Camp Douglas,WI,79.9,11.3,0.7,2.8,1.3,3.9,23.4
Camp Hill,PA,82.4,8.3,0.7,3.9,1.0,3.8,21.6
Campbellsburg,IN,82.3,11.5,0.1,0.8,0.7,4.4,31.5
Campbelltown,PA,80.1,10.1,0.6,4.1,1.2,3.9,23.2
Campton,KY,87.9,7.6,0.0,1.2,2.5,0.8,27.8
Campton,NH,73.9,8.7,1.5,8.5,2.5,4.9,21.5
Camuy,PR,90.1,5.3,0.1,3.0,0.6,0.9,29.3
Canandaigua,NY,82.5,7.9,0.9,3.9,1.1,3.7,23.0
Candor,NC,82.45,12.35,0.25,1.9000000000000001,0.95,2.15,22.3
Cannelburg,IN,74.3,16.4,0.4,3.0,2.6,3.4,23.1
Cannon Beach,OR,71.8,11.1,1.0,7.1,3.1,6.0,19.0
Canovanas,PR,85.9,7.3,2.7,1.8,0.9,1.5,36.5
Canton,MO,70.3,13.3,0.5,5.8,1.2,8.9,23.9
Canton,OH,85.1,8.6,1.2,1.6,0.6,2.8,21.6
Canton,OK,86.3,5.5,0.1,1.6,1.1,5.4,16.6
Cantwell,AK,43.9,8.4,0.9,17.8,2.4,26.7,17.9
Cape Coral,FL,79.0,10.5,1.1,1.0,2.9,5.6,27.4
Carey,ID,73.4,8.4,2.4,4.2,2.3,9.4,17.7
Carlyle,IL,82.5,10.1,0.6,1.8,1.3,3.7,25.5
Carmel,NY,76.3,8.8,8.3,1.2,0.8,4.5,38.8
Carolina,PR,79.3,12.2,3.7,2.2,0.9,1.8,32.7
Carpenter,IA,80.9,9.2,0.6,3.0,1.0,5.4,19.3
Carpenter,SD,73.8,7.4,0.0,5.7,1.3,11.8,15.7
Carrabelle,FL,76.8,10.2,0.7,3.7,3.2,5.4,20.3
Carrington,ND,82.0,6.4,0.0,5.6,1.0,5.0,13.7
Carrollton,VA,87.5,8.8,0.2,0.5,0.2,2.8,28.5
Carson,MS,83.2,12.8,0.6,0.3,2.3,0.8,34.1
Carson,ND,58.4,7.9,0.0,6.9,1.9,25.0,22.0
Carson City,NV,80.3,11.8,0.3,3.1,2.1,2.4,17.4
Cartersville,GA,83.4,9.3,0.7,0.6,1.9,4.0,27.3
Cartersville,VA,78.1,16.5,0.2,0.0,1.2,4.0,38.4
Carthage,AR,78.0,13.7,0.0,4.3,1.9,2.0,23.5
Carthage,MS,78.7,15.2,0.2,1.4,3.3,1.1,29.9
Carthage,NC,86.2,5.9,0.1,2.3,1.4,4.1,24.1
Carthage,NY,79.9,8.7,0.2,5.9,1.2,4.2,24.5
Cartwright,ND,78.3,9.1,0.9,4.9,1.3,5.5,18.8
Cascade Locks,OR,69.5,10.1,0.1,7.3,3.7,9.3,16.2
Casco,WI,80.9,8.1,0.7,4.5,0.8,5.0,21.8
Cassatt,SC,85.0,9.1,0.3,1.0,1.3,3.3,28.5
Castalia,NC,82.7,9.4,0.1,1.7,1.2,4.9,30.2
Castell,TX,73.3,15.7,0.0,3.9,1.7,5.3,20.3
Castleford,ID,80.9,10.0,0.4,2.7,2.3,3.7,17.1
Cataldo,ID,80.8,8.8,0.4,2.2,1.9,6.0,20.9
Cataula,GA,89.0,5.8,0.2,0.8,1.3,2.8,26.4
Catoosa,OK,85.0,9.8,0.1,0.7,1.0,3.3,25.7
Cave City,AR,81.0,13.6,0.1,2.0,1.5,1.7,20.2
Cayce,SC,84.6,7.6,0.2,0.7,3.0,4.0,25.4
Cayey,PR,78.8,4.3,0.7,4.5,8.4,3.3,29.8
Cayuga,IN,82.4,11.8,0.8,2.1,0.5,2.4,25.3
Cecil,GA,83.4,9.6,0.0,1.4,1.3,4.3,26.3
Cedar Bluff,VA,87.4,8.0,0.0,1.7,0.4,2.4,27.8
Cedar Falls,NC,86.1,9.4,0.1,1.4,0.8,2.1,23.3
Cedar Valley,UT,72.9,12.8,1.8,4.0,2.5,6.1,21.4
Ceiba,PR,87.8,7.2,0.3,1.9,0.8,2.0,27.6
Centenary,SC,81.1,15.0,0.3,0.8,0.6,2.2,29.9
Center,NE,76.1,9.1,0.1,6.7,0.5,7.5,16.5
Center,TX,76.7,15.5,0.7,1.9,1.2,4.1,24.8
Center Harbor,NH,84.2,8.5,0.0,1.4,1.7,4.2,26.6
Centerview,MO,81.1,8.9,0.2,4.6,1.3,4.0,21.5
Centerville,KS,83.2,9.8,0.2,1.0,0.6,5.3,33.2
Centerville,PA,76.7,11.8,0.3,5.3,1.4,4.5,21.7
Centerville,TN,81.2,11.5,0.4,1.6,1.9,3.5,37.1
Central,SC,86.1,7.1,1.1,2.5,1.0,2.2,23.9
Central Bridge,NY,79.4,8.7,1.5,5.5,0.8,4.2,29.7
Central City,CO,75.6,12.0,1.4,3.1,1.0,6.7,32.8
Centralia,IL,83.6,10.0,0.5,1.9,1.5,2.6,20.8
Centreville,VA,71.7,9.4,9.8,1.8,1.5,5.8,32.0
Ceres,CA,80.2,11.4,1.0,1.8,1.6,4.1,27.0
Ceresco,NE,81.8,8.6,0.2,2.9,1.0,5.5,26.0
Chadwick,IL,82.0,8.6,0.8,2.7,0.6,5.3,23.9
Challis,ID,68.3,6.8,2.5,9.1,4.7,8.6,18.7
Chamberlain,SD,74.0,9.0,1.9,4.6,2.2,8.3,13.9
Chambers,NE,74.6,1.3,0.0,6.9,0.6,16.6,17.5
Chapel Hill,NC,67.4,8.5,7.4,6.0,3.3,7.6,22.3
Chapin,SC,78.9,6.9,1.1,7.6,2.3,3.2,20.7
Chapmansboro,TN,84.9,9.9,0.2,0.4,0.6,3.9,31.6
Chapmanville,WV,85.2,9.2,0.0,3.7,0.5,1.4,24.9
Chappell,NE,72.2,12.3,0.3,3.8,5.3,6.1,23.8
Charleston,SC,78.2,8.5,2.0,3.2,2.5,5.7,22.9
Charleston,TN,83.6,8.5,0.2,2.5,1.3,4.0,22.0
Charleston,WV,79.9,11.7,2.0,2.9,0.7,2.8,21.3
Charlo,MT,70.7,11.3,0.8,5.0,1.3,11.0,19.7
Charlottesville,VA,60.1,7.4,8.6,12.6,5.3,6.1,18.2
Chase,LA,83.4,9.1,0.2,2.1,2.7,2.6,20.9
Chateaugay,NY,77.1,10.3,0.7,4.3,1.9,5.8,20.7
Chatfield,MN,76.6,8.3,1.9,6.6,2.0,4.6,17.5
Cherokee,AL,85.5,9.6,0.2,0.55,2.7,1.45,25.9
Cherokee,NC,86.1,9.8,0.2,1.4,0.9,1.6,19.6
Cherokee,TX,71.9,18.5,0.0,2.3,1.8,5.5,18.6
Cherryvale,KS,78.2,9.5,0.0,7.1,1.3,3.9,16.3
Chesapeake,VA,86.5,7.0,0.7,1.4,1.2,3.2,25.0
Chester,IA,76.6,7.7,0.2,4.9,2.2,8.3,17.8
Chester,PA,73.7,7.1,10.4,3.8,1.0,4.0,28.3
Chester,TX,75.7,14.7,0.5,2.6,3.1,3.4,27.2
Chester Gap,VA,75.0,16.9,0.2,2.3,1.3,4.3,42.7
Chesterland,OH,80.9,8.8,0.3,1.9,1.9,6.2,28.4
Cheyenne,WY,82.1,9.9,0.6,2.4,2.0,3.0,15.5
Cheyenne Wells,CO,73.1,8.2,0.0,6.1,2.0,10.5,12.4
Chicopee,MA,82.5,8.2,2.2,2.6,1.1,3.4,22.7
Chicora,PA,81.3,10.2,0.7,3.2,1.1,3.4,28.8
Chiefland,FL,76.3,14.8,0.3,1.6,1.3,5.8,30.1
Chili,WI,73.2,8.3,0.1,5.0,2.8,10.7,20.9
Chillicothe,MO,79.7,8.8,0.5,3.1,1.6,6.3,18.1
Chillicothe,TX,74.0,17.3,1.1,1.8,4.9,0.9,17.6
Chilton,WI,86.4,6.9,0.2,1.3,1.0,4.2,20.1
Christiana,TN,85.1,9.6,0.4,0.9,1.0,3.0,28.0
Christmas Valley,OR,70.4,11.6,0.0,7.2,1.8,8.9,16.5
Church Hill,TN,88.4,7.4,0.5,0.4,1.1,2.2,25.0
Ciales,PR,74.6,18.9,1.2,4.0,0.5,0.7,32.0
Cibolo,TX,84.4,9.9,0.2,0.7,1.1,3.7,25.3
Cidra,PR,83.2,5.3,0.9,2.1,5.2,3.2,31.9
Cincinnati,OH,79.7,8.5,3.7,2.9,1.0,4.1,23.0
Cincinnatus,NY,74.8,11.9,0.8,6.8,0.9,4.8,20.9
Cisco,TX,83.9,10.1,0.1,1.7,1.0,3.1,19.1
Claremont,IL,82.2,12.2,0.1,2.2,0.7,2.6,17.4
Claremont,SD,69.1,16.9,0.0,7.6,0.6,5.7,15.5
Clarence,MO,78.7,9.2,0.4,3.4,0.6,7.8,20.9
Clarence,PA,68.3,9.8,4.5,9.9,3.0,4.6,20.3
Clarendon,TX,68.7,16.5,0.0,5.3,1.3,8.2,22.6
Clark,SD,63.6,9.9,0.0,9.4,1.2,15.8,17.6
Clarks Mills,PA,81.8,8.5,0.3,3.5,1.0,4.8,20.5
Clarksdale,MO,87.4,6.9,0.1,1.2,0.5,3.9,22.7
Clarkson,NE,79.9,9.7,0.0,3.4,0.8,6.3,18.6
Clarkston,WA,78.9,10.3,0.9,2.7,2.0,5.2,15.9
Clay City,IL,85.7,9.2,0.8,1.1,1.0,2.3,20.5
Clayton,GA,76.15,12.05,0.65,4.800000000000001,1.4,4.9,19.5
Clayton,IN,88.7,6.5,0.1,0.7,0.5,3.6,25.7
Clayton,NM,64.0,3.9,0.0,8.9,1.0,22.2,20.3
Clayton,OK,78.4,16.3,0.2,2.0,0.4,2.8,26.7
Cle Elum,WA,72.3,8.7,0.8,9.2,3.8,5.4,21.3
Clearbrook,MN,76.7,12.5,0.6,3.2,1.1,5.8,25.3
Cleveland,GA,81.9,8.1,0.0,3.6,1.6,4.7,28.6
Cleveland,NY,81.8,8.7,1.1,3.8,1.0,3.7,19.9
Cleveland,OH,80.2,7.4,4.9,2.6,1.2,3.5,24.2
Cleveland,TX,85.9,10.8,0.2,1.6,1.0,0.6,34.2
Clifford,VA,82.4,9.9,1.3,2.0,1.7,2.7,24.2
Clifton,KS,78.8,10.1,0.1,2.6,1.8,6.5,18.6
Clifton,TX,78.3,12.8,0.2,3.1,0.8,4.8,29.4
Clifton Forge,VA,85.9,9.3,1.0,0.9,1.3,1.6,24.3
Clinton,KY,81.9,8.1,0.0,1.0,1.4,7.6,19.3
Clio,AL,83.8,10.9,0.4,1.8,1.5,1.6,24.1
Cloquet,MN,82.9,8.3,0.3,2.9,0.9,4.7,20.8
Clover,SC,83.5,9.2,0.7,1.0,1.0,4.7,26.2
Cloverdale,OR,76.4,10.7,0.7,4.8,2.4,5.0,19.6
Cluster Springs,VA,83.1,8.2,0.4,1.2,4.1,2.9,24.4
Coahoma,TX,79.8,15.8,0.2,1.6,0.9,1.7,18.0
Coal City,IL,87.3,7.0,0.8,0.8,0.9,3.2,28.0
Coalgate,OK,83.1,8.8,0.4,2.1,0.4,5.3,24.4
Coamo,PR,89.2,2.6,0.2,5.6,1.4,1.0,24.8
Coats,KS,83.4,10.7,0.0,2.1,1.2,2.5,13.2
Coatsville,MO,77.8,13.4,0.0,1.3,1.5,6.0,26.9
Coeburn,VA,86.0,9.4,0.1,2.3,0.5,1.8,30.3
Coffeeville,MS,84.1,11.0,1.5,0.7,1.9,0.8,19.8
Colby,KS,79.5,9.8,0.1,3.9,1.1,5.6,10.1
Cold Brook,NY,81.2,7.7,0.8,4.6,1.1,4.6,23.4
Coldwater,MS,86.2,8.1,0.0,1.4,1.1,3.1,30.1
Colebrook,NH,79.4,10.0,0.1,3.5,1.0,5.8,20.7
Coleman,MI,84.35,7.8500000000000005,0.6,2.45,1.5,3.3,25.15
Collierville,TN,86.8,8.1,0.0,0.6,0.9,3.6,32.9
Collins,GA,78.8,12.7,0.2,2.8,3.0,2.6,26.3
Collinston,LA,87.4,9.5,0.1,0.8,1.3,0.8,24.9
Collison,IL,84.1,8.6,0.7,2.8,0.9,2.9,20.8
Colonial Heights,VA,86.6,7.2,0.1,1.5,2.1,2.6,20.6
Colorado City,TX,80.7,14.4,0.4,0.7,0.3,3.5,22.2
Colt,AR,78.8,12.8,0.1,3.4,2.5,2.4,20.3
Columbia,CA,78.0,10.0,0.3,2.3,1.5,8.0,26.2
Columbia,TN,84.0,9.7,0.4,1.3,1.1,3.5,29.9
Columbia City,IN,85.5,9.0,0.3,1.0,1.0,3.2,23.4
Columbia Falls,MT,80.9,7.5,0.6,3.2,1.7,6.1,19.2
Columbiaville,MI,85.6,8.8,0.7,1.0,0.4,3.5,33.5
Columbus,GA,78.3,10.4,1.2,1.1,1.7,7.3,19.6
Columbus,IN,84.8,9.1,0.6,1.6,1.7,2.2,19.1
Columbus,NE,78.3,11.5,0.0,3.5999999999999996,0.75,5.9,17.75
Columbus Grove,OH,86.0,8.4,0.7,1.3,0.8,2.7,22.6
Comanche,OK,81.8,11.3,0.6,1.9,2.4,2.0,20.3
Comer,GA,83.9,8.1,0.2,1.4,1.7,4.6,28.8
Comerio,PR,85.2,6.5,1.0,3.4,3.3,0.6,37.2
Comfort,TX,76.3,12.4,0.3,2.1,1.2,7.6,29.5
Comfrey,MN,72.5,10.5,1.2,6.6,1.8,7.4,17.3
Comins,MI,77.3,8.4,0.1,2.9,4.4,6.9,19.5
Commerce,GA,82.8,8.2,0.0,3.0,1.1,4.8,26.6
Commerce,OK,87.1,8.1,0.2,1.8,1.2,1.6,20.0
Commiskey,IN,84.4,9.5,0.6,1.4,1.5,2.7,26.7
Concord,NE,79.0,10.8,0.1,4.6,0.3,5.2,20.4
Concord,TX,80.9,9.7,0.1,2.9,1.1,5.3,26.7
Concrete,WA,78.1,10.8,1.1,2.5,2.0,5.6,24.7
Conehatta,MS,83.9,10.3,0.0,1.4,1.8,2.6,26.4
Conley,GA,78.3,13.5,2.3,1.4,2.2,2.3,30.0
Connellsville,PA,84.5,9.0,0.5,2.1,1.2,2.6,26.2
Conover,WI,80.6,7.2,0.1,4.4,1.2,6.5,19.1
Conrad,MT,69.5,12.6,0.0,7.7,1.5,8.7,16.2
Conroe,TX,80.7,10.8,1.3,1.0,1.3,4.9,32.7
Converse,IN,85.0,8.5,0.6,1.4,1.8,2.7,20.2
Conway,NC,84.5,8.2,0.2,3.1,1.6,2.3,23.8
Conway,SC,83.5,9.5,0.2,1.5,1.9,3.4,21.7
Conway Springs,KS,81.7,8.6,0.2,3.6,1.0,4.9,23.3
Cook Station,MO,79.7,14.0,0.1,1.3,1.0,3.8,27.5
Coon Valley,WI,77.4,8.7,0.6,4.0,2.1,7.1,24.2
Cooper,IA,79.5,6.8,0.0,3.7,2.2,7.8,18.7
Coquille,OR,74.4,11.9,0.9,4.7,1.7,6.3,19.6
Cora,WY,75.3,9.5,0.9,7.9,1.3,5.2,22.7
Corinth,KY,81.7,13.9,0.2,0.9,1.0,2.4,30.0
Corinth,ME,79.8,9.8,0.6,3.9,1.8,4.1,22.3
Cornersville,TN,86.9,9.0,0.2,0.8,1.6,1.5,30.1
Corning,CA,76.5,12.3,0.4,3.8,1.9,5.0,24.6
Cornish,NH,77.5,12.2,0.4,3.0,1.8,5.2,25.4
Corsica,SD,70.8,11.1,0.0,6.7,2.2,9.3,17.7
Cortez,CO,75.9,9.2,0.0,3.9,1.3,9.7,22.3
Corunna,IN,86.5,7.9,0.2,1.2,1.9,2.3,21.1
Corunna,MI,82.2,9.7,0.4,2.6,1.1,4.0,28.1
Corwith,IA,79.7,8.4,0.5,2.8,1.8,6.8,20.0
Cosby,TN,81.85,12.9,0.35,1.25,0.65,3.0,26.95
Coshocton,OH,80.9,8.6,0.4,2.7,2.2,5.2,22.9
Cost,TX,73.7,17.4,1.6,2.5,0.9,3.9,21.5
Cotopaxi,CO,77.9,11.3,0.4,3.2,3.3,4.0,23.1
Cotter,AR,84.6,8.9,0.4,1.3,0.8,4.0,17.1
Cotton Center,TX,82.3,11.0,0.4,1.3,1.4,3.6,15.5
Cottonwood Falls,KS,79.8,9.1,1.4,2.3,1.1,6.3,22.1
Cotulla,TX,80.7,10.4,0.0,3.9,2.7,2.4,20.8
Couch,MO,81.0,10.3,0.6,2.3,1.3,4.5,23.1
Coulee City,WA,81.7,7.8,0.5,2.5,4.2,3.3,19.3
Council,ID,68.7,11.0,0.8,4.1,3.5,12.0,23.0
Coupeville,WA,75.2,9.0,2.8,3.5,2.4,7.2,28.6
Courtland,MS,85.1,8.4,0.7,0.8,0.9,4.2,24.0
Cove City,NC,80.6,11.7,0.3,1.9,2.5,3.0,20.8
Covington,GA,76.4,15.5,1.8,1.3,1.4,3.6,31.8
Covington,LA,81.6,11.4,0.2,1.2,2.2,3.3,31.5
Covington,MI,85.0,8.2,0.3,2.2,0.7,3.6,18.0
Covington,PA,77.8,11.0,0.5,5.2,1.2,4.2,23.9
Covington,VA,85.6,11.45,0.2,0.75,1.1,0.95,29.1
Coxsackie,NY,81.4,8.5,0.9,2.5,2.2,4.5,27.3
Coy,AL,85.7,7.8,0.1,1.3,0.9,4.2,22.6
Crab Orchard,NE,78.3,10.7,0.4,3.1,1.0,6.4,22.8
Crab Orchard,TN,84.8,10.1,0.1,1.2,0.7,3.1,22.0
Craigsville,VA,81.9,12.5,1.1,2.3,0.3,1.9,28.5
Craigville,IN,75.7,16.8,0.0,2.0,1.6,3.8,22.3
Crane,IN,83.9,9.1,0.3,2.3,1.5,2.8,26.3
Crane,TX,77.0,18.9,0.6,2.0,1.4,0.0,23.0
Crawford,OK,77.1,8.5,0.1,3.7,0.6,9.9,24.2
Crawfordsville,IA,80.0,11.4,0.1,1.5,1.7,5.3,22.5
Crawfordville,GA,81.35,12.2,0.85,2.05,1.8,1.9,26.5
Crayne,KY,80.3,12.2,0.3,1.5,1.2,4.6,27.2
Crenshaw,MS,81.2,13.0,0.2,2.9,0.1,2.5,23.7
Creole,LA,83.8,10.6,0.1,1.3,2.4,1.9,34.6
Cresco,PA,78.2,9.5,4.3,2.2,0.7,5.1,38.7
Crestline,OH,83.6,10.1,0.3,2.6,1.2,2.1,21.6
Creston,IA,81.2,8.9,0.5,2.9,0.7,5.8,16.2
Creston,WV,82.9,10.1,0.0,1.3,1.1,4.6,31.5
Creswell,NC,75.8,12.4,0.0,10.0,0.0,1.8,24.4
Cromwell,KY,79.8,16.0,0.4,1.9,0.6,1.3,25.6
Crook,CO,76.4,13.9,0.3,4.1,0.7,4.7,16.9
Cropwell,AL,86.1,8.6,0.2,0.5,1.1,3.5,30.1
Crossville,AL,86.1,10.4,0.0,0.6,0.9,2.1,22.8
Crowell,TX,83.05,12.05,0.0,2.05,1.15,1.7000000000000002,17.5
Crowley,TX,84.7,8.8,0.2,1.2,1.1,3.9,30.0
Crown Point,IN,84.4,7.9,2.8,1.3,1.3,2.3,27.9
Crystal Spring,PA,77.9,14.6,0.2,2.8,0.5,4.0,32.1
Crystal Springs,MS,82.7,12.8,0.4,1.3,1.4,1.5,29.2
Cub Run,KY,74.2,16.3,0.3,2.2,2.2,4.8,28.2
Cuba,IL,82.7,11.1,0.3,2.8,0.9,2.3,26.2
Culbertson,MT,73.8,15.5,1.4,3.7,1.0,4.7,13.9
Culbertson,NE,76.5,11.6,0.2,5.5,0.0,6.2,18.9
Culebra,PR,53.9,12.7,0.0,24.7,1.7,7.1,9.6
Cullman,AL,84.9,10.0,0.1,1.5,1.0,2.6,26.4
Cumberland,KY,79.6,15.9,0.8,1.7,0.6,1.4,21.7
Cumberland Center,ME,77.2,8.8,1.4,5.0,1.7,6.0,22.5
Cumberland Gap,TN,84.9,9.0,0.1,0.8,1.1,4.0,24.3
Currie,MN,75.7,9.2,0.6,4.8,1.2,8.4,19.8
Cushing,IA,77.8,8.5,0.3,4.4,1.8,7.2,15.7
Cushing,OK,82.5,11.7,0.1,1.8,0.9,3.0,28.9
Cushing,WI,80.2,9.7,0.3,2.9,1.0,5.9,29.6
Cusseta,AL,85.1,11.9,0.2,0.3,0.4,2.1,25.1
Cusseta,GA,49.3,5.8,0.3,11.2,1.6,31.7,14.6
Cut Bank,MT,69.0,9.7,0.3,10.4,0.4,10.1,13.7
Cutler,IL,85.9,8.9,0.7,1.5,0.5,2.5,25.9
Cuyahoga Falls,OH,86.7,6.6,1.9,1.4,0.5,2.9,22.9
Cynthiana,IN,88.8,6.6,0.0,0.8,0.8,3.0,22.8
Cypress,FL,88.6,6.5,0.1,1.4,1.5,1.9,22.5
Cypress,IL,84.2,7.9,0.2,1.9,0.7,5.1,25.8
Daggett,MI,80.6,11.4,0.1,2.1,1.2,4.4,21.1
Dahlonega,GA,78.6,12.7,0.1,0.3,0.6,7.7,32.3
Dailey,WV,80.3,13.2,0.0,3.2,0.8,2.4,21.0
Daisy,GA,73.1,11.6,0.3,2.0,7.6,5.3,21.6
Dakota City,IA,83.9,8.4,0.1,2.0,1.7,4.0,17.8
Daleville,AL,86.35,8.1,0.1,1.3,1.5,2.7,20.65
Daleville,MS,83.1,11.0,0.4,2.3,1.7,1.5,20.8
Dalhart,TX,82.15,9.05,0.25,2.35,2.45,3.75,12.75
Dalton,MA,77.6,8.6,1.3,5.5,1.6,5.3,20.4
Damon,TX,86.7,8.5,0.2,0.8,1.2,2.6,29.1
Dana,IL,83.9,8.7,0.3,2.4,1.5,3.2,22.4
