City,State,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Arlington,TX,58711.0,488.0,29058.0,254.0
Arlington,VA,97448.5,2512.5,59220.0,1223.5
Armagh,PA,45195.0,1339.0,23450.0,774.0
Armour,SD,52500.0,3625.0,29235.0,2424.0
Armstrong,TX,36438.0,10695.0,14251.0,3914.0
Arnett,WV,41032.0,1673.0,22405.0,807.0
Arnold,CA,52917.0,13603.0,21415.0,3057.0
Arnold,KS,44904.0,3073.0,29968.0,2562.0
Arnold,NE,46468.0,3066.0,29406.0,3572.0
Arpin,WI,48961.0,1413.0,26516.0,667.0
Arroyo,PR,15298.0,1594.0,7562.0,842.0
Artemus,KY,26599.0,2214.0,15599.0,1115.0
Ash,NC,46859.0,1715.0,27586.0,1126.0
Ash Grove,MO,40912.0,1337.5,21802.5,644.5
Ashburn,GA,34729.5,3496.0,19152.5,2207.0
Ashburnham,MA,65313.0,682.0,32284.0,309.0
Ashford,WV,39958.0,2871.0,21387.0,1337.0
Ashland,AL,35327.0,4517.0,18905.0,1067.0
Ashland,IL,47434.0,3013.0,24262.0,959.0
Ashland,KY,42319.0,2715.0,25745.0,2632.0
Ashland,MA,85118.0,757.0,44152.0,368.0
Ashley,ND,53750.0,3496.0,27825.0,1700.0
Aspen,CO,71196.0,11001.0,55519.0,8780.0
Assaria,KS,47801.0,1835.0,25641.0,1030.0
Astoria,NY,57720.0,552.0,26876.0,165.0
Atchison,KS,43581.0,3090.0,21677.0,2230.0
Athens,AL,49570.0,1409.0,25569.0,1111.0
Athens,GA,32162.0,1188.0,19276.0,542.0
Athens,TN,38535.0,2764.0,20215.0,1194.0
Atkins,AR,37732.0,3753.0,21897.0,1290.0
Atlanta,MI,36250.0,1815.0,20771.0,945.0
Atlantic,VA,39412.0,2723.0,23231.0,1427.0
Atlantic City,NJ,54461.0,1324.0,28005.0,483.0
Attleboro,MA,56842.0,935.0,29607.0,343.0
Atwood,TN,35508.0,2811.0,19086.0,1123.0
Au Gres,MI,38307.0,1629.0,21197.0,737.0
Auburn,AL,31338.0,3988.5,17477.0,1376.5
Auburn,KY,39679.0,3954.0,19397.0,982.0
Auburn,WV,37636.0,4790.0,19632.0,1102.0
Auburntown,TN,41533.0,3772.0,21897.0,2842.0
Audubon,MN,52038.0,1729.0,26399.0,623.0
Augusta,GA,54222.5,1616.0,25631.0,709.0
Augusta,KY,36327.0,4162.0,21054.0,1204.0
Augusta,MO,72415.0,1141.0,32946.0,444.0
Aurora,CO,58946.0,1016.0,25039.0,288.0
Aurora,MO,39033.0,3095.0,19313.0,772.0
Austin,NV,78190.0,9799.0,29390.0,2766.0
Austin,PA,39897.0,2691.0,25240.0,2128.0
Austin,TX,61451.0,591.0,35168.0,316.0
Austinburg,OH,40544.0,1438.0,20378.0,491.0
Austinville,VA,35000.0,2955.0,21145.0,1316.0
Autaugaville,AL,51281.0,2391.0,24974.0,1080.0
Avera,GA,26557.0,2063.0,16048.0,1530.0
Avinger,TX,37352.0,2430.0,20991.0,916.0
Avoca,TX,43897.0,5136.0,15006.0,7403.0
Avondale,CO,41286.0,901.0,22191.0,426.0
Axtell,TX,40120.5,1854.5,21325.5,826.0
Axton,VA,35293.0,1337.0,20159.0,1039.0
Azle,TX,56897.0,3006.0,27208.0,1556.0
Bainbridge,NY,45668.0,1824.0,23036.0,569.0
Bajadero,PR,16485.0,796.0,9461.0,377.0
Baker,MT,53266.0,7982.0,32755.0,5324.0
Baker City,OR,41098.0,1708.0,24360.0,1480.0
Bakersfield,CA,49026.0,865.0,20644.0,228.0
Bakersfield,MO,32784.0,1602.0,18817.0,803.0
Baldwin,IA,50498.0,2968.0,27255.0,916.0
Baldwyn,MS,42784.0,1667.0,22282.0,727.0
Balko,OK,52090.0,3703.0,26258.0,1999.0
Ball Ground,GA,68926.0,2411.0,30595.0,763.0
Baltic,OH,51996.0,2657.0,18906.0,685.0
Baltimore,MD,42241.0,536.0,25707.0,342.0
Bandana,KY,42244.0,2473.0,24056.0,1442.0
Banks,AL,32825.0,2455.0,19415.0,843.0
Barceloneta,PR,14994.0,2823.0,7263.0,710.0
Barksdale,TX,41813.0,16850.0,27893.0,9683.0
Barnesville,GA,35774.0,2147.0,19069.0,1457.0
Barnesville,MN,51476.0,3286.0,26862.0,1242.0
Barnhart,MO,55348.0,1230.0,25247.0,429.0
Barnum,IA,42408.0,1846.0,23718.0,841.0
Barranquitas,PR,14714.5,1397.0,7410.0,590.0
Bartlett,TX,73750.0,1026.0,31876.0,403.0
Barton,NY,57514.0,2680.0,29427.0,1189.0
Bartow,GA,37932.0,5113.0,18285.0,943.0
Basehor,KS,63726.0,2055.0,27138.0,738.0
Basile,LA,37649.0,2481.0,20552.0,722.0
Bassett,AR,34612.0,1846.0,19073.0,688.0
Batavia,NY,50880.0,1652.0,25240.0,549.0
Bates,OR,38046.0,4595.0,22538.0,1770.0
Batesburg,SC,38827.0,4459.0,20430.0,1340.0
Batesville,IN,51170.0,1792.0,23534.0,798.0
Bath,IL,41567.0,2527.0,24173.0,1083.0
Bath Springs,TN,37263.0,3476.0,23715.0,2429.0
Battle Creek,NE,50218.0,2798.0,26083.0,1631.0
Battle Ground,IN,52154.0,3438.0,24944.0,1088.0
Battle Mountain,NV,60250.0,16889.0,30459.0,3738.0
Bauxite,AR,55817.0,1634.0,26050.0,680.0
Bay City,MI,45583.0,1434.0,24445.0,691.0
Bay City,TX,40797.0,3834.0,21693.0,1100.0
Bay Port,MI,42161.0,1329.0,23382.0,468.0
Bayamon,PR,24430.0,726.0,13068.0,321.0
Bayport,NY,88663.0,826.0,37634.0,304.0
Beach,ND,40179.0,18784.0,27650.0,3004.0
Beach Haven,NJ,61994.0,705.0,31200.0,344.0
Bealeton,VA,91609.0,3727.0,41255.0,1495.0
Bear Creek,NC,56642.0,1979.0,32845.0,1279.0
Beattyville,KY,20504.0,2614.0,13901.0,1426.0
Beaufort,SC,57048.0,1508.0,32401.0,892.0
Beaumont,KY,32294.0,2849.0,17608.0,1077.0
Beaverton,MI,33015.0,1106.0,19181.0,780.0
Beaverton,OR,66754.0,739.0,32369.0,447.0
Bechtelsville,PA,55936.0,756.0,27146.0,341.0
Becker,MN,74170.0,2579.0,29923.0,811.0
Bedford,KY,47409.0,3974.0,23465.0,2084.0
Bee Branch,AR,32312.0,2393.0,19047.0,1123.0
Beeson,WV,36195.0,1537.0,20942.0,789.0
Beeville,TX,42302.0,3403.0,17209.0,1280.0
Bejou,MN,50377.0,2577.0,25314.0,835.0
Belden,MS,40645.0,1487.0,19695.0,1205.0
Belgium,WI,76433.0,1494.0,43543.0,1488.0
Bella Vista,CA,44620.0,1209.0,24107.0,471.0
Bellaire,MI,46845.0,1762.0,27155.0,1176.0
Belle Plaine,MN,87794.0,2092.0,36180.0,690.0
Belleview,MO,36239.0,2219.0,19559.0,1940.0
Belleville,IL,49895.0,1296.0,26738.0,552.0
Bellevue,NE,70543.0,1185.0,30902.0,475.0
Bellevue,TX,48297.0,3407.0,26339.0,1986.0
Bells,TX,47952.0,1896.0,25033.0,640.0
Belmont,NY,42776.0,1315.0,20940.0,626.0
Belpre,OH,43509.0,2272.0,24013.0,840.0
Belvidere,NC,38759.0,5518.0,21451.0,1777.0
Bend,OR,37106.0,3149.0,21496.0,1310.0
Benicia,CA,66828.0,1238.0,29185.0,475.0
Benkelman,NE,42500.0,7445.0,28870.0,3837.0
Bennett,IA,59047.0,2534.0,27879.0,838.0
Bennington,IN,48780.0,5008.0,23848.0,1406.0
Bennington,VT,49573.0,2146.0,29296.0,1193.0
Benzonia,MI,47388.0,2287.0,25023.0,987.0
Berea,KY,37034.5,2407.0,19486.0,1567.0
Berkeley Springs,WV,39324.0,4539.0,23456.0,1807.0
Berlin Heights,OH,48011.0,1442.0,27249.0,940.0
Bern,ID,48654.0,4245.0,22959.0,2392.0
Bernalillo,NM,58982.0,1834.0,26742.0,708.0
Berryton,KS,49915.0,2362.0,24243.0,986.0
Berthoud,CO,60572.0,923.0,26751.0,415.0
Berwick,LA,40781.0,1518.0,21847.0,746.0
Bessemer,MI,35686.0,1379.0,21008.0,1284.0
Bethlehem,GA,60289.0,691.0,25831.0,370.0
Bethlehem,PA,60972.0,1027.0,30176.0,560.0
Bethune,CO,40603.0,5333.0,21769.0,2842.0
Beulah,MS,27585.0,1896.0,15751.0,623.0
Beulah,ND,60278.0,11592.0,32235.0,3769.0
Biddeford,ME,57919.0,1817.0,30705.0,689.0
Big Cabin,OK,42071.0,1560.0,20884.0,819.0
Big Pine Key,FL,57290.0,1946.0,36208.0,1607.0
Big Rock,TN,42023.0,5798.0,21475.0,1613.0
Big Rock,VA,29679.0,1966.0,17883.0,986.0
