City,State,Poverty,ChildPoverty
Bartlett,TX,7.5,9.5
Barton,NY,9.6,11.7
Bartow,GA,25.9,36.7
Basehor,KS,11.4,16.4
Basile,LA,20.6,22.8
Bassett,AR,26.8,40.9
Batavia,NY,13.2,20.5
Bates,OR,15.9,18.1
Batesburg,SC,20.5,29.6
Batesville,IN,8.6,12.0
Bath,IL,15.1,20.9
Bath Springs,TN,21.6,32.1
Battle Creek,NE,15.0,21.5
Battle Ground,IN,9.6,12.1
Battle Mountain,NV,9.7,1.6
Bauxite,AR,9.1,11.2
Bay City,MI,15.0,21.5
Bay City,TX,21.7,35.2
Bay Port,MI,14.1,22.7
Bayamon,PR,35.6,49.5
Bayport,NY,7.0,8.7
Beach,ND,10.0,12.0
Beach Haven,NJ,11.3,20.0
Bealeton,VA,5.6,6.7
Bear Creek,NC,13.6,21.4
Beattyville,KY,43.0,59.0
Beaufort,SC,12.8,21.2
Beaumont,KY,21.9,31.5
Beaverton,MI,26.1,41.4
Beaverton,OR,11.8,15.6
Bechtelsville,PA,14.2,22.2
Becker,MN,7.9,9.6
Bedford,KY,17.4,22.3
Bee Branch,AR,21.4,34.0
Beeson,WV,21.9,34.2
Beeville,TX,21.2,35.6
Bejou,MN,12.9,21.8
Belden,MS,16.2,21.4
Belgium,WI,5.2,5.6
Bella Vista,CA,18.0,23.5
Bellaire,MI,14.5,24.7
Belle Plaine,MN,5.7,6.6
Belleview,MO,23.4,37.3
Belleville,IL,18.2,28.3
Bellevue,NE,6.4,9.2
Bellevue,TX,12.1,13.7
Bells,TX,16.2,22.9
Belmont,NY,16.9,25.1
Belpre,OH,16.4,21.5
Belvidere,NC,26.6,41.5
Bend,OR,19.4,28.2
Benicia,CA,13.4,19.0
Benkelman,NE,7.6,10.8
Bennett,IA,7.7,8.7
Bennington,IN,7.9,8.3
Bennington,VT,13.5,23.6
Benzonia,MI,11.6,15.0
Berea,KY,53.099999999999994,76.19999999999999
Berkeley Springs,WV,12.9,14.3
Berlin Heights,OH,12.4,19.0
Bern,ID,12.9,21.4
Bernalillo,NM,14.2,18.6
Berryton,KS,12.6,14.2
Berthoud,CO,12.9,16.5
Berwick,LA,22.4,30.6
Bessemer,MI,20.2,34.0
Bethlehem,GA,13.8,19.8
Bethlehem,PA,9.4,13.0
Bethune,CO,16.4,25.4
Beulah,MS,37.1,53.3
Beulah,ND,7.7,8.4
Biddeford,ME,9.8,11.5
Big Cabin,OK,21.3,31.3
Big Pine Key,FL,13.4,19.5
Big Rock,TN,19.5,28.9
Big Rock,VA,26.1,40.9
Big Sandy,MT,23.2,35.8
Big Sandy,TN,22.8,31.1
Big Spring,TX,3.4,0.0
Big Wells,TX,18.9,26.0
Bighill,KY,21.0,21.9
Biglerville,PA,8.9,14.1
Billings,MO,11.1,15.1
Billings,MT,11.5,14.4
Billingsley,AL,19.1,30.6
Binford,ND,8.0,9.2
Bingen,WA,15.2,25.4
Bird City,KS,8.1,12.5
Birdsnest,VA,23.0,39.3
Birmingham,AL,18.8,27.8
Bisbee,ND,14.0,25.6
Bishop,CA,16.3,19.9
Bismarck,AR,19.1,27.9
Bismarck,ND,8.2,10.2
Black River,NY,15.1,22.3
Black River Falls,WI,15.1,23.9
Blacksburg,SC,23.8,34.8
Blacksburg,VA,24.8,16.9
Blackstone,VA,24.1,27.3
Blackwell,TX,32.8,41.8
Blanchard,ID,15.3,19.3
Blanchardville,WI,10.8,16.2
Blanchester,OH,26.6,36.3
Blanco,OK,18.7,25.6
Blanco,TX,9.0,14.3
Bledsoe,TX,20.0,23.7
Bloomery,WV,20.7,31.4
Bloomfield,KY,17.6,20.5
Bloomingdale,MI,18.8,27.5
Bloomington Springs,TN,25.2,31.8
Blountsville,AL,16.7,27.2
Blue Mound,IL,14.6,21.9
Blue Mountain,MS,22.5,33.2
Blue Ridge,TX,17.2,22.5
Blue River,WI,15.4,17.3
Blue Springs,MO,17.9,27.2
Blue Springs,NE,9.7,11.7
Bluff City,KS,16.4,21.0
Bluff Dale,TX,11.7,17.7
Bluffton,AR,18.6,27.2
Bogart,GA,13.7,15.6
Bogata,TX,18.8,24.2
Boise,ID,14.5,19.5
Bomont,WV,28.2,30.0
Bond,CO,10.8,14.3
Bonesteel,SD,18.4,26.7
Bonita Springs,FL,14.1,24.7
Bonners Ferry,ID,15.3,18.2
Boone,NC,31.4,21.8
Boones Mill,VA,14.9,24.6
Boonville,NC,20.3,34.2
Boston,GA,23.6,28.5
Boston,KY,16.0,24.7
Boston,MA,20.7,28.7
Boswell,OK,18.3,23.1
Boulder,UT,18.0,21.4
Bouton,IA,6.5,6.6
Boutte,LA,11.8,15.0
Bovina,TX,17.2,27.6
Bowie,MD,9.6,13.1
Bowie,TX,32.2,50.5
Bowlegs,OK,21.7,28.8
Bowling Green,KY,18.8,25.0
Bowling Green,OH,14.3,12.1
Bowman,ND,7.4,5.1
Box Elder,MT,21.2,26.5
Boyertown,PA,6.6,7.5
Bozeman,MT,13.2,10.7
Bracey,VA,42.0,63.7
Brackenridge,PA,13.0,18.1
Brackettville,TX,17.8,27.1
Bradenton Beach,FL,15.2,25.5
Bradford,IL,11.9,18.5
Bradford,TN,18.7,27.7
Bradgate,IA,14.2,19.3
Bradleyville,MO,19.0,27.7
Brady,TX,18.8,27.0
Braidwood,IL,7.9,11.2
Branchville,IN,13.0,16.5
Brandon,FL,17.0,23.3
Brandy Station,VA,9.3,10.7
Brasstown,NC,21.1,33.2
Braxton,MS,10.0,11.3
Brazil,IN,16.0,20.7
Breaux Bridge,LA,17.9,28.9
Breckenridge,TX,35.2,56.0
Breda,IA,8.2,7.9
Breeding,KY,25.1,31.6
Bremen,IN,12.1,15.9
Bremo Bluff,VA,6.6,6.0
Bremond,TX,22.0,34.4
Brenham,TX,25.0,39.2
Brewerton,NY,15.4,22.5
Briceville,TN,17.9,30.1
Bridgeport,WV,16.3,23.8
Bridgeton,NJ,17.9,26.1
Bridgeville,CA,19.5,23.8
Bridgewater Corners,VT,11.0,14.0
Brierfield,AL,16.8,27.9
Brighton,TN,13.6,18.5
Brightwood,VA,12.4,16.1
Briscoe,TX,12.3,22.2
Bristol,CT,11.9,16.7
Bristol,VA,40.599999999999994,61.900000000000006
Bristol,WI,15.2,22.5
Bristow,IA,9.0,13.1
Bristow,OK,24.8,30.1
Broadus,MT,9.3,6.6
Broadview,MT,16.4,22.5
Broadview,NM,21.0,32.6
Brocket,ND,10.1,14.0
Broken Bow,OK,25.3,34.3
Bronston,KY,26.3,35.6
Bronx,NY,30.7,42.5
Brookesmith,TX,18.3,30.2
Brookings,SD,16.3,9.3
Brooklyn,CT,10.7,14.3
Brooklyn,NY,23.2,32.9
Brooks,KY,10.4,13.6
Brooksville,FL,15.9,25.8
Brookville,PA,14.6,23.1
Broomfield,CO,8.5,11.8
Browns Valley,MN,10.2,14.3
Brownsville,TX,33.8,47.5
Brownton,MN,8.1,11.8
Brunswick,NC,23.5,32.9
Brunswick,OH,7.4,10.2
Brusly,LA,19.4,29.1
Brutus,MI,18.2,30.1
Bryan,TX,27.9,24.3
Buchanan,GA,20.3,27.7
Buchanan,MI,17.7,26.5
Buchanan,NY,9.6,12.3
Buckatunna,MS,27.2,39.3
Buckhannon,WV,18.1,27.3
Buckholts,TX,17.4,26.4
Buena Vista,CO,8.7,12.3
Buena Vista,VA,28.4,39.5
Buffalo,MO,21.9,34.4
Buffalo,SD,13.4,10.5
Buffalo,WY,6.3,0.8
Buford,GA,18.4,27.6
Buhl,ID,19.4,29.2
Bullhead City,AZ,19.8,30.8
Bullock,NC,25.1,37.0
Buna,TX,17.0,24.2
Buncombe,IL,17.2,21.7
Burbank,SD,27.6,21.0
Burgaw,NC,18.5,24.9
Burley,ID,17.4,27.7
Burlington,VT,11.4,11.9
Burlington,WV,16.9,20.7
Burlington,WY,12.1,12.7
Burlington Junction,MO,28.6,28.9
Burns,TN,16.3,23.9
Burnsville,MS,16.4,27.0
Burton,WV,19.8,31.0
Burwell,NE,24.5,21.9
Bushnell,NE,13.6,15.1
Bussey,IA,9.9,12.1
Butte,MT,20.1,26.2
Butte,NE,11.0,8.4
Butternut,WI,11.3,11.6
