City,State,Poverty,ChildPoverty
Du Bois,NE,19.4,35.5
Duck Hill,MS,29.6,50.0
Dudley,GA,27.5,38.9
Duke Center,PA,17.2,24.8
Dulce,NM,23.7,30.6
Duluth,MN,16.0,18.6
Dumont,MN,14.4,23.5
Dundee,MS,34.1,44.8
Dunellen,NJ,8.8,11.5
Dunn Center,ND,12.6,15.3
Dunning,NE,19.2,25.9
Dupree,SD,39.5,47.2
Durand,WI,13.1,20.3
Durango,CO,16.5,16.9
Durant,MS,43.4,60.9
Durham,NC,18.0,25.7
Dustin,OK,18.6,27.5
Dutch John,UT,7.2,3.4
Eagle,ID,12.3,13.7
Eagle Pass,TX,26.7,34.9
Eagle River,WI,10.4,14.2
Earle,AR,44.2,62.099999999999994
Earling,IA,11.2,13.2
East Concord,NY,15.0,23.1
East Jordan,MI,12.3,16.6
East Nassau,NY,12.4,19.3
East Peoria,IL,8.7,11.6
East Prairie,MO,29.2,43.8
East Stone Gap,VA,22.4,31.7
Eastsound,WA,11.6,19.6
Eastview,KY,14.3,22.7
Eaton,IN,14.0,20.1
Eatonton,GA,16.4,22.7
Eau Claire,WI,10.1,11.6
Ebro,FL,21.5,34.2
Echola,AL,19.1,25.5
Eckert,CO,16.3,23.9
Edelstein,IL,17.2,25.3
Edgartown,MA,11.7,19.9
Edgemont,SD,27.1,41.3
Edgerton,MN,11.4,14.6
Edgewood,NM,32.3,46.1
Edinburg,ND,6.4,7.3
Edison,OH,11.7,17.2
Edon,OH,14.9,22.8
Edson,KS,19.0,26.9
Egegik,AK,16.8,23.5
Ekalaka,MT,11.8,14.3
El Cerrito,CA,10.9,14.0
El Paso,TX,63.099999999999994,95.5
El Reno,OK,7.3,9.1
Eldorado,OK,17.5,24.2
Eldorado,TX,19.5,29.4
Eldridge,IA,12.1,17.2
Electra,TX,9.9,12.1
Electric City,WA,17.9,22.8
Elfrida,AZ,17.9,24.9
Elgin,IL,11.4,17.6
Elgin,TX,14.7,21.1
Elizabeth,LA,16.5,21.9
Elizabeth City,NC,27.1,43.5
Elk City,KS,19.0,26.3
Elk Horn,IA,9.7,11.7
Elk Horn,KY,23.7,36.5
Elk Park,NC,15.4,16.3
Elkhart,IN,16.1,23.7
Elkton,OR,19.3,30.0
Ellabell,GA,13.6,19.4
Ellaville,GA,23.4,33.3
Ellenboro,NC,20.1,30.5
Ellenboro,WV,18.0,30.9
Ellendale,DE,12.6,21.6
Ellinger,TX,12.4,18.9
Elliott,IA,13.9,22.7
Elliottville,KY,26.0,34.7
Ellsinore,MO,21.3,27.7
Ellsworth,IA,11.4,17.2
Ellsworth,NE,10.2,8.9
Ellwood City,PA,15.2,24.3
Elm City,NC,23.1,38.3
Elm Creek,NE,15.3,22.4
Elmendorf,TX,17.4,24.9
Elmira,NY,15.8,22.2
Elmo,UT,11.2,15.3
Eltopia,WA,18.3,27.6
Ely,NV,11.5,18.1
Emmetsburg,IA,10.7,16.8
Emory,TX,11.0,18.3
Empire,CO,8.3,10.3
Empire,LA,16.2,18.2
Emporia,VA,34.9,52.6
Encampment,WY,15.3,19.4
Enders,NE,8.9,14.3
Endicott,WA,21.4,27.6
Energy,TX,23.2,40.2
Enfield,IL,13.6,17.7
Enfield,NC,26.3,36.4
Engadine,MI,15.9,25.5
Englewood,CO,4.0,4.2
Englewood,KS,14.9,21.0
Englishtown,NJ,7.5,9.9
Enigma,GA,26.2,32.6
Ennice,NC,18.4,26.2
Enochs,TX,19.0,25.8
Enola,AR,15.5,16.8
Enterprise,LA,20.4,30.7
Enterprise,MS,21.3,31.7
Enterprise,OR,15.3,22.8
Epping,ND,10.1,12.6
Epps,LA,38.4,53.4
Epworth,GA,23.1,35.3
Equality,IL,15.6,20.1
Erbacon,WV,47.1,63.3
Erick,OK,13.0,12.3
Ericson,NE,10.2,7.2
Erie,KS,18.6,29.7
Erlanger,KY,14.6,23.0
Escalante,UT,7.9,10.0
Esom Hill,GA,21.5,31.6
Essex,MD,9.4,12.1
Essig,MN,7.8,8.1
Ethan,SD,12.0,10.1
Ettrick,WI,10.7,16.0
Eudora,AR,52.4,72.8
Eufaula,OK,21.1,29.3
Eupora,MS,22.7,30.0
Eutaw,AL,40.2,67.0
Evans,WV,16.4,25.1
Evansville,IN,16.6,24.6
Evansville,MN,10.0,12.3
Evant,TX,13.8,19.8
Everson,WA,16.0,16.8
Everton,MO,19.9,28.2
Ewing,VA,25.4,39.9
Fairbanks,AK,8.1,9.9
Fairbury,IL,11.6,17.6
Fairfax,VA,7.0,3.9
Fairfield,IL,14.5,24.0
Fairfield,MT,12.1,15.7
Fairfield,NE,9.3,12.4
Fairmont,OK,13.0,18.8
Fairmont,WV,16.2,24.9
Fairplay,CO,7.3,8.1
Fairview,OK,14.1,18.3
Faith,SD,13.6,13.1
Falfurrias,TX,39.6,57.8
Fall Branch,TN,18.1,23.9
Fallon,NV,15.9,20.8
Falls Church,VA,2.7,2.8
Falmouth,MI,16.8,24.4
Fannin,TX,18.6,30.7
Fanwood,NJ,10.9,15.4
Farber,MO,18.5,28.5
Faribault,MN,11.4,16.0
Farina,IL,18.0,30.6
Farmersville,IL,14.8,19.7
Farmington,NM,20.1,26.0
Farmland,IN,18.0,27.4
Farnsworth,TX,13.7,15.9
Federalsburg,MD,32.3,53.4
Felt,ID,10.8,15.7
Ferdinand,IN,10.8,15.5
Fernandina Beach,FL,12.9,19.1
Fernley,NV,16.5,22.0
Fernwood,ID,16.6,21.8
Ferriday,LA,30.5,43.8
Fertile,MN,13.1,17.4
Festus,MO,14.3,21.1
Fieldton,TX,23.5,35.0
Firebaugh,CA,26.8,38.2
Fischer,TX,8.8,13.0
Fish Camp,CA,15.1,19.6
Flandreau,SD,14.3,20.2
Flemington,MO,18.5,23.1
Fletcher,MO,21.2,34.1
Flintville,TN,16.7,24.5
Florence,SC,19.8,28.0
Florence,WI,9.3,11.5
Florida,PR,55.9,66.2
Fluker,LA,22.2,31.4
Flushing,MI,20.9,31.4
Folkston,GA,17.2,20.7
Fond Du Lac,WI,9.2,12.4
Fontana Dam,NC,21.9,29.4
Ford,WA,18.0,25.0
Forest,MS,23.6,37.3
Forest City,IA,9.9,9.9
Forest City,NC,19.9,29.6
Forest City,PA,13.0,19.5
Forest Hill,WV,17.6,21.3
Foristell,MO,15.0,22.3
Forrest City,AR,27.3,36.0
Fort Bragg,CA,20.4,28.1
Fort Buchanan,PR,26.9,36.9
Fort Collins,CO,13.7,12.3
Fort Davis,TX,5.7,2.2
Fort Johnson,NY,17.1,24.3
Fort Lauderdale,FL,14.5,19.9
Fort Morgan,CO,11.6,16.0
Fort Pierce,FL,18.3,28.1
Fort Plain,NY,20.6,32.4
Fort Scott,KS,19.2,28.7
Fort Stewart,GA,17.7,22.9
Fort Valley,GA,17.2,22.6
Fort Valley,VA,12.2,19.4
Fort Wayne,IN,15.8,23.5
Fortine,MT,18.6,23.7
Fortuna,CA,21.4,23.7
Fouke,AR,20.3,29.3
Fountain,CO,11.8,15.6
Fountain,NC,51.8,72.5
Fountaintown,IN,12.2,16.8
Fowler,IL,14.4,20.1
Fowler,KS,11.3,16.8
Francis,OK,18.5,24.4
Frankfort,IN,14.1,21.3
Franklin,GA,20.5,29.0
Franklin,ID,13.2,18.9
Franklin,IN,9.9,13.7
Franklin,NE,6.3,6.6
Franklin,OH,5.6,6.8
Franklin,TX,17.4,24.1
Franklin,VA,36.9,56.7
Franklin,WV,20.6,28.1
Frankston,TX,18.8,30.0
Frazer,MT,12.0,19.4
Frederick,MD,6.8,9.3
Fredericksburg,VA,29.8,40.9
Fredonia,KY,14.3,28.1
Fredonia,ND,8.1,2.3
Fremont,CA,12.5,15.2
French Village,MO,19.3,25.9
Friendly,WV,19.8,29.7
Frisco,TX,8.8,10.1
Fritch,TX,20.1,31.5
Frost,MN,13.5,22.6
Fulda,MN,15.6,22.4
Funk,NE,7.9,9.3
Gackle,ND,9.5,9.1
Gadsden,AL,19.7,31.7
Gainesville,FL,24.3,23.5
Galax,VA,26.8,48.1
Galena,MD,11.2,16.9
Galena,MO,16.6,24.4
Galloway,OH,9.4,14.0
Gallup,NM,37.5,44.2
Galt,IA,11.1,15.2
Galva,IA,11.2,15.6
Garden,MI,17.2,24.5
Garden City,TX,15.5,22.0
Gardiner,MT,12.3,9.4
Garfield,GA,33.8,57.6
Garland,TX,19.3,29.3
Garland,UT,9.5,11.2
Garyville,LA,18.2,26.5
Gasquet,CA,21.8,29.0
Gastonia,NC,17.4,25.7
Gates,TN,26.7,35.3
Gatzke,MN,7.9,8.8
Gaylesville,AL,19.2,30.1
Genesee,ID,11.9,15.4
Genesee,PA,15.0,20.4
Geneseo,KS,9.0,7.8
Genoa,NE,13.8,15.0
Genoa City,WI,13.5,16.7
Georgetown,SC,21.0,36.0
Georgiana,AL,31.4,40.2
Gepp,AR,19.9,35.8
Gettysburg,SD,5.1,0.9
Gibbon,MN,10.7,17.9
Gilbertown,AL,23.4,34.4
Gillette,WY,7.2,8.4
Gillsville,GA,16.6,23.1
Gilman,IA,11.3,17.3
Gilman,VT,15.0,17.3
Gilman City,MO,17.5,25.8
Girard,GA,25.2,35.9
Girvin,TX,12.0,13.5
Gladeville,TN,10.1,13.7
Glen Allan,MS,36.0,52.5
Glencoe,OK,25.9,24.7
Glennallen,AK,10.9,8.9
Glenrock,WY,9.4,11.6
Glenwood,AR,17.9,23.9
Glenwood,GA,27.2,37.0
Gloster,MS,32.3,52.4
Glyndon,MN,12.7,12.5
Goessel,KS,11.4,14.1
Goetzville,MI,18.9,28.6
Gold Creek,MT,13.8,28.4
Golden City,MO,24.2,36.1
Golden Valley,ND,8.2,7.9
Goldfield,NV,17.1,15.1
Goldsboro,NC,22.3,35.6
Good Hope,IL,23.0,19.9
Goodhue,MN,11.2,17.1
Goodlettsville,TN,12.0,16.7
Goodview,VA,9.7,12.8
Goose Creek,SC,13.9,19.9
Gordo,AL,25.0,35.2
Gordon,GA,17.7,26.2
Gordonsville,VA,12.1,22.0
Goshen,NY,12.8,20.4
Goshen,VA,13.9,20.9
Gosport,IN,15.1,21.7
Gouldbusk,TX,22.6,41.1
Gouldsboro,ME,13.5,18.1
Gouldsboro,PA,15.8,27.2
Gouverneur,NY,19.4,27.5
Gove,KS,8.2,9.7
Grace,ID,8.3,4.9
Graham,KY,19.9,29.7
Graham,NC,19.2,29.1
Granby,MO,14.5,18.6
Grand Forks,ND,17.5,17.1
Grand Isle,ME,18.5,25.7
Grand Ledge,MI,26.9,32.4
Grand Marais,MN,11.4,22.1
Grand Rapids,MI,15.3,20.9
Grand Rapids,OH,11.4,17.2
Grand Valley,PA,12.2,19.9
Granite Falls,MN,12.2,20.2
Grant,FL,14.0,21.3
Grants,NM,29.3,45.5
Grantsville,UT,7.2,6.8
Granville Summit,PA,13.6,20.3
Grapeview,WA,17.2,26.3
Grasston,MN,28.799999999999997,42.0
Gravois Mills,MO,41.3,58.400000000000006
Graysville,GA,12.5,17.0
Greeley,NE,10.0,12.9
Greeleyville,SC,55.0,77.3
Green Castle,MO,19.2,25.4
Green City,MO,16.6,20.0
Green River,WY,11.5,17.0
Green Springs,OH,16.9,27.2
Greenbush,MI,15.2,21.4
Greene,RI,8.4,10.7
Greenfield,IL,17.1,23.1
Greenfield,MA,11.7,15.3
Greenfield,OH,19.3,28.0
Greenleaf,ID,19.4,26.1
Greenmountain,NC,41.2,65.0
Greensboro,VT,12.5,18.0
Greensburg,KY,21.6,30.7
Greenville,AL,42.099999999999994,58.400000000000006
Greenville,GA,22.7,31.3
Greenville,SC,15.6,23.6
Greenville,WV,16.8,26.2
Greenwich,OH,17.0,26.7
Greenwood,AR,23.2,36.6
Greenwood,LA,21.5,33.0
Greenwood,SC,46.2,69.6
Grey Eagle,MN,14.7,23.2
Griffithsville,WV,27.3,43.0
Grifton,NC,23.2,36.2
Grimes,CA,15.0,22.2
Grinnell,KS,6.6,12.2
Groom,TX,14.2,14.899999999999999
Grosse Tete,LA,19.1,24.8
Groveport,OH,12.6,18.2
Grover Hill,OH,12.8,18.2
Groves,TX,19.9,29.7
Gruver,TX,17.1,25.0
Guanica,PR,112.7,128.89999999999998
Guayama,PR,53.0,65.0
Guilford,ME,20.9,33.5
Gunnison,CO,40.3,53.8
Guntown,MS,18.8,26.6
Gurabo,PR,47.4,55.2
Gurley,NE,11.6,19.0
Guttenberg,IA,12.2,15.8
Hadley,MA,14.7,12.9
Hagarville,AR,22.1,33.6
Hagerstown,IN,21.1,33.0
Hagerstown,MD,12.9,20.0
Hague,VA,13.3,14.0
Haiku,HI,11.0,14.0
Haines,AK,5.3,4.3
Haleyville,AL,20.1,25.7
Hamer,ID,23.4,31.5
Hamer,SC,33.9,52.8
Hamill,SD,20.4,30.9
Hamilton,CO,11.4,13.8
Hamilton,IN,10.8,15.3
Hamilton,MS,19.9,30.2
Hamilton,TX,14.5,16.4
Hamilton City,CA,20.8,27.3
Hamlin,WV,9.8,11.8
Hampshire,TN,19.6,24.3
Hampstead,MD,5.6,6.9
Hampton,NE,8.7,12.6
Hampton,VA,15.3,24.3
Hanalei,HI,10.7,12.5
Hanover,IN,14.5,20.3
Hanover,MA,8.2,11.4
Hanover,MD,11.100000000000001,13.0
Hanston,KS,4.6,5.2
Hardeeville,SC,23.5,39.3
Hardesty,OK,13.0,18.2
Hardin,IL,12.6,17.1
Hardin,MT,29.2,39.1
Harlem,GA,25.4,41.2
Harold,KY,30.0,43.4
Harpers Ferry,WV,11.6,15.7
Harrell,AR,17.8,23.2
Harrellsville,NC,25.6,38.6
Harrietta,MI,17.4,26.7
Harrington,WA,15.3,22.7
Harrisburg,MO,19.7,16.1
Harrisburg,NE,11.7,17.3
Harrisburg,OR,18.9,27.8
Harrison,AR,18.8,27.3
Harrisonburg,VA,43.6,38.9
Harrisonville,MO,9.9,14.3
Harrodsburg,KY,18.3,27.5
Harrold,SD,10.2,16.2
Harrold,TX,17.8,23.3
Hart,MI,17.2,31.4
Hartford,AL,23.2,40.2
Hartland,ME,17.6,24.6
Hartland,MN,12.1,17.6
Hartland,WI,5.3,6.8
Harvey,AR,20.1,32.0
Harvey,ND,5.5,0.0
Hastings,FL,14.8,24.5
Hastings,MI,11.0,15.6
Hatillo,PR,44.7,56.5
Hattiesburg,MS,44.5,55.2
Haughton,LA,14.3,19.9
Haviland,KS,15.5,20.3
Hawkins,WI,16.0,26.1
Hawkinsville,GA,19.2,34.6
Hawley,PA,12.9,19.0
Hawthorne,FL,28.7,45.8
Hay Springs,NE,17.8,15.6
Hayes,SD,8.2,6.6
Hayes Center,NE,6.3,2.4
Haymarket,VA,6.7,9.8
Hazelton,ND,11.3,6.3
Hazen,AR,21.4,30.5
Head Waters,VA,12.6,21.5
Healy,KS,9.0,8.9
Heath,OH,12.7,20.1
Hebbronville,TX,17.5,15.3
Hebron,KY,8.2,11.2
Heflin,AL,20.4,28.3
Helena,GA,22.5,33.2
Hemingford,NE,29.5,44.3
Hemphill,TX,27.4,49.9
Henderson,KY,19.0,28.4
Hendersonville,NC,13.8,20.0
Henley,MO,12.9,17.7
Hennepin,OK,15.1,21.7
Henry,SD,10.3,9.1
Hensley,AR,12.0,16.5
Heppner,OR,16.5,25.7
Hereford,TX,17.1,23.7
Hernando,FL,17.4,30.4
Heron Lake,MN,10.8,16.7
Herron,MI,17.2,25.0
Herscher,IL,16.1,23.3
Hershey,NE,12.8,18.2
Hesperia,MI,20.4,31.6
Hesston,KS,7.2,9.4
Hestand,KY,27.7,43.1
Hickman,KY,27.4,36.0
Hickman,TN,16.3,22.8
Hickory,NC,15.5,23.2
Hicksville,OH,13.4,20.4
Hico,TX,24.4,23.8
Hidalgo,IL,9.2,10.0
Higgins,TX,9.2,10.8
High Bridge,NJ,4.4,5.0
High Point,NC,15.9,23.6
High Springs,FL,22.8,35.2
Hilham,TN,26.8,44.4
Hill,NH,9.1,12.3
Hilliard,OH,17.5,24.8
Hillsboro,ND,10.5,12.9
Hillsdale,NY,11.7,16.8
Hilo,HI,19.5,29.6
Himrod,NY,14.4,21.5
Hines,MN,18.8,23.6
Hinsdale,NH,11.8,16.9
Hinsdale,NY,18.3,27.7
Hitchins,KY,17.6,24.2
Hiwassee,VA,13.5,17.4
Hixson,TN,16.0,23.6
Hobbs,NM,15.0,21.8
Hobson,MT,14.1,19.0
Hoffman,MN,9.1,12.4
Hokah,MN,11.0,17.3
Holbrook,ID,14.6,23.7
Holcomb,KS,17.0,25.0
Holcomb,MO,27.7,39.3
Holden,LA,26.9,35.5
Holden,UT,12.9,19.5
Holdingford,MN,11.3,12.3
Holland,IN,9.8,13.4
Holland,TX,15.3,21.7
Holly,CO,19.0,26.7
Holly Ridge,NC,14.6,19.8
Holly Springs,NC,11.3,15.2
Holmen,WI,14.8,13.6
Holt,MI,22.4,25.8
Holyoke,CO,15.3,18.7
Homer,IN,17.6,26.4
Honey Grove,PA,13.2,20.5
Hooper,CO,28.9,36.5
Hope,AR,27.0,42.1
Hope,KY,26.0,35.6
Hope,NM,21.9,32.7
Hope Valley,RI,9.9,12.0
Hopewell,VA,19.0,29.0
Hormigueros,PR,37.4,49.0
Hornbeak,TN,20.6,30.1
Hornell,NY,16.3,24.6
Horner,WV,20.6,32.8
Horse Cave,KY,20.4,28.5
Horseshoe Beach,FL,21.1,24.1
Hosford,FL,18.4,16.8
Hoskins,NE,13.6,12.2
Hosmer,SD,12.3,4.1
Houma,LA,19.5,27.2
Houston,MS,26.3,38.7
Houston,TX,18.0,26.8
Hoven,SD,11.6,18.9
Howard,KS,18.3,24.5
Howard,OH,15.3,23.3
Howells,NE,13.3,18.4
Hudgins,VA,7.0,11.2
Hudson,KY,17.4,20.7
Hughes Springs,TX,18.7,27.7
Hughesville,MD,7.9,11.2
Hughesville,PA,14.5,22.4
Hugo,MN,7.7,10.4
Hugoton,KS,19.1,28.2
Hulett,WY,5.0,5.6
Hume,MO,18.5,25.7
Humeston,IA,20.6,26.4
Humphrey,AR,25.5,39.3
Hunnewell,MO,14.7,26.2
Hunter,KS,10.4,15.3
Huntersville,NC,15.2,20.5
Huntley,IL,7.9,10.8
Huntsville,AL,13.7,19.4
Huntsville,TX,46.0,54.4
Huron,SD,10.4,11.0
Hurt,VA,16.1,25.3
Huson,MT,16.0,13.9
Hutchinson,KS,14.7,18.1
Hyannis,NE,13.3,14.6
Hyde Park,VT,11.8,17.6
Hydro,OK,16.7,16.8
Hymera,IN,18.7,28.0
Idaho Falls,ID,13.2,16.9
Idlewild,MI,28.7,49.2
Ignacio,CO,11.7,22.8
Ilwaco,WA,19.2,30.2
Imogene,IA,11.0,17.6
Imperial,CA,24.0,31.0
Inchelium,WA,22.0,24.7
Independence,WV,14.6,18.9
Indiahoma,OK,17.6,24.3
Indianapolis,IN,21.1,31.8
Indianola,MS,35.5,51.2
Indianola,NE,10.6,16.1
Ingalls,KS,10.0,13.8
Ingram,TX,15.9,23.5
Interior,SD,33.3,42.7
Interlochen,MI,11.0,13.5
Inver Grove Heights,MN,7.7,10.6
Ione,WA,21.5,29.7
Iowa,LA,21.1,26.3
Iowa City,IA,17.9,13.6
Iron Mountain,MI,13.8,14.7
Irons,MI,16.9,29.3
Irvine,KY,29.3,39.3
Ivins,UT,15.0,20.9
Jackson,GA,20.8,32.6
Jackson,MO,18.3,23.8
Jackson,MS,25.9,36.9
Jackson,MT,16.3,7.6
Jackson,OH,23.5,33.3
Jackson,TN,19.6,30.2
Jacksonville,FL,17.3,26.0
Jacksonville,GA,28.5,48.5
Jacksonville,TX,22.1,34.8
Jameson,MO,16.7,22.6
Jamestown,IN,5.8,6.2
Jamestown,MO,13.0,18.3
Janesville,WI,15.0,23.2
Jaroso,CO,23.7,40.4
Jarratt,VA,19.7,27.8
Jarvisburg,NC,10.3,13.6
Jasper,AL,21.9,37.2
Jasper,AR,20.5,27.3
Jasper,FL,29.3,47.0
Jasper,GA,11.6,18.8
Jayton,TX,9.6,24.8
Jayuya,PR,57.8,66.2
Jean,NV,15.7,22.7
Jefferson,AL,26.1,35.5
Jefferson,PA,13.9,19.7
Jefferson,TX,22.6,35.7
Jeffersonville,VT,8.7,11.8
Jenkinsville,SC,24.4,36.3
Jennings,KS,11.2,18.2
Jennings,OK,13.8,19.3
Jerome,MO,19.4,22.7
Jersey,AR,29.0,47.0
Jersey,VA,5.5,7.1
Jersey City,NJ,17.5,26.5
Jesup,GA,20.3,23.5
Jewett,OH,17.3,29.6
Johnson,KS,5.3,4.7
Johnson,NE,8.6,8.7
Johnson City,NY,17.9,24.3
Johnson City,TN,46.1,65.5
Johnson Creek,WI,10.6,14.7
Johnston City,IL,15.0,21.9
Johnstown,PA,15.2,24.5
Jones,OK,18.2,26.8
Jonesboro,GA,12.9,19.7
Jonesboro,LA,27.5,39.2
Jonesville,NC,23.3,32.3
Jourdanton,TX,16.4,24.9
Judsonia,AR,19.0,21.7
Juncos,PR,34.1,37.3
Junction,TX,20.6,30.2
Junction City,KS,10.5,12.5
Juneau,AK,6.6,11.0
Juneau,WI,9.2,12.3
Kadoka,SD,16.8,22.7
Kahuku,HI,9.7,12.8
Kansas City,KS,23.9,37.3
Kansas City,MO,16.5,21.4
Karbers Ridge,IL,20.7,25.9
Karnak,IL,18.3,26.5
Katy,TX,8.2,11.2
Kaukauna,WI,8.9,11.7
Kearney,NE,13.1,13.2
Keatchie,LA,26.4,39.4
Keenes,IL,17.0,26.2
Kelley,IA,22.7,11.8
Kellyton,AL,22.5,40.2
Kelso,WA,17.5,24.2
Kemah,TX,13.9,20.0
Kemp,TX,14.0,18.0
Kempner,TX,14.6,22.7
Kenai,AK,10.0,11.8
Kendrick,ID,13.1,16.8
Kenilworth,UT,15.3,18.2
Kennard,TX,16.7,24.0
Kennedy,AL,18.3,25.6
Kennedy,NY,18.9,29.9
Kennett,MO,28.9,42.1
Kensington,KS,14.8,22.3
Kent,NY,15.7,21.9
Kent,OH,15.6,21.1
Kenton,OH,18.7,26.1
Kenton,OK,17.9,31.4
Keo,AR,12.4,16.3
Keota,OK,19.8,25.6
Kermit,TX,13.9,17.9
Kernersville,NC,17.6,25.1
Kewanee,IL,10.7,13.9
Kilmarnock,VA,11.0,16.2
Kinderhook,IL,13.7,15.7
King And Queen Court Hous,VA,13.4,31.7
King Ferry,NY,12.0,17.7
King Salmon,AK,7.2,8.4
King William,VA,11.8,21.6
Kingfield,ME,14.8,18.7
Kingman,KS,12.2,15.8
Kingsland,AR,20.8,31.5
Kingsport,TN,17.5,26.9
Kingston,NY,12.8,14.0
Kingston,OK,16.8,22.7
Kingston,UT,20.6,35.1
Kirksville,MO,26.9,20.0
Kirkville,IA,18.6,25.5
Kirkwood,IL,15.0,22.4
Kissimmee,FL,19.5,29.1
Kite,GA,23.1,32.9
Klamath Falls,OR,19.3,24.4
Klamath River,CA,23.1,30.5
Klingerstown,PA,13.1,19.6
Klondike,TX,18.9,25.5
Knippa,TX,19.9,29.1
Krakow,WI,11.0,15.6
Kress,TX,22.6,33.5
Krypton,KY,25.4,29.3
Kulm,ND,11.7,10.4
La Crosse,IN,11.6,17.4
La Grande,OR,18.6,22.9
La Junta,CO,25.6,36.8
La Plata,MO,19.1,31.9
La Plata,PR,47.2,58.2
La Pryor,TX,33.4,45.8
La Push,WA,15.0,22.4
Labelle,FL,20.2,28.7
Lackey,VA,6.4,8.2
Lacrosse,WA,31.2,19.3
Lafayette,CO,14.1,13.2
Lagrange,WY,17.9,31.9
Lajas,PR,59.3,69.0
Lake Ann,MI,10.4,17.0
Lake Benton,MN,9.3,7.2
Lake Butler,FL,20.0,27.8
Lake George,NY,12.0,17.5
Lake Minchumina,AK,22.4,30.0
Lake Oswego,OR,9.5,12.0
Lake Placid,FL,19.4,31.0
Lake Village,IN,13.7,23.6
Lake Wales,FL,18.3,28.7
Lakeville,CT,7.0,7.6
Lakota,IA,9.0,14.5
Lamar,MS,40.0,55.400000000000006
Lamesa,TX,13.3,17.1
Lamont,IA,9.5,13.3
Lamont,KS,15.1,23.6
Lampasas,TX,16.0,26.8
Lancaster,SC,18.7,27.4
Land O' Lakes,FL,14.0,17.9
Landrum,SC,17.5,25.4
Lane City,TX,17.6,28.4
Lanesville,IN,12.8,19.1
Lanexa,VA,7.0,11.4
Langlois,OR,16.6,17.8
Langtry,TX,20.6,27.8
Lansing,NC,20.7,30.4
Laquey,MO,13.2,18.1
Laredo,TX,31.8,42.9
Lares,PR,58.3,64.3
Larose,LA,14.8,20.6
Las Marias,PR,58.0,72.8
Las Piedras,PR,101.80000000000001,129.10000000000002
Laurel,IN,20.6,29.9
Laurel,MT,7.8,8.3
Lavalette,WV,20.6,31.4
Lavina,MT,26.6,60.1
Lawndale,NC,19.9,30.6
Lawrence,KS,19.0,13.8
Lawrence,MA,11.4,16.4
Le Roy,MN,11.1,16.5
Le Sueur,MN,9.1,11.8
Leadore,ID,18.7,28.3
Leakesville,MS,14.5,10.5
Leakey,TX,16.6,26.6
Leasburg,NC,40.8,61.8
Lebo,KS,10.0,14.2
Ledger,MT,37.0,42.2
Leeds,ND,33.5,47.8
Leesburg,TX,19.7,28.2
Leicester,NC,18.1,24.6
Leitchfield,KY,24.0,34.4
Lemoyne,NE,8.0,0.7
Lena,IL,9.2,11.0
Lena,MS,27.7,42.7
Lenoir City,TN,14.4,28.7
Lenore,WV,25.8,36.7
Leonard,ND,9.3,8.2
Leoti,KS,9.9,8.1
Leroy,MI,22.0,35.4
Leslie,AR,23.6,30.7
Letcher,KY,28.4,40.9
Letohatchee,AL,28.5,39.9
Lettsworth,LA,19.6,28.9
Levan,UT,14.3,19.7
Lewis,KS,11.7,17.9
Lewisport,KY,15.8,27.1
Lewiston,UT,15.6,14.9
Lewistown,MT,11.5,13.9
Lexington,KY,35.5,47.900000000000006
Lexington,VA,20.2,17.0
Liberty,IN,10.4,15.0
Liberty,NE,16.6,20.7
Lidgerwood,ND,5.8,5.5
Lima,OH,26.4,37.0
Lincoln,IL,14.2,17.7
Lincoln,KS,11.0,13.9
Lincoln,MT,12.2,15.6
Lincoln,NE,14.7,17.3
Linden,MI,5.9,7.4
Linden,TN,25.8,38.0
Lineville,IA,13.3,16.9
Linn,WV,27.0,36.9
Linneus,MO,17.9,24.3
Lisbon,OH,15.4,23.8
Lisbon Falls,ME,15.7,23.5
Litchfield,IL,12.5,18.8
Litchfield,MI,20.1,32.3
Litchfield,MN,10.1,12.8
Litchfield,NE,13.5,29.8
Lithonia,GA,19.3,30.1
Little Eagle,SD,45.6,56.9
Little Falls,NJ,16.7,25.3
Little Mountain,SC,17.6,27.1
Little River,AL,13.4,19.2
Little Suamico,WI,9.4,12.5
Littlefork,MN,15.2,18.1
Livingston,LA,14.4,17.8
Loachapoka,AL,23.8,24.0
Lockhart,TX,19.3,24.3
Locust,NC,17.7,25.1
Locust Grove,OK,22.6,29.7
Locust Hill,VA,9.5,14.5
Logan,NM,17.1,19.8
Logan,OH,17.4,26.2
Loiza,PR,47.7,56.1
Lombard,IL,7.4,10.3
Lonaconing,MD,30.4,43.5
Long Beach,MS,20.8,31.6
Long Branch,TX,32.5,48.8
Long Pine,NE,16.5,22.3
Longford,KS,7.9,10.4
Longview,TX,18.2,26.9
Longville,MN,16.6,29.0
Lontetree,WY,13.7,18.3
Lookout Mountain,GA,15.2,21.1
Lorman,MS,48.7,63.2
Los Angeles,CA,18.2,25.8
Los Gatos,CA,15.1,17.1
Lost City,WV,13.5,18.9
Lost Creek,KY,32.9,42.1
Louisiana,MO,15.3,19.9
Louisville,KY,16.4,24.2
Lovelady,TX,25.0,41.6
Lubbock,TX,19.4,23.4
Luck,WI,15.6,23.2
Ludell,KS,10.0,17.1
Lueders,TX,19.1,19.6
Lufkin,TX,19.4,30.0
Lulu,FL,19.9,30.6
Lumberton,NJ,6.4,8.5
Luning,NV,20.2,37.5
