City,State,Employed,Unemployment
Elgin,IL,255530,7.6
Elgin,TX,7706,5.7
Elizabeth,LA,8269,8.9
Elizabeth City,NC,21502,19.4
Elk City,KS,14514,8.7
Elk Horn,IA,3008,2.6
Elk Horn,KY,10395,9.6
Elk Park,NC,6873,6.9
Elkhart,IN,91085,7.4
Elkton,OR,39563,12.2
Ellabell,GA,14224,9.0
Ellaville,GA,1964,12.4
Ellenboro,NC,40571,12.6
Ellenboro,WV,2915,8.2
Ellendale,DE,90239,8.0
Ellinger,TX,11669,1.8
Elliott,IA,6712,3.2
Elliottville,KY,10022,6.5
Ellsinore,MO,2402,9.7
Ellsworth,IA,7476,3.8
Ellsworth,NE,939,3.1
Ellwood City,PA,39340,7.0
Elm City,NC,34701,10.1
Elm Creek,NE,12312,4.8
Elmendorf,TX,824123,7.4
Elmira,NY,38219,5.4
Elmo,UT,4188,5.7
Eltopia,WA,36259,7.2
Ely,NV,3529,10.6
Emmetsburg,IA,4637,2.9
Emory,TX,4468,7.9
Empire,CO,5114,5.4
Empire,LA,9777,4.7
Emporia,VA,2074,19.1
Encampment,WY,7851,4.3
Enders,NE,2073,0.7
Endicott,WA,7698,9.6
Energy,TX,5338,4.5
Enfield,IL,6095,8.8
Enfield,NC,19726,14.1
Engadine,MI,4470,12.5
Englewood,CO,159911,4.1
Englewood,KS,1040,1.4
Englishtown,NJ,307183,7.9
Enigma,GA,6457,13.8
Ennice,NC,4365,10.5
Enochs,TX,3191,4.3
Enola,AR,57108,6.6
Enterprise,LA,3749,8.3
Enterprise,MS,6363,11.7
Enterprise,OR,2898,9.5
Epping,ND,16193,1.7
Epps,LA,3967,16.9
Epworth,GA,8669,12.0
Equality,IL,2280,7.5
Erbacon,WV,8225,29.200000000000003
Erick,OK,9611,2.9
Ericson,NE,992,3.5
Erie,KS,7816,4.7
Erlanger,KY,79447,7.7
Escalante,UT,3201,7.0
Esom Hill,GA,16190,10.2
Essex,MD,412199,6.9
Essig,MN,13583,3.2
Ethan,SD,1673,1.1
Ettrick,WI,15166,3.6
Eudora,AR,11609,23.3
Eufaula,OK,6944,10.8
Eupora,MS,3544,11.2
Eutaw,AL,2412,20.4
Evans,WV,11050,6.8
Evansville,IN,86077,6.2
Evansville,MN,27662,4.4
Evant,TX,22684,9.5
Everson,WA,98265,8.2
Everton,MO,3307,7.9
Ewing,VA,7942,12.0
Fairbanks,AK,46661,7.9
Fairbury,IL,15954,6.3
Fairfax,VA,12724,5.4
Fairfield,IL,7523,5.3
Fairfield,MT,2720,5.1
Fairfield,NE,3171,2.8
Fairmont,OK,28056,5.6
Fairmont,WV,25422,4.9
Fairplay,CO,8822,5.6
Fairview,OK,3518,5.4
Faith,SD,1490,4.5
Falfurrias,TX,2416,19.8
Fall Branch,TN,57193,6.2
Fallon,NV,9274,11.9
Falls Church,VA,7347,4.2
Falmouth,MI,6096,11.0
Fannin,TX,2962,9.3
Fanwood,NJ,267803,9.8
Farber,MO,10600,8.8
Faribault,MN,33503,5.6
Farina,IL,8943,10.4
Farmersville,IL,9604,5.4
Farmington,NM,51561,9.2
Farmland,IN,11319,7.8
Farnsworth,TX,5081,5.2
Federalsburg,MD,30660,19.200000000000003
Felt,ID,5342,8.5
Ferdinand,IN,10060,5.6
Fernandina Beach,FL,31605,9.8
Fernley,NV,19958,13.6
Fernwood,ID,3600,10.1
Ferriday,LA,7078,11.7
Fertile,MN,15978,4.6
Festus,MO,8313,5.4
Fieldton,TX,5709,6.2
Firebaugh,CA,374564,13.2
Fischer,TX,54190,4.9
Fish Camp,CA,7329,11.6
Flandreau,SD,3379,6.1
Flemington,MO,12978,9.5
Fletcher,MO,9124,12.2
Flintville,TN,14232,7.6
Florence,SC,58296,12.1
Florence,WI,1942,7.2
Florida,PR,5392,17.1
Fluker,LA,53685,10.7
Flushing,MI,161750,13.2
Folkston,GA,4705,13.8
Fond Du Lac,WI,52846,5.3
Fontana Dam,NC,2947,11.1
Ford,WA,16259,9.4
Forest,MS,6433,4.8
Forest City,IA,5214,6.2
Forest City,NC,25033,12.2
Forest City,PA,19048,7.7
Forest Hill,WV,4857,10.0
Foristell,MO,23857,9.5
Forrest City,AR,2910,17.3
Fort Bragg,CA,36848,12.2
Fort Buchanan,PR,37469,12.4
Fort Collins,CO,164011,6.7
Fort Davis,TX,1074,7.1
Fort Johnson,NY,24116,9.3
Fort Lauderdale,FL,890997,10.0
Fort Morgan,CO,13264,6.2
Fort Pierce,FL,112310,12.4
Fort Plain,NY,21683,8.9
Fort Scott,KS,6541,3.3
Fort Stewart,GA,23102,12.9
Fort Valley,GA,4843,11.0
Fort Valley,VA,19990,6.0
Fort Wayne,IN,170294,8.0
Fortine,MT,6844,13.1
Fortuna,CA,58449,10.5
Fouke,AR,18429,9.6
Fountain,CO,290448,8.4
Fountain,NC,101838,27.5
Fountaintown,IN,21379,8.3
Fowler,IL,32400,6.8
Fowler,KS,2137,2.8
Francis,OK,17465,6.2
Frankfort,IN,15003,7.3
Franklin,GA,4547,12.1
Franklin,ID,5401,5.0
Franklin,IN,70667,6.3
Franklin,NE,3478,3.8
Franklin,OH,105433,6.1
Franklin,TX,6776,9.2
Franklin,VA,11377,20.9
Franklin,WV,2833,4.9
Frankston,TX,30441,7.8
Frazer,MT,3753,2.6
Frederick,MD,127105,5.8
Fredericksburg,VA,26923,17.5
Fredonia,KY,2655,7.6
Fredonia,ND,952,2.2
Fremont,CA,778132,8.3
French Village,MO,25384,8.3
Friendly,WV,3296,10.9
Frisco,TX,387884,5.7
Fritch,TX,10714,4.1
Frost,MN,7117,4.2
Fulda,MN,10431,6.9
Funk,NE,4641,1.7
Gackle,ND,2073,1.9
Gadsden,AL,41236,9.0
Gainesville,FL,116659,7.9
Galax,VA,2842,6.4
Galena,MD,8984,7.2
Galena,MO,12009,10.8
Galloway,OH,18617,5.9
Gallup,NM,22865,15.5
Galt,IA,5996,5.7
Galva,IA,6018,3.7
Garden,MI,15510,9.2
Garden City,TX,1778,2.2
Gardiner,MT,7782,5.4
Garfield,GA,3035,10.3
Garland,TX,1191958,7.6
Garland,UT,21534,6.3
Garyville,LA,19661,9.2
Gasquet,CA,8612,11.5
Gastonia,NC,91563,11.2
Gates,TN,9099,13.4
Gatzke,MN,4726,4.7
Gaylesville,AL,10155,7.9
Genesee,ID,18668,6.1
Genesee,PA,6956,6.9
Geneseo,KS,2787,4.3
Genoa,NE,1784,3.2
Genoa City,WI,52048,7.2
Georgetown,SC,22756,11.2
Georgiana,AL,6551,20.7
Gepp,AR,4498,7.6
Gettysburg,SD,788,1.7
Gibbon,MN,7867,5.5
Gilbertown,AL,4405,13.6
Gillette,WY,26387,4.0
Gillsville,GA,7801,8.5
Gilman,IA,8283,5.6
Gilman,VT,2683,9.4
Gilman City,MO,3755,5.8
Girard,GA,5482,9.8
Girvin,TX,6447,4.8
Gladeville,TN,59107,6.5
Glen Allan,MS,17034,21.7
Glencoe,OK,36780,6.3
Glennallen,AK,4415,10.7
Glenrock,WY,7303,5.1
Glenwood,AR,3636,4.3
Glenwood,GA,1339,10.0
Gloster,MS,2914,9.7
Glyndon,MN,33104,4.3
Goessel,KS,5820,5.0
Goetzville,MI,14733,11.7
Gold Creek,MT,2629,2.2
Golden City,MO,5075,6.5
Golden Valley,ND,4391,3.2
Goldfield,NV,437,11.9
Goldsboro,NC,50821,12.4
Good Hope,IL,14279,9.4
Goodhue,MN,23662,5.3
Goodlettsville,TN,31579,8.4
Goodview,VA,35756,5.8
Goose Creek,SC,84494,9.9
Gordo,AL,6712,13.8
Gordon,GA,3287,7.3
Gordonsville,VA,15024,7.9
Goshen,NY,171651,7.3
Goshen,VA,9789,4.1
Gosport,IN,9276,8.0
Gouldbusk,TX,3235,8.2
Gouldsboro,ME,26665,7.7
Gouldsboro,PA,147243,7.8
Gouverneur,NY,44714,10.0
Gove,KS,1367,1.9
Grace,ID,3121,1.5
Graham,KY,11534,10.3
Graham,NC,71156,7.9
Granby,MO,26122,6.1
Grand Forks,ND,37754,3.6
Grand Isle,ME,30612,7.5
Grand Ledge,MI,62962,16.9
Grand Marais,MN,2788,4.0
Grand Rapids,MI,305508,7.7
Grand Rapids,OH,13436,6.7
Grand Valley,PA,18545,6.6
Granite Falls,MN,6367,2.6
Grant,FL,229693,10.9
Grants,NM,9625,15.3
Grantsville,UT,26337,7.1
Granville Summit,PA,26689,5.6
Grapeview,WA,22155,12.9
Grasston,MN,19932,17.200000000000003
Gravois Mills,MO,24278,20.799999999999997
Graysville,GA,30069,8.1
Greeley,NE,1127,1.9
Greeleyville,SC,22859,27.799999999999997
Green Castle,MO,2097,2.8
Green City,MO,2794,6.0
Green River,WY,23010,5.4
Green Springs,OH,25327,8.1
Greenbush,MI,3288,12.2
Greene,RI,86274,8.2
Greenfield,IL,5944,9.4
Greenfield,MA,37218,6.7
Greenfield,OH,30096,11.3
Greenleaf,ID,81460,9.4
Greenmountain,NC,13006,19.6
Greensboro,VT,14773,7.2
Greensburg,KY,7700,7.7
Greenville,AL,13433,20.6
Greenville,GA,7730,12.8
Greenville,SC,219810,7.6
Greenville,WV,5348,7.3
Greenwich,OH,50632,8.7
Greenwood,AR,54852,6.1
Greenwood,LA,108738,7.0
Greenwood,SC,37800,23.6
Grey Eagle,MN,11437,5.1
Griffithsville,WV,7245,10.1
Grifton,NC,23972,13.1
Grimes,CA,8837,10.4
Grinnell,KS,1286,1.2
Groom,TX,3856,2.8
Grosse Tete,LA,13049,7.9
Groveport,OH,24777,6.9
Grover Hill,OH,13163,7.5
Groves,TX,103203,8.8
Gruver,TX,2629,2.3
Guanica,PR,12747,54.3
Guayama,PR,9713,17.4
Guilford,ME,6632,10.5
Gunnison,CO,11468,17.5
Guntown,MS,9428,9.3
Gurabo,PR,11559,24.0
Gurley,NE,5681,1.6
Guttenberg,IA,50102,4.3
Hadley,MA,84303,7.2
Hagarville,AR,10376,6.2
Hagerstown,IN,28437,9.0
Hagerstown,MD,67555,8.5
Hague,VA,7423,9.7
Haiku,HI,81619,6.9
Haines,AK,1470,3.0
Haleyville,AL,11560,9.9
Hamer,ID,16462,12.1
Hamer,SC,10805,13.2
Hamill,SD,1719,7.4
Hamilton,CO,6343,5.9
Hamilton,IN,16375,6.9
Hamilton,MS,14217,10.9
Hamilton,TX,3279,5.9
Hamilton City,CA,10523,12.6
Hamlin,WV,25964,3.7
Hampshire,TN,4858,7.7
Hampstead,MD,88196,4.6
Hampton,NE,4723,2.5
Hampton,VA,60826,9.8
Hanalei,HI,33996,5.4
Hanover,IN,14381,9.2
Hanover,MA,252016,7.9
Hanover,MD,447370,10.8
Hanston,KS,1005,2.5
Hardeeville,SC,11707,11.9
Hardesty,OK,11144,3.5
Hardin,IL,2231,5.4
Hardin,MT,4663,19.9
Harlem,GA,8314,9.5
Harold,KY,11922,9.7
Harpers Ferry,WV,26418,8.4
Harrell,AR,2243,7.2
Harrellsville,NC,8679,13.7
Harrietta,MI,13441,9.5
Harrington,WA,4050,4.8
Harrisburg,MO,90949,5.0
Harrisburg,NE,455,5.4
Harrisburg,OR,48892,10.6
Harrison,AR,5679,10.9
Harrisonburg,VA,62119,11.9
Harrisonville,MO,48122,6.7
Harrodsburg,KY,9331,11.5
Harrold,SD,9620,3.1
Harrold,TX,5977,7.5
Hart,MI,12183,10.7
Hartford,AL,10419,11.2
Hartland,ME,22275,9.5
Hartland,MN,15322,4.9
Hartland,WI,209461,4.2
Harvey,AR,4250,10.9
Harvey,ND,2055,1.3
Hastings,FL,36923,9.3
Hastings,MI,26899,7.9
Hatillo,PR,12623,13.3
Hattiesburg,MS,59599,21.6
Haughton,LA,56570,5.7
Haviland,KS,1315,4.0
Hawkins,WI,6462,5.9
Hawkinsville,GA,3949,7.4
Hawley,PA,21211,7.8
Hawthorne,FL,24209,12.6
Hay Springs,NE,4613,2.6
Hayes,SD,1674,1.4
Hayes Center,NE,549,1.8
Haymarket,VA,223939,5.4
Hazelton,ND,1583,3.6
Hazen,AR,3513,6.2
Head Waters,VA,1006,1.1
Healy,KS,926,2.4
Heath,OH,81446,7.2
Hebbronville,TX,1786,16.5
Hebron,KY,62624,5.6
Heflin,AL,8630,10.3
Helena,GA,7871,9.8
Hemingford,NE,6268,5.2
Hemphill,TX,2882,12.1
Henderson,KY,20337,8.0
Hendersonville,NC,46387,6.0
Henley,MO,35978,4.9
Hennepin,OK,6115,3.6
Henry,SD,15575,2.9
Hensley,AR,7608,9.4
Heppner,OR,4827,8.6
Hereford,TX,3316,4.7
Hernando,FL,43486,13.1
Heron Lake,MN,5392,3.2
Herron,MI,12233,9.3
Herscher,IL,49815,9.8
Hershey,NE,17360,4.2
Hesperia,MI,10360,8.7
Hesston,KS,15406,3.1
Hestand,KY,3943,9.5
Hickman,KY,2274,12.0
Hickman,TN,8121,5.2
Hickory,NC,69954,8.2
Hicksville,OH,18092,8.4
Hico,TX,19275,4.1
Hidalgo,IL,4691,5.5
Higgins,TX,1662,5.0
High Bridge,NJ,65918,5.9
High Point,NC,71620,11.0
High Springs,FL,6260,10.4
Hilham,TN,3842,14.5
Hill,NH,76330,5.2
Hilliard,OH,616368,7.0
Hillsboro,ND,4085,2.7
Hillsdale,NY,29962,6.7
Hilo,HI,82124,8.1
Himrod,NY,11496,6.9
Hines,MN,20579,10.6
Hinsdale,NH,39695,6.1
Hinsdale,NY,34265,8.2
Hitchins,KY,10039,11.1
Hiwassee,VA,15480,7.4
Hixson,TN,162818,8.0
Hobbs,NM,29340,5.9
Hobson,MT,943,3.9
Hoffman,MN,2943,3.6
Hokah,MN,9795,4.9
Holbrook,ID,1749,6.7
Holcomb,KS,18612,4.6
Holcomb,MO,11646,8.1
Holden,LA,3619,14.4
Holden,UT,5499,4.3
Holdingford,MN,16533,5.8
Holland,IN,21742,3.3
Holland,TX,127550,9.5
Holly,CO,5488,9.7
Holly Ridge,NC,61252,11.6
Holly Springs,NC,499197,6.4
Holmen,WI,62292,5.4
Holt,MI,133091,9.0
Holyoke,CO,1984,5.3
Homer,IN,7787,6.9
Honey Grove,PA,11152,5.7
Hooper,CO,6283,10.4
Hope,AR,8699,7.9
Hope,KY,10948,10.4
Hope,NM,26448,7.6
Hope Valley,RI,64824,6.4
Hopewell,VA,9041,12.8
Hormigueros,PR,4887,22.6
Hornbeak,TN,12572,11.2
Hornell,NY,43199,8.2
Horner,WV,6259,7.2
Horse Cave,KY,18672,7.6
Horseshoe Beach,FL,4910,7.2
Hosford,FL,2748,10.2
Hoskins,NE,5219,3.0
Hosmer,SD,2070,1.8
Houma,LA,48450,5.5
Houston,MS,6554,12.2
Houston,TX,2081889,7.5
Hoven,SD,1142,0.5
Howard,KS,1121,5.3
Howard,OH,28165,6.6
Howells,NE,5224,6.4
Hudgins,VA,3901,3.3
Hudson,KY,7683,11.5
Hughes Springs,TX,4588,12.7
Hughesville,MD,76622,6.3
Hughesville,PA,54324,7.7
Hugo,MN,181190,6.2
Hugoton,KS,11031,9.0
Hulett,WY,3754,4.1
Hume,MO,7186,6.6
Humeston,IA,3660,7.5
Humphrey,AR,28119,11.2
Hunnewell,MO,3845,5.9
Hunter,KS,3086,2.6
Huntersville,NC,502455,8.9
Huntley,IL,157226,8.0
Huntsville,AL,163753,8.5
Huntsville,TX,32588,17.0
Huron,SD,1289,3.4
Hurt,VA,27803,7.7
Huson,MT,59103,8.2
Hutchinson,KS,4905,5.5
Hyannis,NE,418,3.5
Hyde Park,VT,13147,4.3
Hydro,OK,14072,3.7
Hymera,IN,8203,6.8
Idaho Falls,ID,47191,5.6
Idlewild,MI,3297,13.2
Ignacio,CO,5506,8.2
Ilwaco,WA,7141,8.9
Imogene,IA,3463,3.7
Imperial,CA,58391,17.4
Inchelium,WA,2452,12.2
Independence,WV,13842,7.0
Indiahoma,OK,49641,8.6
Indianapolis,IN,436687,10.1
Indianola,MS,8382,20.1
Indianola,NE,5714,4.1
Ingalls,KS,3183,2.9
Ingram,TX,20523,8.0
Interior,SD,1202,17.4
Interlochen,MI,43804,6.6
Inver Grove Heights,MN,223989,5.0
Ione,WA,4217,10.3
Iowa,LA,12657,9.2
Iowa City,IA,78838,3.5
Iron Mountain,MI,11161,7.0
Irons,MI,9010,11.5
Irvine,KY,4855,11.8
Ivins,UT,57785,7.7
Jackson,GA,8700,10.3
Jackson,MO,37661,6.3
Jackson,MS,105504,10.3
Jackson,MT,4615,6.5
Jackson,OH,13191,11.5
Jackson,TN,43039,8.4
Jacksonville,FL,409421,10.0
Jacksonville,GA,4472,4.4
Jacksonville,TX,19729,6.4
Jameson,MO,3420,5.7
Jamestown,IN,30471,3.7
Jamestown,MO,6712,6.7
Janesville,WI,75824,8.5
Jaroso,CO,1240,14.0
Jarratt,VA,3365,6.4
Jarvisburg,NC,11913,6.6
Jasper,AL,8894,9.6
Jasper,AR,3228,4.4
Jasper,FL,3966,15.8
Jasper,GA,12678,8.3
Jayton,TX,398,1.5
Jayuya,PR,3412,31.7
Jean,NV,923588,10.8
Jefferson,AL,6860,11.4
Jefferson,PA,14728,6.4
Jefferson,TX,3940,8.0
Jeffersonville,VT,25416,4.9
Jenkinsville,SC,8693,12.8
Jennings,KS,1389,3.8
Jennings,OK,6890,6.3
Jerome,MO,19451,7.0
Jersey,AR,4180,9.4
Jersey,VA,12096,7.4
Jersey City,NJ,339606,9.3
Jesup,GA,10495,11.3
Jewett,OH,6740,5.6
Johnson,KS,1116,2.4
Johnson,NE,3481,8.0
Johnson City,NY,88758,7.8
Johnson City,TN,29672,21.799999999999997
Johnson Creek,WI,44424,5.5
Johnston City,IL,29214,7.0
Johnstown,PA,58018,8.5
Jones,OK,353043,6.0
Jonesboro,GA,92993,10.3
Jonesboro,LA,5177,10.1
Jonesville,NC,26631,11.7
Jourdanton,TX,19975,6.5
Judsonia,AR,32318,7.1
Juncos,PR,17525,13.4
Junction,TX,2129,7.6
Junction City,KS,8898,6.7
Juneau,AK,17836,5.2
Juneau,WI,43362,6.0
Kadoka,SD,1018,2.5
Kahuku,HI,455481,5.6
Kansas City,KS,70518,11.2
Kansas City,MO,167574,11.7
Karbers Ridge,IL,1493,18.1
Karnak,IL,5821,8.8
Katy,TX,314534,5.1
Kaukauna,WI,96532,3.9
Kearney,NE,27263,3.5
Keatchie,LA,10521,9.3
Keenes,IL,16528,9.2
Kelley,IA,50519,5.5
Kellyton,AL,15837,9.0
Kelso,WA,40418,10.7
Kemah,TX,143681,7.5
Kemp,TX,49359,8.7
Kempner,TX,8245,8.6
Kenai,AK,25637,9.4
Kendrick,ID,2877,7.3
Kenilworth,UT,9197,7.4
Kennard,TX,4922,9.9
Kennedy,AL,6122,10.0
Kennedy,NY,58012,7.8
Kennett,MO,6423,11.2
Kensington,KS,1836,3.2
Kent,NY,17285,9.0
Kent,OH,81544,8.7
Kenton,OH,13828,9.6
Kenton,OK,1131,2.2
Keo,AR,31944,5.9
Keota,OK,4585,8.7
Kermit,TX,3271,2.5
Kernersville,NC,236140,8.8
Kewanee,IL,23544,5.8
Kilmarnock,VA,5021,8.7
Kinderhook,IL,7197,5.6
King And Queen Court Hous,VA,3335,5.5
King Ferry,NY,37023,7.3
King Salmon,AK,541,5.4
King William,VA,7972,5.4
Kingfield,ME,14386,7.7
Kingman,KS,29564,5.7
Kingsland,AR,3256,9.7
Kingsport,TN,66313,8.2
Kingston,NY,85617,9.3
Kingston,OK,6038,7.6
Kingston,UT,653,6.8
Kirksville,MO,11096,7.9
Kirkville,IA,16128,8.0
Kirkwood,IL,8068,9.2
Kissimmee,FL,131450,9.8
Kite,GA,3909,9.0
Klamath Falls,OR,25753,12.4
Klamath River,CA,16127,12.7
Klingerstown,PA,63264,8.8
Klondike,TX,35598,11.4
Knippa,TX,10801,8.1
Krakow,WI,20281,5.4
Kress,TX,2784,6.4
Krypton,KY,9364,13.9
Kulm,ND,1347,1.2
La Crosse,IN,78219,7.3
La Grande,OR,11024,7.1
La Junta,CO,1212,8.3
La Plata,MO,6541,8.7
La Plata,PR,5902,6.0
La Pryor,TX,4276,12.2
La Push,WA,27697,9.9
Labelle,FL,3701,12.9
Lackey,VA,30160,5.8
Lacrosse,WA,21665,8.8
Lafayette,CO,166701,6.1
Lagrange,WY,6080,6.8
Lajas,PR,4954,17.6
Lake Ann,MI,9628,7.1
Lake Benton,MN,2974,2.8
Lake Butler,FL,3955,11.7
Lake George,NY,31866,6.6
Lake Minchumina,AK,2077,18.2
Lake Oswego,OR,185660,8.3
Lake Placid,FL,31131,13.3
Lake Village,IN,6146,8.9
Lake Wales,FL,245853,10.6
Lakeville,CT,98294,7.1
Lakota,IA,7788,2.1
Lamar,MS,17060,25.5
Lamesa,TX,2342,3.5
Lamont,IA,10375,3.9
Lamont,KS,2876,3.5
Lampasas,TX,18673,5.1
Lancaster,SC,33151,9.9
Land O' Lakes,FL,187556,9.4
Landrum,SC,128253,8.9
Lane City,TX,18584,6.6
Lanesville,IN,37064,7.3
Lanexa,VA,9896,6.1
Langlois,OR,7930,11.3
Langtry,TX,18261,9.3
Lansing,NC,11790,8.5
Laquey,MO,15279,12.7
Laredo,TX,98996,6.0
Lares,PR,6205,35.2
Larose,LA,43542,7.0
Las Marias,PR,2477,4.6
Las Piedras,PR,17444,33.4
Laurel,IN,9245,12.1
Laurel,MT,4487,3.6
Lavalette,WV,14542,9.9
Lavina,MT,357,3.5
Lawndale,NC,36632,11.6
Lawrence,KS,61881,6.0
Lawrence,MA,383882,7.7
Le Roy,MN,10595,4.3
Le Sueur,MN,14456,5.3
Leadore,ID,3165,6.1
Leakesville,MS,3955,12.6
Leakey,TX,996,12.0
Leasburg,NC,25888,22.8
Lebo,KS,4207,5.1
Ledger,MT,3258,7.6
Leeds,ND,2461,6.1
Leesburg,TX,5039,8.5
Leicester,NC,8935,7.3
Leitchfield,KY,10342,9.3
Lemoyne,NE,193,4.0
Lena,IL,10991,5.6
Lena,MS,10867,13.1
Lenoir City,TN,19909,8.9
Lenore,WV,7951,14.1
Leonard,ND,2847,2.0
Leoti,KS,1077,3.1
Leroy,MI,8807,10.3
Leslie,AR,2836,5.9
Letcher,KY,7281,12.6
Letohatchee,AL,3471,13.2
Lettsworth,LA,9105,8.3
Levan,UT,4422,3.8
Lewis,KS,1451,2.0
Lewisport,KY,3647,5.9
Lewiston,UT,54566,5.5
Lewistown,MT,5579,3.1
Lexington,KY,166182,16.8
Lexington,VA,2082,2.7
Liberty,IN,3384,7.7
Liberty,NE,1265,4.6
Lidgerwood,ND,2078,1.2
Lima,OH,70323,14.2
Lincoln,IL,10856,7.8
Lincoln,KS,1497,6.5
Lincoln,MT,33126,4.9
Lincoln,NE,160866,5.1
Linden,MI,92068,5.9
Linden,TN,2819,9.5
Lineville,IA,2800,4.3
Linn,WV,2791,9.4
Linneus,MO,5125,4.5
Lisbon,OH,46577,9.0
Lisbon Falls,ME,52961,7.2
Litchfield,IL,21098,9.6
Litchfield,MI,19316,9.0
Litchfield,MN,11477,4.7
Litchfield,NE,1569,3.1
Lithonia,GA,344876,11.3
Little Eagle,SD,1240,29.4
Little Falls,NJ,229762,8.6
Little Mountain,SC,15784,10.2
Little River,AL,85953,7.5
Little Suamico,WI,19075,5.5
Littlefork,MN,5877,7.8
Livingston,LA,61631,7.0
Loachapoka,AL,68614,7.3
Lockhart,TX,16693,5.2
Locust,NC,26101,12.2
Locust Grove,OK,19314,7.9
Locust Hill,VA,4404,6.3
Logan,NM,2937,5.0
Logan,OH,12199,9.5
Loiza,PR,8443,26.2
Lombard,IL,479592,7.0
Lonaconing,MD,43640,17.0
Long Beach,MS,82911,9.7
Long Branch,TX,31373,10.600000000000001
Long Pine,NE,1585,0.7
Longford,KS,3008,5.3
Longview,TX,55402,5.9
Longville,MN,12165,7.4
Lontetree,WY,10064,4.4
Lookout Mountain,GA,7848,6.1
Lorman,MS,1861,15.9
Los Angeles,CA,4635465,10.0
Los Gatos,CA,131321,7.6
Lost City,WV,6129,7.9
Lost Creek,KY,4239,12.4
Louisiana,MO,7300,6.5
Louisville,KY,361510,8.4
Lovelady,TX,7694,6.4
Lubbock,TX,141493,6.2
Luck,WI,6464,7.5
Ludell,KS,1247,2.3
Lueders,TX,1502,3.8
Lufkin,TX,36182,9.1
Lulu,FL,25226,14.8
Lumberton,NJ,221766,8.5
Luning,NV,1856,15.4
Luquillo,PR,5626,28.5
Luray,SC,2866,22.6
Luray,TN,7235,13.5
Lusk,WY,1114,1.6
Lutcher,LA,9035,11.0
Luverne,MN,4572,4.2
Luverne,ND,5889,2.4
Lyford,TX,5365,11.5
Lyle,MN,19166,6.5
Lynchburg,MO,14708,8.8
Lynchburg,VA,67067,20.6
Lyndhurst,NJ,459612,6.5
Lyndhurst,VA,34285,4.7
Lyons,GA,18915,22.799999999999997
Lyons,NE,3046,3.3
Lysite,WY,18736,7.8
Lytton,IA,4614,4.0
Macksburg,IA,11488,8.9
Macon,GA,71029,22.9
Madeline,CA,9082,10.9
Madison,CT,419901,9.5
Madison,FL,6141,11.8
Madison,SD,6468,4.4
Magnolia,IL,2827,9.9
Magnolia,KY,10230,18.3
Magnolia,TX,20127,8.3
Maiden,NC,36605,10.2
Malcom,IA,9636,4.8
Malvern,OH,12657,7.1
Mammoth Cave,KY,4730,8.9
Manakin Sabot,VA,10325,5.0
Manassa,CO,3021,9.7
Manassas,VA,29540,11.9
Manati,PR,11272,18.9
Mancelona,MI,6815,10.4
Mancos,CO,27965,5.2
Manhattan,KS,34186,5.8
Manitou,OK,3098,7.1
Mankato,KS,1468,2.5
Mannboro,VA,5686,5.0
Manokotak,AK,1854,12.5
Mansfield,GA,43639,11.8
Mansfield,MO,6583,9.4
Mansfield,SD,20762,2.5
Mansfield Center,CT,80190,6.8
Manville,RI,301318,9.5
Many,LA,8803,10.6
Maple Park,IL,51637,10.4
Maplewood,WI,13169,6.2
Marathon,TX,4385,4.9
Mardela Springs,MD,47947,8.8
Marengo,IA,8818,1.8
Marengo,IN,4273,6.6
Marengo,WI,7475,7.9
Margaretville,NY,19850,9.5
Maria Stein,OH,20476,5.5
Marianna,FL,4735,10.0
Maricao,PR,1500,10.7
Marienthal,KS,2613,5.8
Marienville,PA,1256,4.8
Marietta,GA,366793,8.0
Marietta,MN,3506,3.7
Marietta,MS,9559,10.2
Marine On Saint Croix,MN,130036,4.8
Marion,IN,28402,11.1
Marion,VA,13278,6.4
Marland,OK,5141,5.9
Marmaduke,AR,17659,9.0
Marmarth,ND,335,0.0
Marshall,IL,15232,18.1
Marshall,NC,117252,7.0
Marshall,OK,20281,6.0
Marshall,TX,28650,7.7
Marshallberg,NC,29496,10.2
Martha,KY,5366,7.8
Martin,GA,10224,10.6
Martin,OH,19539,5.5
Martinsville,VA,5156,11.5
Marysville,CA,89411,12.1
Marysville,IN,54754,6.8
Maryville,IL,125030,8.9
Mason,IL,17382,5.4
Mason,TX,11230,6.8
Mass City,MI,2048,13.7
Matlock,IA,18867,1.8
Matthews,NC,99712,7.7
Mattoon,IL,24939,9.7
Mauk,GA,3219,14.3
Maunabo,PR,2459,27.9
Maxton,NC,11215,15.5
Maxwell,IN,35339,5.5
May,OK,1779,1.6
Mayaguez,PR,12421,11.8
Mayer,AZ,81511,10.0
Mayesville,SC,6146,14.9
Mayo,FL,2685,14.6
Mayslick,KY,6703,16.4
Maywood,NE,1294,2.4
McAlpin,FL,15676,11.1
McClure,PA,19860,6.4
McColl,SC,9600,15.5
McCool,MS,2921,14.2
McEwen,TN,7067,8.9
McLeansboro,IL,3618,4.5
McLouth,KS,9264,6.9
McMechen,WV,13530,7.0
McMinnville,TN,4529,10.2
McNeill,MS,20219,12.1
Mcarthur,CA,3334,8.6
Mcdaniel,MD,17620,6.7
Meadows Of Dan,VA,6971,8.3
Meally,KY,7136,9.1
Means,KY,2200,14.7
Medford,WI,10090,5.5
