City,State,Employed,Unemployment
Battle Mountain,NV,853,4.7
Bauxite,AR,53363,5.3
Bay City,MI,45913,9.7
Bay City,TX,15874,6.4
Bay Port,MI,13869,7.8
Bayamon,PR,68598,16.1
Bayport,NY,735010,6.4
Beach,ND,964,1.0
Beach Haven,NJ,246680,8.8
Bealeton,VA,34515,5.0
Bear Creek,NC,29621,9.0
Beattyville,KY,1967,9.7
Beaufort,SC,70487,7.2
Beaumont,KY,4014,7.4
Beaverton,MI,10708,13.2
Beaverton,OR,276371,7.6
Bechtelsville,PA,197703,9.0
Becker,MN,47444,5.2
Bedford,KY,3598,14.6
Bee Branch,AR,5478,11.2
Beeson,WV,23443,5.1
Beeville,TX,10451,7.0
Bejou,MN,3105,5.1
Belden,MS,13476,6.6
Belgium,WI,45522,4.5
Bella Vista,CA,69261,10.3
Bellaire,MI,9528,9.7
Belle Plaine,MN,74498,4.6
Belleview,MO,3878,11.4
Belleville,IL,116537,8.9
Bellevue,NE,87645,4.4
Bellevue,TX,4605,6.8
Bells,TX,54835,7.8
Belmont,NY,20410,9.2
Belpre,OH,26082,6.8
Belvidere,NC,5711,12.7
Bend,OR,8014,13.5
Benicia,CA,187021,11.4
Benkelman,NE,932,4.0
Bennett,IA,9763,3.0
Bennington,IN,2909,7.7
Bennington,VT,18014,5.7
Benzonia,MI,7579,8.4
Berea,KY,11131,23.700000000000003
Berkeley Springs,WV,7144,12.3
Berlin Heights,OH,35636,7.7
Bern,ID,2598,3.3
Bernalillo,NM,58433,9.2
Berryton,KS,7264,8.2
Berthoud,CO,129395,6.6
Berwick,LA,21161,12.2
Bessemer,MI,5759,9.5
Bethlehem,GA,410562,8.3
Bethlehem,PA,144854,7.3
Bethune,CO,3421,5.9
Beulah,MS,11834,15.3
Beulah,ND,857,3.6
Biddeford,ME,103506,5.9
Big Cabin,OK,16849,7.0
Big Pine Key,FL,38504,6.0
Big Rock,TN,4818,10.1
Big Rock,VA,7120,10.6
Big Sandy,MT,2510,4.3
Big Sandy,TN,5844,14.3
Big Spring,TX,499,2.5
Big Wells,TX,4210,10.3
Bighill,KY,39435,8.6
Biglerville,PA,50517,5.7
Billings,MO,37578,6.4
Billings,MT,78572,4.1
Billingsley,AL,17895,9.1
Binford,ND,1203,2.0
Bingen,WA,7766,7.0
Bird City,KS,1321,1.9
Birdsnest,VA,4830,9.5
Birmingham,AL,293202,9.1
Bisbee,ND,1059,2.9
Bishop,CA,15431,20.2
Bismarck,AR,13293,7.6
Bismarck,ND,49375,2.3
Black River,NY,44732,10.6
Black River Falls,WI,20936,6.5
Blacksburg,SC,20966,10.6
Blacksburg,VA,45648,5.6
Blackstone,VA,5644,10.8
Blackwell,TX,7911,10.8
Blanchard,ID,16399,6.2
Blanchardville,WI,8705,3.6
Blanchester,OH,115667,14.7
Blanco,OK,18459,6.2
Blanco,TX,4670,6.4
Bledsoe,TX,1180,8.5
Bloomery,WV,8878,8.1
Bloomfield,KY,5468,6.1
Bloomingdale,MI,32252,8.4
Bloomington Springs,TN,30346,8.4
Blountsville,AL,22189,7.7
Blue Mound,IL,15151,5.4
Blue Mountain,MS,10949,10.7
Blue Ridge,TX,13259,6.7
Blue River,WI,26157,4.6
Blue Springs,MO,326275,7.6
Blue Springs,NE,11077,4.3
Bluff City,KS,2750,3.7
Bluff Dale,TX,22208,5.0
Bluffton,AR,8567,8.3
Bogart,GA,26679,7.9
Bogata,TX,4697,7.2
Boise,ID,2768,10.5
Bomont,WV,2891,12.3
Bond,CO,8274,5.7
Bonesteel,SD,2007,2.1
Bonita Springs,FL,141106,7.8
Bonners Ferry,ID,3888,4.7
Boone,NC,23928,9.5
Boones Mill,VA,25149,6.2
Boonville,NC,15747,8.3
Boston,GA,17359,10.5
Boston,KY,20232,9.8
Boston,MA,401271,8.7
Boswell,OK,18472,8.1
Boulder,UT,2000,8.6
Bouton,IA,40388,2.6
Boutte,LA,24804,7.7
Bovina,TX,4665,3.6
Bowie,MD,465639,8.7
Bowie,TX,11541,12.2
Bowlegs,OK,9379,8.4
Bowling Green,KY,56780,7.9
Bowling Green,OH,65406,7.2
Bowman,ND,1721,1.8
Box Elder,MT,7364,4.0
Boyertown,PA,418411,6.4
Bozeman,MT,52450,6.3
Bracey,VA,19061,17.4
Brackenridge,PA,612259,7.1
Brackettville,TX,1213,13.2
Bradenton Beach,FL,140416,8.6
Bradford,IL,2556,7.7
Bradford,TN,20201,9.5
Bradgate,IA,3483,4.9
Bradleyville,MO,23414,9.0
Brady,TX,3727,4.3
Braidwood,IL,333433,7.8
Branchville,IN,8399,5.6
Brandon,FL,608977,9.0
Brandy Station,VA,22103,7.3
Brasstown,NC,3920,12.3
Braxton,MS,69233,5.4
Brazil,IN,6730,7.8
Breaux Bridge,LA,23921,7.2
Breckenridge,TX,12093,9.5
Breda,IA,5151,4.0
Breeding,KY,2449,10.2
Bremen,IN,21470,8.3
Bremo Bluff,VA,12076,5.2
Bremond,TX,6068,7.2
Brenham,TX,27863,11.3
Brewerton,NY,220774,7.2
Briceville,TN,31814,7.7
Bridgeport,WV,29587,7.4
Bridgeton,NJ,63220,11.1
Bridgeville,CA,4832,9.0
Bridgewater Corners,VT,28487,5.1
Brierfield,AL,8294,8.3
Brighton,TN,27209,10.6
Brightwood,VA,5965,6.6
Briscoe,TX,1812,3.7
Bristol,CT,439719,9.3
Bristol,VA,15815,20.1
Bristol,WI,79753,9.7
Bristow,IA,7419,4.0
Bristow,OK,3942,9.6
Broadus,MT,965,4.5
Broadview,MT,1967,4.6
Broadview,NM,20599,9.1
Brocket,ND,5910,1.2
Broken Bow,OK,12348,8.3
Bronston,KY,25669,9.1
Bronx,NY,563903,14.0
Brookesmith,TX,15006,4.3
Brookings,SD,19007,3.1
Brooklyn,CT,58842,9.3
Brooklyn,NY,1167448,10.0
Brooks,KY,37079,7.6
Brooksville,FL,58359,13.7
Brookville,PA,19756,6.4
Broomfield,CO,294390,5.9
Browns Valley,MN,1623,2.9
Brownsville,TX,148011,10.0
Brownton,MN,18957,4.5
Brunswick,NC,20746,9.0
Brunswick,OH,88911,5.0
Brusly,LA,11757,6.5
Brutus,MI,10029,13.9
Bryan,TX,98294,6.4
Buchanan,GA,11136,12.3
Buchanan,MI,68463,9.4
Buchanan,NY,465097,7.6
Buckatunna,MS,7906,9.4
Buckhannon,WV,9682,8.0
Buckholts,TX,9212,9.6
Buena Vista,CO,8170,5.9
Buena Vista,VA,2824,7.3
Buffalo,MO,5943,13.2
Buffalo,SD,684,1.4
Buffalo,WY,4300,3.6
Buford,GA,84198,7.5
Buhl,ID,6844,3.8
Bullhead City,AZ,66880,13.2
Bullock,NC,17461,12.2
Buna,TX,12347,11.4
Buncombe,IL,7339,7.0
Burbank,SD,7510,6.8
Burgaw,NC,23242,9.8
Burley,ID,9136,4.8
Burlington,VT,89268,5.0
Burlington,WV,10716,8.8
Burlington,WY,5288,4.4
