City,population,minimum_age,maximum_age
Allen Park,6771,5.0,84.0
Allendale,43343,0.0,84.0
Allenhurst,17902,0.0,84.0
Allenport,7080,5.0,84.0
Allenspark,5197,0.0,84.0
Allensville,11888,5.0,84.0
Allenton,20566,0.0,84.0
Allentown,94795,0.0,84.0
Allenwood,21459,0.0,84.0
Allerton,23037,0.0,84.0
Alleyton,8831,0.0,84.0
Allgood,5927,0.0,79.0
Alliance,16720,0.0,84.0
Alligator,9504,5.0,84.0
Allison,20092,0.0,84.0
Allison Park,7043,0.0,84.0
Allons,7444,0.0,84.0
Allouez,10952,0.0,84.0
Alloway,4860,0.0,84.0
Alloy,8390,5.0,84.0
Allport,10744,5.0,84.0
Allred,7831,0.0,79.0
Allston,8363,5.0,84.0
Allyn,6039,0.0,84.0
Alma,99355,0.0,84.0
Alma Center,14021,0.0,79.0
Almena,14904,0.0,84.0
Almira,4421,0.0,84.0
Almo,17971,0.0,84.0
Almond,26089,0.0,84.0
Almont,32590,0.0,84.0
Almyra,11808,0.0,84.0
Alna,6091,5.0,84.0
Alpaugh,15537,0.0,84.0
Alpena,28796,0.0,84.0
Alpha,42443,0.0,84.0
Alpharetta,28858,0.0,84.0
Alpine,98715,0.0,84.0
Alplaus,7311,0.0,84.0
Alsea,8751,0.0,84.0
Alsen,10717,0.0,84.0
Alsey,8704,0.0,79.0
Alsip,10985,0.0,84.0
Alstead,6410,0.0,84.0
Alston,7886,0.0,84.0
Alta,23911,0.0,84.0
Alta Loma,12613,0.0,84.0
Alta Vista,17413,0.0,84.0
Altadena,8688,0.0,84.0
Altair,6907,5.0,79.0
Altamont,49396,0.0,84.0
Altamonte Springs,12297,0.0,84.0
Altavista,8458,0.0,84.0
Altenburg,8426,0.0,84.0
Altha,8660,0.0,84.0
Altheimer,9001,0.0,84.0
Altmar,11347,0.0,79.0
Alto,29392,0.0,84.0
Alto Pass,8838,0.0,84.0
Alton,68241,0.0,84.0
Alton Bay,6424,5.0,84.0
Altona,14684,0.0,84.0
Altonah,5715,0.0,84.0
Altoona,54646,0.0,84.0
Altura,8160,0.0,84.0
Alturas,11222,0.0,84.0
Altus,25398,0.0,84.0
Alum Bank,11462,0.0,84.0
Alum Bridge,10394,0.0,84.0
Alum Creek,10375,0.0,84.0
Alva,19745,0.0,84.0
Alvada,7325,0.0,84.0
Alvarado,12388,0.0,84.0
Alvaton,7007,0.0,84.0
Alverda,8797,0.0,84.0
Alverton,9701,0.0,84.0
Alvin,17125,0.0,84.0
Alviso,4617,0.0,84.0
Alvo,9809,5.0,79.0
Alvord,14014,0.0,84.0
Alvordton,8153,0.0,84.0
Alzada,10350,0.0,84.0
Ama,6202,0.0,79.0
Amado,6691,0.0,84.0
Amador City,7314,0.0,84.0
Amagansett,9242,0.0,84.0
Amagon,10224,0.0,84.0
Amalia,6799,0.0,84.0
Amana,8995,0.0,84.0
Amanda,10980,0.0,84.0
Amanda Park,3904,0.0,84.0
Amargosa Valley,7922,0.0,84.0
Amarillo,119183,0.0,84.0
Amasa,8215,0.0,84.0
Amawalk,9840,0.0,79.0
Amazonia,8035,0.0,84.0
Amber,8140,0.0,79.0
Amberg,8729,0.0,84.0
Amberson,5364,5.0,84.0
Ambia,13355,0.0,84.0
Ambler,23078,0.0,84.0
Amboy,37857,0.0,84.0
Ambridge,10873,0.0,84.0
Ambrose,14450,0.0,84.0
Amelia,20333,0.0,84.0
Amelia Court House,11308,0.0,84.0
Amenia,18765,0.0,84.0
American Canyon,7995,0.0,84.0
American Falls,6287,0.0,84.0
American Fork,6696,0.0,79.0
Americus,28567,0.0,84.0
Amery,7763,0.0,84.0
Ames,52954,0.0,84.0
Amesbury,9790,5.0,84.0
Amesville,8074,0.0,84.0
Amherst,88711,0.0,84.0
Amherst Junction,6740,0.0,79.0
Amherstdale,4920,0.0,84.0
Amidon,7842,0.0,84.0
Amigo,9331,0.0,84.0
Amissville,8958,5.0,84.0
Amistad,7662,0.0,84.0
Amite,12269,0.0,84.0
Amity,31552,0.0,84.0
Amityville,10111,0.0,84.0
Amlin,7456,0.0,84.0
Amma,11092,0.0,84.0
Amo,8016,0.0,84.0
Amonate,6100,0.0,84.0
Amoret,8536,0.0,84.0
Amorita,14212,0.0,84.0
Amory,5275,10.0,84.0
Amsterdam,20970,0.0,84.0
Amston,6587,0.0,79.0
Anabel,5847,0.0,84.0
Anacoco,15102,0.0,84.0
Anaconda,8642,0.0,84.0
Anacortes,8315,0.0,84.0
Anadarko,7031,0.0,84.0
Anaheim,62880,0.0,84.0
Anahola,6479,0.0,84.0
Anahuac,9565,0.0,84.0
Anaktuvuk Pass,8517,0.0,84.0
Anamoose,11881,0.0,84.0
Anamosa,11112,0.0,84.0
Anasco,12494,0.0,84.0
Anatone,7461,0.0,84.0
Anawalt,12093,0.0,84.0
Anchor,7095,0.0,84.0
Anchor Point,8600,0.0,84.0
Anchorage,134468,0.0,84.0
Ancona,10793,0.0,84.0
Ancram,5933,0.0,74.0
Ancramdale,4448,0.0,84.0
Andale,11207,0.0,84.0
Andalusia,17168,0.0,84.0
Anderson,114110,0.0,84.0
Anderson Island,9187,0.0,74.0
Andersonville,15162,0.0,84.0
Andes,9135,0.0,84.0
Andover,87598,0.0,84.0
Andreas,11772,0.0,84.0
Andrew,7501,0.0,84.0
Andrews,40453,0.0,84.0
Andrews Air Force Base,8641,0.0,84.0
Aneta,8064,0.0,84.0
Angel Fire,10544,5.0,84.0
Angela,7408,0.0,84.0
Angelica,7062,0.0,84.0
Angels Camp,4972,0.0,84.0
Angelus Oaks,6957,0.0,84.0
Angie,8370,0.0,84.0
Angier,5615,0.0,79.0
Angle Inlet,10421,0.0,79.0
Angleton,9762,0.0,84.0
Angola,19925,0.0,84.0
Angoon,9843,0.0,84.0
Angora,20907,0.0,84.0
Anguilla,8438,0.0,84.0
Angus,6621,0.0,84.0
Angwin,7568,0.0,84.0
Aniak,4766,5.0,79.0
Animas,10836,0.0,84.0
Anita,14358,0.0,84.0
Aniwa,10474,5.0,84.0
Ankeny,9456,0.0,84.0
Anmoore,10230,0.0,84.0
Ann Arbor,40686,0.0,84.0
Anna,20801,0.0,84.0
Anna Maria,8429,0.0,84.0
Annabella,6081,0.0,84.0
Annada,8882,5.0,84.0
Annandale,29862,0.0,84.0
Annandale On Hudson,7774,0.0,84.0
Annapolis,48836,0.0,84.0
Annapolis Junction,5224,0.0,84.0
Annawan,9720,0.0,84.0
Anniston,57100,0.0,84.0
Annona,7128,0.0,84.0
Annville,12884,0.0,84.0
Anoka,11998,0.0,84.0
Anselmo,6373,0.0,74.0
Ansley,5671,0.0,84.0
Anson,18736,0.0,84.0
Ansonia,18738,5.0,84.0
Ansonville,7416,0.0,79.0
Ansted,8858,0.0,84.0
Antelope,17097,0.0,84.0
Anthem,12914,0.0,84.0
Anthon,10977,0.0,84.0
Anthony,33990,0.0,84.0
Antigo,9787,0.0,84.0
Antimony,7436,0.0,84.0
Antioch,31337,0.0,84.0
Antler,6512,0.0,84.0
Antlers,6198,5.0,84.0
Antoine,4429,0.0,84.0
Anton,18207,0.0,84.0
Anton Chico,7767,5.0,84.0
Antonito,6978,5.0,84.0
Antrim,5789,0.0,84.0
Antwerp,12934,0.0,84.0
Anvik,7305,10.0,84.0
Anza,8213,10.0,84.0
Apache,7705,0.0,84.0
Apalachicola,13660,0.0,79.0
Apalachin,5652,0.0,84.0
Apex,12870,0.0,84.0
Apison,6721,0.0,84.0
Aplington,5203,0.0,84.0
Apollo,6847,5.0,84.0
Apollo Beach,10528,0.0,84.0
Apopka,18428,0.0,84.0
Appalachia,7368,0.0,84.0
Apple Creek,14698,0.0,84.0
Apple Grove,9389,0.0,84.0
Apple River,13658,0.0,84.0
Apple Springs,5411,0.0,79.0
Apple Valley,19142,0.0,84.0
Applegate,17655,0.0,84.0
Appleton,57924,0.0,84.0
Appleton City,9312,0.0,79.0
Appling,13453,0.0,84.0
Appomattox,13695,0.0,84.0
Aptos,5748,0.0,84.0
Apulia Station,6927,0.0,84.0
Aquasco,11411,0.0,84.0
Aquebogue,9929,15.0,84.0
Aquilla,4491,0.0,84.0
Arab,6164,0.0,84.0
Arabi,16943,0.0,84.0
Aragon,21135,0.0,84.0
Aransas Pass,19315,0.0,84.0
Arapaho,5826,0.0,84.0
Arapahoe,34169,0.0,84.0
Ararat,16320,0.0,84.0
Arbela,6792,0.0,84.0
Arboles,4158,0.0,84.0
Arbon,12033,5.0,79.0
Arbovale,9461,0.0,84.0
Arbuckle,7650,5.0,84.0
Arbyrd,7661,0.0,79.0
Arcade,6580,0.0,84.0
Arcadia,134178,0.0,84.0
Arcanum,7975,0.0,84.0
Arcata,8084,0.0,84.0
Arch Cape,9799,0.0,84.0
Archbald,5442,0.0,84.0
Archbold,6515,0.0,84.0
Archer,22903,0.0,84.0
Archer City,13665,0.0,84.0
Archie,5780,5.0,84.0
Arco,19568,0.0,84.0
Arcola,33081,0.0,84.0
Arctic Village,4786,0.0,84.0
Ardara,5154,0.0,84.0
Arden,14800,0.0,84.0
Ardenvoir,9678,5.0,74.0
Ardmore,31144,0.0,84.0
Ardsley,5925,0.0,84.0
Ardsley On Hudson,8085,0.0,84.0
Arecibo,8792,0.0,84.0
Aredale,11562,0.0,84.0
Arena,5975,5.0,84.0
Arenas Valley,6596,5.0,84.0
Arenzville,7462,0.0,84.0
Argenta,3893,0.0,84.0
Argillite,7755,0.0,84.0
Argonia,8724,0.0,84.0
Argonne,12608,0.0,79.0
Argos,6135,0.0,84.0
Argusville,8667,0.0,84.0
Argyle,51780,0.0,84.0
Ariel,9450,5.0,84.0
Arimo,9529,0.0,84.0
Arion,10236,0.0,79.0
Aripeka,7398,0.0,84.0
Aristes,7322,0.0,84.0
Ariton,7284,0.0,84.0
Arivaca,4494,0.0,84.0
Arjay,17971,0.0,79.0
Arkadelphia,30403,0.0,84.0
Arkansas City,11091,0.0,84.0
Arkansaw,12664,0.0,79.0
Arkdale,6046,0.0,84.0
Arkoma,10819,0.0,84.0
