City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Cut Bank,53.0,36.9,8.6,1.5
Cutler,75.7,18.2,5.7,0.4
Cuyahoga Falls,84.2,11.2,4.5,0.1
Cynthiana,83.2,11.1,5.6,0.0
Cypress,64.3,29.5,6.05,0.1
Daggett,80.7,11.9,7.1,0.3
Dahlonega,80.6,11.7,7.4,0.3
Dailey,77.2,18.9,3.9,0.0
Daisy,72.6,16.5,10.6,0.3
Dakota City,78.5,12.0,9.3,0.2
Daleville,74.3,20.3,5.1000000000000005,0.26666666666666666
Dalhart,77.1,13.05,9.55,0.25
Dalton,78.5,13.4,7.9,0.2
Damon,80.5,14.4,5.0,0.1
Dana,84.2,11.2,4.4,0.2
Danville,73.1,21.133333333333333,5.6000000000000005,0.19999999999999998
Darlington,86.6,8.6,4.3,0.5
Datto,78.6,13.4,7.9,0.1
Davidson,84.4,10.4,5.0,0.2
Davis,63.8,31.5,4.7,0.0
Dawson Springs,73.1,17.55,9.25,0.1
Dawsonville,81.35,9.55,8.85,0.3
Dayton,76.63333333333334,17.5,5.566666666666666,0.3333333333333333
De Borgia,78.5,13.6,8.0,0.0
De Mossville,80.1,12.0,7.7,0.2
De Queen,77.6,14.6,7.8,0.0
De Smet,72.5,11.3,15.8,0.4
De Soto,77.5,13.3,9.1,0.0
Dearborn,84.1,11.4,4.3,0.1
Deary,62.1,30.5,7.2,0.2
Decatur,81.55000000000001,12.35,6.1,0.05
Decorah,78.9,10.2,10.15,0.7
Dedham,82.5,11.5,5.8,0.1
Deer Island,79.5,12.7,7.7,0.2
Deer Lodge,68.6,26.7,4.7,0.1
Deer Park,77.4,16.1,6.0,0.4
Deer Trail,77.3,13.8,8.6,0.4
Deerfield,74.2,21.1,4.5,0.1
Defuniak Springs,80.0,10.5,9.2,0.2
Delcambre,80.3,12.9,6.8,0.0
Delta,77.9,13.4,8.55,0.15000000000000002
Deltona,81.8,12.1,5.9,0.2
Deming,73.6,19.8,6.5,0.0
Denhoff,59.3,13.0,27.2,0.5
Denmark,70.9,23.1,6.0,0.0
Dennis,74.3,13.6,12.0,0.1
Denver,73.85,13.25,12.7,0.2
Denver City,75.1,14.5,10.25,0.1
Depew,81.7,12.4,5.7,0.2
Derry,80.9,12.3,6.7,0.1
Detroit,86.1,10.0,3.8,0.1
Devol,68.4,20.8,10.8,0.0
Dewy Rose,76.4,14.6,8.75,0.25
Dexter,74.33333333333333,16.466666666666665,8.9,0.26666666666666666
Diaz,75.7,17.8,6.1,0.4
Dickinson,80.3,13.6,6.1,0.05
Dilley,81.1,15.4,3.4,0.1
Dillon,81.5,10.4,8.1,0.0
Dingmans Ferry,78.1,13.6,8.0,0.3
Dinwiddie,74.1,19.5,6.0,0.4
Disputanta,76.8,19.1,3.7,0.4
Divide,69.8,22.5,7.4,0.3
Dixfield,76.7,12.8,10.2,0.4
Dixon Springs,76.2,15.5,8.1,0.2
Dodge,78.05,11.7,9.649999999999999,0.55
Dodson,58.4,29.85,8.7,3.1
Dolliver,80.2,11.3,8.3,0.2
Donaldsonville,81.6,13.4,4.9,0.1
Donnelly,74.3,15.2,10.2,0.4
Doon,76.8,12.1,10.5,0.6
Dorado,68.80000000000001,22.25,8.9,0.15000000000000002
Doswell,78.6,16.9,4.5,0.0
Dothan,80.1,14.25,5.45,0.2
Douglas,78.3,13.8,7.6,0.3
Douglass,72.0,20.0,7.9,0.1
Douglasville,80.5,13.7,5.7,0.1
Dove Creek,69.5,21.7,8.5,0.2
Dover,75.4,17.7,6.6000000000000005,0.3
Dow City,77.8,12.8,8.4,1.0
Downsville,84.3,10.7,4.9,0.2
Doyle,72.7,17.7,9.4,0.1
Doylesburg,81.1,12.2,6.4,0.3
Drakes Branch,64.7,28.6,6.4,0.3
Drewsey,53.4,29.5,16.2,1.0
Driscoll,58.6,16.2,25.1,0.1
Drummond,68.4,20.8,10.4,0.4
Dry Branch,81.1,17.5,1.4,0.0
Dryden,49.4,32.8,16.4,1.4
Du Bois,70.5,18.2,11.1,0.2
Duck Hill,70.7,24.5,4.8,0.0
Dudley,72.8,20.3,6.6,0.2
Duke Center,81.4,11.8,6.7,0.1
Dulce,55.7,36.6,7.5,0.3
Duluth,80.6,14.7,4.7,0.1
Dumont,67.9,18.3,13.5,0.2
Dundee,69.9,23.5,6.3,0.2
Dunellen,83.1,13.1,3.8,0.1
Dunn Center,65.0,16.8,16.3,1.9
Dunning,63.8,17.1,19.2,0.0
Dupree,40.9,41.7,16.6,0.8
Durand,75.0,12.8,11.9,0.2
Durango,80.1,11.3,8.0,0.6
Durant,72.7,23.8,3.5,0.0
Durham,78.2,16.8,4.9,0.1
Dustin,67.8,24.2,7.4,0.6
Dutch John,47.7,44.1,8.1,0.0
Eagle,77.2,15.8,6.9,0.1
Eagle Pass,68.8,25.0,6.1,0.1
Eagle River,79.0,13.1,7.7,0.2
Earle,75.35,18.35,5.75,0.55
Earling,73.7,13.4,12.5,0.5
East Concord,79.2,16.8,4.0,0.1
East Jordan,81.3,10.4,7.8,0.5
East Nassau,74.3,20.8,4.8,0.1
East Peoria,84.6,10.7,4.7,0.1
East Prairie,72.9,17.7,9.0,0.3
East Stone Gap,74.5,22.5,2.9,0.1
Eastsound,68.9,14.3,16.2,0.5
Eastview,72.8,22.7,4.5,0.0
Eaton,85.1,10.4,4.3,0.2
Eatonton,77.2,15.8,7.0,0.0
Eau Claire,81.2,10.8,7.7,0.3
Ebro,72.5,18.8,8.4,0.3
Echola,77.0,18.9,4.0,0.1
Eckert,70.0,15.0,14.7,0.4
Edelstein,85.8,10.4,3.7,0.1
Edgartown,61.3,16.0,22.6,0.2
Edgemont,58.3,30.45,10.6,0.6499999999999999
Edgerton,76.9,11.3,11.5,0.3
Edgewood,66.2,20.0,13.8,0.0
Edinburg,71.9,16.5,11.5,0.2
Edison,77.5,15.0,6.9,0.5
Edon,82.2,12.4,5.2,0.2
Edson,70.1,22.4,7.5,0.0
Egegik,42.2,51.6,6.1,0.2
Ekalaka,50.0,16.0,30.9,3.1
El Cerrito,77.5,13.6,8.7,0.2
El Paso,65.75,26.5,7.65,0.1
El Reno,77.7,16.3,5.9,0.1
Eldorado,65.15,23.55,11.0,0.3
Eldridge,82.6,12.5,4.8,0.2
Electra,76.6,13.8,9.5,0.2
Electric City,75.4,19.4,5.1,0.1
Elfrida,63.2,30.5,6.1,0.2
Elgin,80.2,13.5,6.050000000000001,0.30000000000000004
Elizabeth,69.8,26.2,3.8,0.2
Elizabeth City,64.1,30.85,5.0,0.05
Elk City,77.9,15.0,6.8,0.3
Elk Horn,75.3,13.850000000000001,10.7,0.15
Elk Park,75.3,14.9,9.5,0.3
Elkhart,87.5,7.7,4.6,0.2
Elkton,72.0,19.5,8.2,0.3
Ellabell,73.3,19.4,7.2,0.1
Ellaville,70.9,23.6,5.5,0.0
Ellenboro,75.80000000000001,18.0,6.1,0.1
Ellendale,78.8,14.7,6.4,0.1
Ellinger,77.4,13.4,9.0,0.2
Elliott,77.8,11.3,10.6,0.4
Elliottville,69.4,24.6,5.6,0.4
Ellsinore,75.4,14.1,10.5,0.0
Ellsworth,66.05,20.25,13.299999999999999,0.4
Ellwood City,83.6,10.8,5.5,0.1
Elm City,81.5,14.0,4.3,0.2
Elm Creek,80.5,11.5,7.9,0.1
Elmendorf,79.6,14.8,5.6,0.1
Elmira,78.3,16.7,4.8,0.2
Elmo,71.5,22.5,5.7,0.2
Eltopia,81.7,13.2,5.0,0.1
Ely,60.4,33.5,5.6,0.4
Emmetsburg,73.1,17.7,9.0,0.2
Emory,75.3,15.6,9.0,0.1
Empire,72.15,18.45,8.95,0.45
Emporia,74.1,22.6,3.3,0.0
Encampment,72.5,21.8,5.3,0.4
Enders,66.3,13.7,18.7,1.3
Endicott,81.5,14.4,3.8,0.3
Energy,72.2,15.0,12.3,0.5
Enfield,77.1,14.9,7.85,0.15000000000000002
Engadine,68.9,22.0,8.9,0.2
Englewood,71.80000000000001,17.8,10.35,0.1
Englishtown,80.6,13.8,5.5,0.2
Enigma,72.6,20.6,6.4,0.4
Ennice,68.8,18.4,12.3,0.4
Enochs,75.3,19.1,5.6,0.0
Enola,76.9,17.9,5.1,0.1
Enterprise,69.43333333333334,20.433333333333334,10.066666666666666,0.06666666666666667
Epping,78.3,11.2,10.3,0.2
Epps,72.4,22.8,4.6,0.1
Epworth,73.4,14.3,12.0,0.3
Equality,76.0,15.6,8.4,0.0
Erbacon,77.25,17.0,5.4,0.35
Erick,78.0,12.4,9.2,0.4
Ericson,62.4,18.8,17.2,1.6
Erie,70.9,20.5,8.4,0.2
Erlanger,86.1,10.6,3.2,0.1
Escalante,70.6,23.4,4.1,1.9
Esom Hill,79.6,13.9,6.3,0.2
Essex,77.0,18.3,4.6,0.1
Essig,81.1,9.9,8.8,0.2
Ethan,73.4,15.0,11.4,0.2
Ettrick,78.7,12.0,9.0,0.3
Eudora,71.6,21.4,6.699999999999999,0.25
Eufaula,74.2,19.4,6.4,0.0
Eupora,68.9,24.9,6.0,0.1
Eutaw,75.8,17.2,7.0,0.0
Evans,75.0,19.5,5.4,0.1
Evansville,82.25,11.149999999999999,6.449999999999999,0.2
Evant,60.3,34.2,5.3,0.2
Everson,75.1,18.0,6.6,0.3
Everton,70.8,14.3,13.8,1.1
Ewing,71.1,23.1,5.3,0.5
Fairbanks,65.8,29.9,4.1,0.2
Fairbury,80.2,13.5,6.3,0.0
Fairfax,73.4,21.9,4.5,0.2
Fairfield,71.2,15.833333333333334,12.533333333333333,0.5
Fairmont,77.44999999999999,16.55,5.75,0.2
Fairplay,70.4,17.5,10.8,1.2
Fairview,72.6,15.1,11.5,0.9
Faith,57.2,16.1,24.9,1.7
Falfurrias,72.8,20.9,6.3,0.0
Fall Branch,76.8,17.1,6.0,0.1
Fallon,68.2,24.2,7.5,0.1
Falls Church,60.6,32.1,7.3,0.0
Falmouth,79.9,10.0,9.6,0.5
Fannin,70.1,21.4,8.2,0.3
Fanwood,82.6,13.4,3.9,0.1
Farber,75.2,17.1,7.5,0.2
Faribault,82.4,10.8,6.5,0.3
Farina,76.7,16.2,7.0,0.1
Farmersville,74.9,17.1,7.9,0.1
Farmington,76.5,19.4,3.8,0.3
Farmland,81.5,11.0,6.9,0.6
Farnsworth,80.1,10.4,9.2,0.3
Federalsburg,74.35,17.9,7.6,0.2
Felt,77.1,12.9,9.9,0.0
Ferdinand,86.3,6.9,6.7,0.1
Fernandina Beach,81.0,13.5,5.4,0.1
Fernley,76.8,17.4,5.7,0.1
Fernwood,71.3,21.8,6.7,0.2
Ferriday,72.0,21.8,6.1,0.0
Fertile,75.5,16.5,7.8,0.2
Festus,83.9,10.5,5.2,0.4
Fieldton,73.8,16.1,9.9,0.1
Firebaugh,75.4,17.8,6.7,0.2
Fischer,77.2,13.2,9.1,0.4
Fish Camp,60.3,27.8,10.5,1.5
Flandreau,66.0,18.6,14.8,0.5
Flemington,75.7,12.4,11.1,0.9
Fletcher,78.2,15.4,6.4,0.0
Flintville,77.8,12.9,9.0,0.2
Florence,76.65,16.299999999999997,6.8,0.25
Florida,71.1,25.2,3.7,0.0
Fluker,78.8,16.3,4.9,0.0
Flushing,83.7,11.4,4.7,0.1
Folkston,72.1,24.5,3.3,0.0
Fond Du Lac,84.0,10.7,5.0,0.3
Fontana Dam,69.7,22.8,5.9,1.5
Ford,69.1,21.7,8.8,0.4
Forest,75.4,15.2,8.5,0.8
Forest City,81.0,10.666666666666666,8.066666666666666,0.26666666666666666
Forest Hill,69.8,22.4,7.7,0.1
Foristell,86.2,8.7,5.1,0.1
Forrest City,64.9,25.7,9.4,0.0
Fort Bragg,64.9,19.1,15.4,0.6
Fort Buchanan,69.4,18.2,12.3,0.1
Fort Collins,76.0,17.1,6.7,0.2
Fort Davis,50.5,29.5,18.2,1.8
Fort Johnson,79.0,16.2,4.4,0.3
Fort Lauderdale,82.2,11.3,6.4,0.1
Fort Morgan,74.9,17.5,7.3,0.3
Fort Pierce,80.2,13.5,6.1,0.3
Fort Plain,76.4,17.4,6.0,0.1
Fort Scott,75.8,18.3,5.8,0.1
Fort Stewart,61.8,34.7,3.4,0.1
Fort Valley,76.1,18.25,5.4,0.30000000000000004
Fort Wayne,86.4,9.1,4.4,0.2
Fortine,67.6,20.0,12.0,0.4
Fortuna,63.8,22.0,14.0,0.3
Fouke,75.3,16.8,7.8,0.0
Fountain,77.53333333333335,17.433333333333334,4.833333333333333,0.19999999999999998
Fountaintown,85.4,9.2,5.4,0.1
Fowler,72.30000000000001,19.549999999999997,7.95,0.2
Francis,65.0,29.3,5.7,0.1
Frankfort,87.5,7.5,4.9,0.1
Franklin,74.68888888888888,17.933333333333334,7.011111111111111,0.3111111111111111
Frankston,75.6,13.9,10.4,0.1
Frazer,61.7,22.6,14.9,0.9
Frederick,73.9,20.7,5.2,0.2
Fredericksburg,73.6,22.3,3.9000000000000004,0.15000000000000002
Fredonia,66.45,15.9,16.55,1.1
Fremont,78.7,13.8,7.4,0.1
French Village,77.3,18.9,3.8,0.1
Friendly,75.8,18.9,5.2,0.0
Frisco,82.2,11.9,5.7,0.1
Fritch,82.0,11.7,5.9,0.4
Frost,74.6,12.5,12.6,0.3
Fulda,81.3,9.5,8.9,0.3
Funk,75.1,12.1,12.3,0.5
Gackle,63.6,14.1,20.4,1.9
Gadsden,79.8,14.4,5.6,0.2
Gainesville,69.1,26.6,4.3,0.1
Galax,80.4,14.1,5.5,0.0
Galena,77.55,11.3,10.75,0.4
Galloway,78.4,14.8,6.7,0.1
Gallup,58.1,34.0,7.7,0.1
Galt,76.9,14.6,8.5,0.0
Galva,75.2,14.2,10.3,0.3
Garden,82.1,11.8,5.9,0.3
Garden City,70.0,18.7,11.1,0.2
Gardiner,71.8,13.8,13.5,0.8
Garfield,74.6,21.0,4.4,0.0
Garland,81.75,12.7,5.35,0.15000000000000002
Garyville,84.1,11.9,3.9,0.1
Gasquet,57.0,32.7,10.0,0.4
Gastonia,83.8,11.2,4.9,0.2
Gates,72.5,21.8,5.5,0.3
Gatzke,76.9,12.8,10.0,0.3
Gaylesville,73.1,18.5,7.9,0.5
Genesee,77.05,14.15,8.55,0.3
Geneseo,69.6,20.9,9.5,0.0
Genoa,66.9,16.7,14.9,1.5
Genoa City,81.4,12.0,6.2,0.3
Georgetown,78.9,13.3,7.6,0.1
Georgiana,77.3,18.4,4.1,0.2
Gepp,73.5,14.9,11.0,0.6
Gettysburg,67.9,15.1,16.8,0.3
Gibbon,77.9,11.4,10.3,0.4
Gilbertown,77.5,16.8,5.4,0.3
Gillette,80.8,14.6,4.3,0.3
Gillsville,78.2,13.8,7.2,0.8
Gilman,73.1,16.1,10.35,0.45
Gilman City,71.6,16.4,11.5,0.6
Girard,75.8,17.8,6.1,0.4
Girvin,68.6,24.5,6.0,0.9
Gladeville,80.7,11.7,7.5,0.0
Glen Allan,70.5,24.1,5.2,0.1
Glencoe,67.0,27.4,5.2,0.5
Glennallen,56.6,32.9,10.1,0.4
Glenrock,75.0,17.7,7.0,0.3
Glenwood,66.4,23.0,10.6,0.0
Gloster,64.2,33.1,2.7,0.0
Glyndon,80.6,13.6,5.7,0.1
Goessel,73.7,15.6,10.1,0.6
Goetzville,63.7,29.5,6.6,0.3
Gold Creek,56.3,31.3,12.4,0.0
Golden City,74.9,12.9,11.1,1.1
Golden Valley,80.3,13.1,6.6,0.0
Goldfield,70.9,18.3,10.8,0.0
Goldsboro,74.5,19.8,5.4,0.3
Good Hope,65.8,28.7,5.3,0.2
Goodhue,81.2,10.7,8.0,0.2
Goodlettsville,77.0,14.9,8.0,0.1
Goodview,80.5,13.8,5.5,0.2
Goose Creek,76.5,19.1,4.3,0.1
Gordo,77.8,17.9,4.2,0.1
Gordon,73.4,19.7,6.7,0.2
Gordonsville,73.6,19.7,6.7,0.0
Goshen,73.55000000000001,18.4,7.9,0.1
Gosport,80.5,11.3,7.7,0.4
Gouldbusk,71.4,17.4,10.9,0.2
Gouldsboro,77.1,12.45,10.3,0.15000000000000002
Gouverneur,68.8,24.3,6.8,0.1
Gove,63.3,18.7,17.8,0.2
Grace,72.4,18.2,8.2,1.2
Graham,77.7,16.1,5.9,0.3
Granby,82.2,10.8,6.7,0.3
Grand Forks,73.7,22.0,4.0,0.2
Grand Isle,73.7,17.2,9.0,0.1
Grand Ledge,76.69999999999999,16.35,6.75,0.2
Grand Marais,61.9,26.4,11.0,0.6
Grand Rapids,84.3,10.55,5.0,0.15000000000000002
Grand Valley,79.9,12.4,7.3,0.3
Granite Falls,76.5,14.8,8.5,0.3
Grant,80.5,13.9,5.4,0.2
Grants,65.0,27.1,7.7,0.2
Grantsville,74.8,21.2,3.9,0.1
Granville Summit,82.7,9.9,7.1,0.2
Grapeview,64.5,25.9,9.5,0.1
Grasston,77.05,15.2,7.55,0.2
Gravois Mills,75.94999999999999,13.25,10.5,0.30000000000000004
Graysville,82.1,13.0,4.8,0.0
Greeley,66.8,12.7,19.3,1.2
Greeleyville,74.35,19.700000000000003,5.9,0.0
Green Castle,67.0,14.8,17.7,0.6
Green City,76.2,12.2,11.0,0.7
Green River,78.6,17.7,3.7,0.0
Green Springs,84.0,11.1,4.8,0.1
Greenbush,77.0,15.6,7.4,0.0
Greene,82.6,12.7,4.6,0.1
Greenfield,75.60000000000001,16.166666666666668,7.966666666666666,0.3
Greenleaf,79.8,12.7,7.2,0.3
Greenmountain,71.6,20.799999999999997,7.55,0.1
Greensboro,72.9,15.5,10.8,0.8
Greensburg,74.0,14.6,11.2,0.1
Greenville,77.86,14.98,7.0200000000000005,0.15999999999999998
Greenwich,81.7,12.3,5.8,0.2
Greenwood,81.5,13.375,4.975,0.125
Grey Eagle,76.0,12.1,11.1,0.8
Griffithsville,76.9,20.4,2.7,0.0
Grifton,72.9,20.2,6.7,0.3
Grimes,75.6,15.5,8.8,0.1
Grinnell,63.1,18.1,18.6,0.2
Groom,69.05,21.35,9.35,0.2
Grosse Tete,76.9,19.2,3.9,0.0
Groveport,77.5,16.9,5.4,0.2
Grover Hill,83.7,9.9,6.1,0.3
Groves,81.9,13.4,4.5,0.1
Gruver,71.0,18.6,10.2,0.2
Guanica,67.85,26.8,5.35,0.0
Guayama,67.1,27.1,5.7,0.1
Guilford,74.1,14.4,11.3,0.1
Gunnison,66.0,21.55,10.95,1.5
Guntown,77.9,16.1,5.8,0.2
Gurabo,70.8,25.1,4.1,0.0
Gurley,80.8,11.4,7.8,0.0
Guttenberg,84.7,10.0,5.2,0.2
Hadley,71.1,21.4,7.4,0.1
Hagarville,80.3,14.0,5.5,0.2
Hagerstown,79.69999999999999,15.0,5.05,0.25
Hague,64.9,25.0,10.0,0.0
Haiku,75.7,15.1,8.8,0.4
Haines,69.0,19.7,10.3,1.0
Haleyville,75.0,16.5,8.0,0.5
Hamer,75.93333333333334,17.033333333333335,6.866666666666667,0.23333333333333336
Hamill,50.4,34.2,15.0,0.3
Hamilton,78.92500000000001,14.024999999999999,6.375,0.675
Hamilton City,68.1,19.8,10.9,1.1
Hamlin,80.7,16.7,2.6,0.0
Hampshire,74.8,10.3,15.0,0.0
Hampstead,76.3,18.2,5.4,0.0
Hampton,75.75,16.9,7.2,0.15
Hanalei,73.0,16.4,10.5,0.1
Hanover,76.125,18.85,4.775,0.27499999999999997
Hanston,57.6,21.8,19.0,1.6
Hardeeville,77.6,14.7,7.7,0.1
Hardesty,78.7,15.5,5.4,0.3
Hardin,62.35,28.0,9.25,0.45
Harlem,81.2,14.3,4.3,0.2
Harold,71.2,22.3,6.4,0.0
Harpers Ferry,71.6,23.4,4.8,0.2
Harrell,74.9,17.7,7.4,0.0
Harrellsville,73.3,21.3,5.4,0.0
Harrietta,81.9,11.0,6.9,0.2
Harrington,64.7,26.4,8.6,0.2
Harrisburg,69.83333333333333,19.533333333333335,10.466666666666667,0.06666666666666667
Harrison,72.9,15.3,11.8,0.0
Harrisonburg,76.55000000000001,17.35,5.75,0.3
Harrisonville,82.1,12.0,5.7,0.2
Harrodsburg,75.8,16.0,7.1,1.1
Harrold,64.55,31.2,4.15,0.15000000000000002
Hart,79.2,13.3,6.8,0.7
Hartford,75.7,15.0,8.8,0.4
Hartland,83.0,10.2,6.733333333333333,0.10000000000000002
Harvey,69.35,17.8,12.55,0.25
Hastings,82.6,11.05,6.300000000000001,0.1
Hatillo,66.7,24.9,8.4,0.0
Hattiesburg,76.65,18.65,4.699999999999999,0.05
Haughton,74.3,20.4,5.2,0.1
Haviland,67.7,19.2,13.1,0.0
Hawkins,76.0,13.3,10.0,0.7
Hawkinsville,69.3,24.1,6.5,0.1
Hawley,77.4,13.7,8.7,0.2
Hawthorne,76.6,17.3,5.9,0.2
Hay Springs,59.9,29.0,10.7,0.4
Hayes,66.5,24.0,8.7,0.8
Hayes Center,57.2,20.0,21.5,1.3
Haymarket,72.3,23.5,4.0,0.1
Hazelton,58.2,17.8,22.8,1.2
Hazen,73.9,15.1,11.1,0.0
Head Waters,61.8,21.3,16.9,0.0
Healy,56.4,26.7,16.7,0.2
Heath,80.4,13.3,6.3,0.1
Hebbronville,56.8,30.7,11.7,0.8
Hebron,85.2,11.3,3.5,0.1
Heflin,76.4,13.9,8.9,0.9
Helena,60.0,31.7,8.3,0.1
Hemingford,68.55,15.899999999999999,15.5,0.05
Hemphill,75.1,18.1,6.8,0.0
Henderson,80.7,14.1,5.1,0.1
Hendersonville,79.8,11.8,8.2,0.1
Henley,67.5,27.8,4.2,0.4
Hennepin,70.8,22.0,6.2,1.0
Henry,82.2,11.7,6.0,0.1
Hensley,77.1,18.1,4.8,0.0
Heppner,77.3,15.5,7.2,0.0
Hereford,73.5,14.5,10.8,1.2
Hernando,78.2,14.4,6.9,0.5
Heron Lake,71.4,12.8,15.3,0.5
Herron,79.9,12.5,7.3,0.3
Herscher,82.0,13.6,4.2,0.1
Hershey,78.5,14.6,6.7,0.2
Hesperia,78.3,13.2,8.2,0.3
Hesston,77.5,12.2,9.9,0.4
Hestand,72.1,15.3,11.4,1.2
Hickman,75.6,15.399999999999999,8.5,0.5
Hickory,83.8,10.9,5.2,0.1
Hicksville,83.5,11.1,5.3,0.1
Hico,76.7,15.3,7.9,0.0
Hidalgo,78.7,13.9,7.2,0.1
Higgins,72.7,14.7,12.2,0.4
High Bridge,79.6,13.6,6.6,0.1
High Point,81.8,11.9,6.2,0.1
High Springs,73.4,21.1,5.5,0.0
Hilham,72.7,17.4,8.6,1.2
Hill,75.6,16.7,7.6,0.1
Hilliard,80.8,14.8,4.3,0.1
Hillsboro,72.3,19.2,8.4,0.2
Hillsdale,71.0,19.8,8.9,0.3
Hilo,69.7,19.4,10.3,0.5
Himrod,72.0,13.9,13.2,0.9
Hines,66.8,26.9,6.2,0.1
Hinsdale,76.1,17.2,6.6,0.2
Hitchins,80.1,15.5,4.3,0.1
Hiwassee,76.3,19.0,4.7,0.0
Hixson,79.6,14.3,5.9,0.2
Hobbs,80.8,13.6,5.5,0.1
Hobson,53.1,23.9,19.8,3.2
Hoffman,71.4,14.3,13.9,0.4
Hokah,80.2,9.7,9.9,0.2
Holbrook,68.1,22.4,8.2,1.3
Holcomb,77.4,16.05,6.3,0.25
Holden,76.95,16.75,5.949999999999999,0.30000000000000004
Holdingford,77.6,12.0,9.7,0.6
Holland,78.15,17.05,4.7,0.1
Holly,67.5,24.1,8.2,0.1
Holly Ridge,66.3,27.7,5.9,0.1
Holly Springs,80.1,15.1,4.8,0.1
Holmen,82.1,13.7,4.1,0.1
Holt,75.1,19.9,4.9,0.1
Holyoke,70.1,16.2,13.3,0.5
Homer,79.9,11.7,8.1,0.3
Honey Grove,81.6,11.0,7.2,0.2
Hooper,67.6,26.9,5.4,0.1
Hope,74.96666666666667,18.666666666666668,6.266666666666667,0.10000000000000002
Hope Valley,75.9,17.3,6.7,0.1
Hopewell,79.0,18.8,2.2,0.0
Hormigueros,64.2,27.2,8.6,0.0
Hornbeak,77.0,13.4,9.1,0.4
Hornell,76.4,16.7,6.7,0.3
Horner,79.0,15.9,5.0,0.1
Horse Cave,76.7,15.0,8.0,0.3
Horseshoe Beach,64.9,27.0,8.1,0.0
Hosford,52.2,38.6,9.2,0.0
Hoskins,69.4,21.4,9.0,0.2
Hosmer,73.1,11.8,14.7,0.4
Houma,82.8,11.9,5.2,0.2
Houston,81.4,12.25,6.25,0.05
Hoven,72.4,12.5,14.9,0.2
Howard,70.1,19.200000000000003,10.35,0.35
Howells,83.3,8.2,8.3,0.3
Hudgins,71.6,20.2,8.2,0.0
Hudson,76.7,15.8,7.2,0.3
Hughes Springs,75.3,17.5,7.1,0.0
Hughesville,74.05,21.85,3.95,0.15000000000000002
Hugo,84.7,11.0,4.2,0.1
Hugoton,79.0,15.3,5.7,0.0
Hulett,72.6,15.5,11.7,0.2
Hume,72.2,15.5,12.0,0.3
Humeston,74.9,14.5,9.7,0.9
Humphrey,69.6,26.3,3.9,0.1
Hunnewell,77.3,14.8,7.6,0.2
Hunter,73.0,15.5,11.1,0.4
Huntersville,86.0,9.1,4.8,0.1
Huntley,84.8,10.4,4.7,0.1
Huntsville,68.06666666666666,26.233333333333334,5.5,0.20000000000000004
Huron,70.2,9.7,19.7,0.4
Hurt,79.8,14.2,5.9,0.2
Huson,75.6,17.2,7.2,0.0
Hutchinson,75.1,17.2,7.4,0.3
Hyannis,67.2,12.2,20.6,0.0
Hyde Park,77.0,12.2,10.5,0.3
Hydro,71.2,19.8,8.1,0.8
Hymera,84.0,11.9,4.1,0.0
Idaho Falls,78.0,15.2,6.6,0.3
Idlewild,77.0,15.2,7.4,0.5
Ignacio,66.3,14.8,18.3,0.6
Ilwaco,70.2,22.1,7.7,0.0
Imogene,73.9,17.7,8.4,0.0
Imperial,66.6,27.8,5.2,0.4
Inchelium,52.4,40.6,6.4,0.5
Independence,76.0,18.0,5.8,0.2
Indiahoma,66.1,27.8,5.9,0.2
Indianapolis,85.4,10.5,4.0,0.1
Indianola,71.80000000000001,19.700000000000003,8.1,0.4
Ingalls,71.2,13.6,14.3,0.9
Ingram,72.8,16.7,10.4,0.1
Interior,34.1,43.1,21.5,1.2
Interlochen,83.0,9.5,7.3,0.2
Inver Grove Heights,83.8,11.9,4.2,0.1
Ione,62.5,26.5,10.4,0.7
Iowa,73.7,20.3,5.8,0.2
Iowa City,67.0,28.0,4.8,0.2
Iron Mountain,82.3,13.6,3.9,0.3
Irons,75.3,16.2,8.0,0.5
Irvine,76.5,16.9,6.2,0.4
Ivins,80.9,13.7,5.3,0.2
Jackson,75.21666666666665,18.2,6.1499999999999995,0.4166666666666667
Jacksonville,73.06666666666668,21.066666666666666,5.8,0.10000000000000002
Jameson,64.7,19.6,15.4,0.3
Jamestown,76.4,16.7,6.8,0.1
Janesville,83.6,11.7,4.5,0.1
Jaroso,63.8,21.7,14.0,0.5
Jarratt,74.7,21.5,3.9,0.0
Jarvisburg,76.4,18.5,5.0,0.1
Jasper,70.975,18.85,9.925,0.25
Jayton,49.7,38.9,10.1,1.3
Jayuya,62.2,31.8,6.0,0.0
Jean,84.5,10.7,4.8,0.1
Jefferson,77.43333333333334,16.700000000000003,5.533333333333334,0.3
Jeffersonville,73.5,18.7,7.8,0.1
Jenkinsville,78.0,18.8,3.2,0.1
Jennings,69.6,19.450000000000003,10.6,0.35
Jerome,74.5,20.6,4.8,0.0
Jersey,67.55,27.75,4.65,0.05
Jersey City,84.7,10.9,4.4,0.1
Jesup,71.2,21.6,6.5,0.6
Jewett,81.9,12.4,5.0,0.7
Johnson,63.85,24.05,12.0,0.15000000000000002
Johnson City,75.8,17.76666666666667,6.333333333333333,0.06666666666666667
Johnson Creek,83.8,11.2,4.9,0.1
Johnston City,74.0,21.1,4.9,0.0
Johnstown,81.5,14.1,4.2,0.1
Jones,78.6,15.1,6.1,0.2
