City,Employed,Unemployment
Helena,7871,9.8
Hemingford,6268,5.2
Hemphill,2882,12.1
Henderson,20337,8.0
Hendersonville,46387,6.0
Henley,35978,4.9
Hennepin,6115,3.6
Henry,15575,2.9
Hensley,7608,9.4
Heppner,4827,8.6
Hereford,3316,4.7
Hernando,43486,13.1
Heron Lake,5392,3.2
Herron,12233,9.3
Herscher,49815,9.8
Hershey,17360,4.2
Hesperia,10360,8.7
Hesston,15406,3.1
Hestand,3943,9.5
Hickman,10395,17.2
Hickory,69954,8.2
Hicksville,18092,8.4
Hico,19275,4.1
Hidalgo,4691,5.5
Higgins,1662,5.0
High Bridge,65918,5.9
High Point,71620,11.0
High Springs,6260,10.4
Hilham,3842,14.5
Hill,76330,5.2
Hilliard,616368,7.0
Hillsboro,4085,2.7
Hillsdale,29962,6.7
Hilo,82124,8.1
Himrod,11496,6.9
Hines,20579,10.6
Hinsdale,73960,14.299999999999999
Hitchins,10039,11.1
Hiwassee,15480,7.4
Hixson,162818,8.0
Hobbs,29340,5.9
Hobson,943,3.9
Hoffman,2943,3.6
Hokah,9795,4.9
Holbrook,1749,6.7
Holcomb,30258,12.7
Holden,9118,18.7
Holdingford,16533,5.8
Holland,149292,12.8
Holly,5488,9.7
Holly Ridge,61252,11.6
Holly Springs,499197,6.4
Holmen,62292,5.4
Holt,133091,9.0
Holyoke,1984,5.3
Homer,7787,6.9
Honey Grove,11152,5.7
Hooper,6283,10.4
Hope,46095,25.9
Hope Valley,64824,6.4
Hopewell,9041,12.8
Hormigueros,4887,22.6
Hornbeak,12572,11.2
Hornell,43199,8.2
Horner,6259,7.2
Horse Cave,18672,7.6
Horseshoe Beach,4910,7.2
Hosford,2748,10.2
Hoskins,5219,3.0
Hosmer,2070,1.8
Houma,48450,5.5
Houston,2088443,19.7
Hoven,1142,0.5
Howard,29286,11.899999999999999
Howells,5224,6.4
Hudgins,3901,3.3
Hudson,7683,11.5
Hughes Springs,4588,12.7
Hughesville,130946,14.0
Hugo,181190,6.2
Hugoton,11031,9.0
Hulett,3754,4.1
Hume,7186,6.6
Humeston,3660,7.5
Humphrey,28119,11.2
Hunnewell,3845,5.9
Hunter,3086,2.6
Huntersville,502455,8.9
Huntley,157226,8.0
Huntsville,196341,25.5
Huron,1289,3.4
Hurt,27803,7.7
Huson,59103,8.2
Hutchinson,4905,5.5
Hyannis,418,3.5
Hyde Park,13147,4.3
Hydro,14072,3.7
Hymera,8203,6.8
Idaho Falls,47191,5.6
Idlewild,3297,13.2
Ignacio,5506,8.2
Ilwaco,7141,8.9
Imogene,3463,3.7
Imperial,58391,17.4
Inchelium,2452,12.2
Independence,13842,7.0
Indiahoma,49641,8.6
Indianapolis,436687,10.1
Indianola,14096,24.200000000000003
Ingalls,3183,2.9
Ingram,20523,8.0
Interior,1202,17.4
Interlochen,43804,6.6
Inver Grove Heights,223989,5.0
Ione,4217,10.3
Iowa,12657,9.2
Iowa City,78838,3.5
Iron Mountain,11161,7.0
Irons,9010,11.5
Irvine,4855,11.8
Ivins,57785,7.7
Jackson,212710,53.300000000000004
Jacksonville,433622,20.8
Jameson,3420,5.7
Jamestown,37183,10.4
Janesville,75824,8.5
Jaroso,1240,14.0
Jarratt,3365,6.4
Jarvisburg,11913,6.6
Jasper,28766,38.1
Jayton,398,1.5
Jayuya,3412,31.7
Jean,923588,10.8
Jefferson,25528,25.8
Jeffersonville,25416,4.9
Jenkinsville,8693,12.8
Jennings,8279,10.1
Jerome,19451,7.0
Jersey,16276,16.8
Jersey City,339606,9.3
Jesup,10495,11.3
Jewett,6740,5.6
Johnson,4597,10.4
Johnson City,118430,29.599999999999998
Johnson Creek,44424,5.5
Johnston City,29214,7.0
Johnstown,58018,8.5
Jones,353043,6.0
Jonesboro,98170,20.4
Jonesville,26631,11.7
Jourdanton,19975,6.5
Judsonia,32318,7.1
Juncos,17525,13.4
Junction,2129,7.6
Junction City,8898,6.7
Juneau,61198,11.2
Kadoka,1018,2.5
Kahuku,455481,5.6
Kansas City,238092,22.9
Karbers Ridge,1493,18.1
Karnak,5821,8.8
Katy,314534,5.1
Kaukauna,96532,3.9
Kearney,27263,3.5
Keatchie,10521,9.3
Keenes,16528,9.2
Kelley,50519,5.5
Kellyton,15837,9.0
Kelso,40418,10.7
Kemah,143681,7.5
Kemp,49359,8.7
Kempner,8245,8.6
Kenai,25637,9.4
Kendrick,2877,7.3
Kenilworth,9197,7.4
Kennard,4922,9.9
Kennedy,64134,17.8
Kennett,6423,11.2
Kensington,1836,3.2
Kent,98829,17.7
Kenton,14959,11.8
Keo,31944,5.9
Keota,4585,8.7
Kermit,3271,2.5
Kernersville,236140,8.8
Kewanee,23544,5.8
Kilmarnock,5021,8.7
Kinderhook,7197,5.6
King And Queen Court Hous,3335,5.5
King Ferry,37023,7.3
King Salmon,541,5.4
King William,7972,5.4
Kingfield,14386,7.7
Kingman,29564,5.7
Kingsland,3256,9.7
Kingsport,66313,8.2
Kingston,92308,23.7
Kirksville,11096,7.9
Kirkville,16128,8.0
Kirkwood,8068,9.2
Kissimmee,131450,9.8
Kite,3909,9.0
Klamath Falls,25753,12.4
Klamath River,16127,12.7
Klingerstown,63264,8.8
Klondike,35598,11.4
Knippa,10801,8.1
Krakow,20281,5.4
Kress,2784,6.4
Krypton,9364,13.9
Kulm,1347,1.2
La Crosse,78219,7.3
La Grande,11024,7.1
La Junta,1212,8.3
La Plata,12443,14.7
La Pryor,4276,12.2
La Push,27697,9.9
Labelle,3701,12.9
Lackey,30160,5.8
Lacrosse,21665,8.8
Lafayette,166701,6.1
Lagrange,6080,6.8
Lajas,4954,17.6
Lake Ann,9628,7.1
Lake Benton,2974,2.8
Lake Butler,3955,11.7
Lake George,31866,6.6
Lake Minchumina,2077,18.2
Lake Oswego,185660,8.3
Lake Placid,31131,13.3
Lake Village,6146,8.9
Lake Wales,245853,10.6
Lakeville,98294,7.1
Lakota,7788,2.1
Lamar,17060,25.5
Lamesa,2342,3.5
Lamont,13251,7.4
Lampasas,18673,5.1
Lancaster,33151,9.9
Land O' Lakes,187556,9.4
Landrum,128253,8.9
Lane City,18584,6.6
Lanesville,37064,7.3
Lanexa,9896,6.1
Langlois,7930,11.3
Langtry,18261,9.3
Lansing,11790,8.5
Laquey,15279,12.7
Laredo,98996,6.0
Lares,6205,35.2
Larose,43542,7.0
Las Marias,2477,4.6
Las Piedras,17444,33.4
Laurel,13732,15.7
Lavalette,14542,9.9
Lavina,357,3.5
Lawndale,36632,11.6
Lawrence,445763,13.7
Le Roy,10595,4.3
Le Sueur,14456,5.3
Leadore,3165,6.1
Leakesville,3955,12.6
Leakey,996,12.0
Leasburg,25888,22.8
Lebo,4207,5.1
Ledger,3258,7.6
Leeds,2461,6.1
Leesburg,5039,8.5
Leicester,8935,7.3
Leitchfield,10342,9.3
Lemoyne,193,4.0
Lena,21858,18.7
Lenoir City,19909,8.9
Lenore,7951,14.1
Leonard,2847,2.0
Leoti,1077,3.1
Leroy,8807,10.3
Leslie,2836,5.9
Letcher,7281,12.6
Letohatchee,3471,13.2
Lettsworth,9105,8.3
Levan,4422,3.8
Lewis,1451,2.0
Lewisport,3647,5.9
Lewiston,54566,5.5
Lewistown,5579,3.1
Lexington,168264,19.5
Liberty,4649,12.3
Lidgerwood,2078,1.2
Lima,70323,14.2
Lincoln,206345,24.300000000000004
Linden,94887,15.4
Lineville,2800,4.3
Linn,2791,9.4
Linneus,5125,4.5
Lisbon,46577,9.0
Lisbon Falls,52961,7.2
Litchfield,53460,26.400000000000002
Lithonia,344876,11.3
Little Eagle,1240,29.4
Little Falls,229762,8.6
Little Mountain,15784,10.2
Little River,85953,7.5
Little Suamico,19075,5.5
Littlefork,5877,7.8
Livingston,61631,7.0
Loachapoka,68614,7.3
Lockhart,16693,5.2
Locust,26101,12.2
Locust Grove,19314,7.9
Locust Hill,4404,6.3
Logan,15136,14.5
Loiza,8443,26.2
Lombard,479592,7.0
Lonaconing,43640,17.0
Long Beach,82911,9.7
Long Branch,31373,10.600000000000001
Long Pine,1585,0.7
Longford,3008,5.3
Longview,55402,5.9
Longville,12165,7.4
Lontetree,10064,4.4
Lookout Mountain,7848,6.1
Lorman,1861,15.9
Los Angeles,4635465,10.0
Los Gatos,131321,7.6
Lost City,6129,7.9
Lost Creek,4239,12.4
Louisiana,7300,6.5
Louisville,361510,8.4
Lovelady,7694,6.4
Lubbock,141493,6.2
Luck,6464,7.5
Ludell,1247,2.3
Lueders,1502,3.8
Lufkin,36182,9.1
Lulu,25226,14.8
Lumberton,221766,8.5
Luning,1856,15.4
Luquillo,5626,28.5
Luray,10101,36.1
Lusk,1114,1.6
Lutcher,9035,11.0
Luverne,10461,6.6
Lyford,5365,11.5
Lyle,19166,6.5
Lynchburg,81775,29.4
Lyndhurst,493897,11.2
Lyons,21961,26.099999999999998
Lysite,18736,7.8
Lytton,4614,4.0
Macksburg,11488,8.9
Macon,71029,22.9
Madeline,9082,10.9
Madison,432510,25.700000000000003
Magnolia,33184,36.5
Maiden,36605,10.2
Malcom,9636,4.8
Malvern,12657,7.1
Mammoth Cave,4730,8.9
Manakin Sabot,10325,5.0
Manassa,3021,9.7
Manassas,29540,11.9
Manati,11272,18.9
Mancelona,6815,10.4
Mancos,27965,5.2
Manhattan,34186,5.8
Manitou,3098,7.1
Mankato,1468,2.5
Mannboro,5686,5.0
Manokotak,1854,12.5
Mansfield,70984,23.700000000000003
Mansfield Center,80190,6.8
Manville,301318,9.5
Many,8803,10.6
Maple Park,51637,10.4
Maplewood,13169,6.2
Marathon,4385,4.9
Mardela Springs,47947,8.8
Marengo,20566,16.3
Margaretville,19850,9.5
Maria Stein,20476,5.5
Marianna,4735,10.0
Maricao,1500,10.7
Marienthal,2613,5.8
Marienville,1256,4.8
Marietta,379858,21.9
Marine On Saint Croix,130036,4.8
Marion,41680,17.5
Marland,5141,5.9
Marmaduke,17659,9.0
Marmarth,335,0.0
Marshall,181415,38.800000000000004
Marshallberg,29496,10.2
Martha,5366,7.8
Martin,29763,16.1
Martinsville,5156,11.5
Marysville,144165,18.9
Maryville,125030,8.9
Mason,28612,12.2
Mass City,2048,13.7
Matlock,18867,1.8
Matthews,99712,7.7
Mattoon,24939,9.7
Mauk,3219,14.3
Maunabo,2459,27.9
Maxton,11215,15.5
Maxwell,35339,5.5
May,1779,1.6
Mayaguez,12421,11.8
Mayer,81511,10.0
Mayesville,6146,14.9
Mayo,2685,14.6
Mayslick,6703,16.4
Maywood,1294,2.4
McAlpin,15676,11.1
McClure,19860,6.4
McColl,9600,15.5
McCool,2921,14.2
McEwen,7067,8.9
McLeansboro,3618,4.5
McLouth,9264,6.9
McMechen,13530,7.0
McMinnville,4529,10.2
McNeill,20219,12.1
Mcarthur,3334,8.6
Mcdaniel,17620,6.7
Meadows Of Dan,6971,8.3
Meally,7136,9.1
Means,2200,14.7
Medford,10090,5.5
Mediapolis,18798,6.3
Medical Lake,211522,8.4
Medicine Bow,20577,4.7
Medicine Lodge,2350,3.1
Medora,11151,9.4
Meeker,29078,6.9
Meherrin,8771,7.0
Melbourne,24016,16.3
Melrose,9379,12.8
Melvin,7140,11.399999999999999
Memphis,425295,10.3
Mena,7473,9.0
Menard,797,8.3
Mendenhall,9821,10.9
Menno,3745,3.0
Menomonie,22494,6.1
Mentone,37483,6.5
Mentor,2079,3.5
Meraux,17494,12.2
Meredosia,2370,9.4
Meriden,6496,4.4
Meridian,37520,13.2
Merrill,13973,6.1
Merrimack,215215,5.9
Merry Point,4690,7.9
Meta,3551,10.0
Metter,4168,8.1
Metz,48349,5.8
Meyers Chuck,1088,7.5
Miami,1226698,33.3
Michigamme,29522,8.1
Middleton,15980,8.5
Middletown,87871,6.0
Midkiff,1326,4.3
Midland,178890,19.599999999999998
Midlothian,178143,11.7
Midvale,3650,9.7
Midville,8676,8.2
Midway,16645,10.4
Mikado,8780,12.1
Milford,18554,10.7
Mill Hall,17861,6.1
Mill Spring,4712,9.5
Millboro,2310,6.0
Miller,1768,1.7
Millersburg,132283,7.1
Milligan,2969,3.4
Mills,440,1.1
Millstone,170172,6.0
Millwood,16411,14.5
Milner,6860,15.6
Milnor,8800,3.0
Milton,136509,55.599999999999994
Miltonvale,4514,6.8
Milwaukee,445174,9.3
Minden,82123,21.1
Mineral,16077,8.1
Mineral City,42879,7.0
Mingo Junction,27871,8.8
Minnesota Lake,36492,4.9
Minong,6880,6.6
Minot,35580,2.6
Minter,14094,16.4
Minturn,38320,11.3
Mission,2901,25.4
Mitchell,39202,20.3
Moab,9767,15.5
Moatsville,6345,9.0
Mobile,170900,9.8
Moca,9245,23.0
Modale,7352,3.6
Model,7314,10.7
Mohall,1301,1.6
Molena,7323,10.4
Moline,68438,7.9
Monarch,37069,5.1
Monmouth,32687,10.8
Monongahela,99731,6.5
Monroe,24170,22.400000000000002
Monroe Center,24989,8.0
Monterey,15581,21.9
Monterville,3723,5.7
Montezuma,9751,6.4
Montgomery,122063,27.2
Monticello,78830,56.800000000000004
Montross,3199,8.7
Moore Haven,14732,11.9
Moorefield,2877,7.7
Moran,19390,8.0
Morenci,3346,10.0
Moreno Valley,920603,12.9
Morgan,4234,6.0
Morgantown,5003,6.1
Morovis,9804,21.7
Morris,5058,3.1
Morrison,28593,11.700000000000001
Morrisville,33023,5.1
Morrow,14998,9.6
Mosby,555,0.2
Moscow,99667,10.8
Mosheim,28160,8.7
Moss,2765,7.2
Moss Point,58824,9.1
Mossyrock,29297,12.1
Moulton,12704,9.8
Moultrie,18354,8.3
Mound City,755,1.4
Mound Valley,9572,5.3
Mounds,14956,10.4
Mount Airy,30107,6.9
Mount Ayr,2133,4.8
Mount Berry,39669,10.9
Mount Blanchard,11017,6.6
Mount Carmel,5501,8.7
Mount Eden,8691,6.4
Mount Hermon,15327,15.0
Mount Perry,37501,8.3
Mount Pleasant,225996,30.3
Mount Prospect,2463655,10.7
Mount Sterling,10612,20.1
Mount Vernon,38453,26.7
Mountain Home A F B,9981,8.4
Mountain View,919656,13.2
Mountville,27397,10.7
Moweaqua,9895,6.2
Mt Zion,48783,10.5
Muenster,18012,7.0
Mullen,331,2.9
Mullica Hill,141635,9.2
Muncie,51781,10.1
Muncy Valley,2632,8.7
Mundelein,338959,7.9
Munford,30618,13.8
Murchison,21856,6.1
Murdo,482,3.6
Murphysboro,25623,10.4
Murrayville,27118,15.100000000000001
Muscoda,8332,4.8
Nahunta,6702,10.9
Nancy,6681,12.6
Nantucket,6157,3.0
Naranjito,7315,21.9
Nardin,19588,7.8
Narrows,2504,8.7
Nashville,341548,7.2
Natchez,10730,11.3
Natchitoches,14446,12.2
Naylor,5480,10.1
Nekoma,1577,5.6
Nelson,7013,3.7
Neopit,1403,14.8
Neosho,9544,8.7
Neshkoro,10458,7.2
Nevada,9449,5.4
Nevis,9475,5.0
New Athens,17120,5.2
New Bern,4029,11.6
New Bloomington,25608,9.6
New Boston,43527,14.7
New Brighton,80816,6.8
New Columbia,17585,6.1
New Cumberland,13236,7.2
New Ellenton,69420,9.9
New Germany,52573,3.8
New Harmony,19636,10.5
New Holland,259601,6.1
New Iberia,31517,10.6
New Leipzig,1279,1.2
New London,137811,14.5
New Market,26061,13.5
New Orleans,380800,17.0
New Richland,28064,9.5
New Rockford,1208,1.9
New Salisbury,18294,7.9
New Vienna,16962,11.5
New York,884457,7.5
Newark,671386,35.3
Newaygo,18619,10.1
Newberg,44114,9.7
Newberry,2103,11.6
Newburgh,29930,5.0
Newbury,15314,4.5
Newcastle,686,2.6
Newell,10725,3.7
Newport,116511,20.0
Newport News,82572,9.1
Newton,40799,5.7
Newtown,321488,7.0
Nezperce,1547,6.5
Niagara,20523,8.2
Niagara University,100718,7.6
Nicholasville,23096,8.8
Nicollet,18672,4.0
Nineveh,7039,6.2
Niota,8595,6.8
Noatak,2593,21.9
Noblesville,208766,13.600000000000001
Nodaway,4660,9.6
Nolensville,97869,4.2
Noma,6118,15.4
Norcatur,2650,1.7
Nordland,11518,9.5
Norfolk,101764,10.9
Normal,90810,5.5
Norman,150695,8.8
Normandy,19939,7.7
Norphlet,16418,9.7
Norris,740,12.0
North Augusta,10099,8.9
North Beach,45249,7.6
North Carrollton,3705,11.9
North East,128541,8.0
North Fairfield,26987,7.2
North Hero,3697,7.4
North Java,18495,7.4
North Little Rock,180430,7.5
North Platte,222,0.9
North Sioux City,7576,2.9
North Washington,6148,3.8
Northway,3038,9.4
Northwood,1035,4.0
Norton,1811,11.1
Norwalk,25008,4.8
Norway,33811,12.8
Nottawa,26332,8.6
Nowata,42093,5.5
Oak,2219,2.9
Oak Grove,27773,24.6
Oak Vale,4638,10.8
Oakhurst,53032,7.5
Oakland,5055,5.7
Oakley,9771,5.7
Oakman,23587,8.3
Oaktown,17864,6.1
Oakwood,2061,2.7
Oberlin,138469,8.8
Ochlocknee,9291,10.5
Odem,28627,5.2
Odessa,70130,5.2
Odonnell,282,0.7
Ogallala,4116,2.8
Ogden,109474,6.3
Ogdensburg,25703,5.7
Okeechobee,13227,11.8
Oktaha,27158,8.2
Old Glory,553,6.9
Oldenburg,11103,6.4
Oldham,1174,4.1
Olla,3955,10.2
Olpe,16784,7.2
Omaha,292701,27.7
Onawa,4165,5.5
Oneida,10596,31.1
Opelika,22927,11.1
Oquawka,3350,7.0
Orange,35616,8.4
Orange Grove,16674,6.6
Orangeville,88133,7.4
Ordway,1488,6.3
Ore City,16849,7.9
Orient,1162,0.7
Orleans,22185,14.1
Orma,2511,18.1
Orocovis,19452,48.4
Oronoco,80162,4.1
Ortley,2652,3.9
Osceola,6442,10.2
Oshkosh,85970,4.7
Osnabrock,1968,0.8
Osseo,54079,5.8
Ossipee,22992,5.8
Otley,17247,5.4
Oto,51599,5.2
Otsego,51081,6.1
Otter Rock,19454,7.9
Otterbein,8127,10.8
Otterville,7916,5.7
Otwell,5902,5.1
Ouzinkie,7032,6.3
Overbrook,4127,4.0
Ovett,4131,12.9
Owasso,302471,6.5
Owenton,4351,8.6
Owyhee,25865,5.5
Oxford,61710,16.200000000000003
Ozona,1851,1.8
Pachuta,6257,7.9
Paducah,29824,18.7
Pageland,17730,10.3
Pagosa Springs,451,3.0
Paicines,26261,12.2
Paige,32343,9.8
Painesville,117389,6.0
Palco,1282,2.4
Palestine,19859,4.3
Palisade,6428,7.3
Palmer,20320,27.9
Palmersville,14342,11.2
Palmyra,73139,9.7
Palo Alto,387006,6.7
Pampa,9444,5.4
Panna Maria,5251,4.8
Pantego,18786,11.5
Panther Burn,1678,22.1
Paradise Valley,8295,7.8
Paragon,32732,7.3
Paragould,45526,7.5
Paris,33265,26.299999999999997
Parish,52204,9.7
Parker,4248,2.5
Parkersburg,36778,8.6
Parkesburg,260731,5.9
Parkman,14336,3.4
Parksville,12218,7.1
Parma,72481,19.1
Pateros,16969,8.9
Patillas,3884,27.5
Patoka,16013,4.3
Patterson,7071,7.9
Pattison,2411,17.5
Paul,9641,6.6
Paulding,8638,6.6
Pawhuska,19274,7.1
Pawling,143829,8.7
Pawnee Rock,16212,8.7
Paxico,3295,6.2
Payette,9393,10.1
Pearcy,39729,9.2
Pearson,2309,10.7
Pease,11752,7.7
Pecan Gap,1830,13.6
Peck,17147,10.7
Pecos,4768,6.7
Peebles,9887,13.4
Pelham,101343,5.5
Pellston,15869,8.4
Pemberville,28181,7.6
Pendleton,29304,4.3
Penfield,34110,7.8
Penns Grove,29226,10.6
Penrose,13794,6.9
Pensacola,130402,9.4
Penuelas,10015,48.6
Peoa,20741,3.2
Pequot Lakes,29263,5.7
Peralta,28088,12.4
Perkinston,8260,9.0
Perry,11339,15.8
Peru,1510,5.1
Peterman,3718,22.6
Petersburg,20815,27.1
Petrolia,91888,5.9
Pfafftown,162790,9.5
Philadelphia,652929,23.700000000000003
Phillips,6662,4.6
Phillipsburg,2746,4.3
Phoenix,1821038,7.7
Pickens,48562,5.4
Piedmont,2404,11.1
Pierre Part,9407,10.3
Pine,17961,12.8
Pine Brook,258862,6.3
Pine Grove,12573,14.0
Pine Island,10890,3.5
Pine Mountain,28677,11.9
Pinetop,31955,19.8
Pineville,14469,21.7
Pippa Passes,4755,14.6
Piqua,1557,4.6
Pisek,5457,3.3
Pismo Beach,124997,6.6
Pitkin,70325,16.1
Pitts,4895,11.7
Pittsburg,9378,5.8
Placerville,79568,11.1
Plain City,25357,4.2
Plainview,11221,3.6
Plainville,2626,4.1
Plano,61270,6.0
Plattsburg,9653,5.8
Plattsburgh,35522,6.9
Pleasanton,20521,5.8
Pleasantville,69708,6.9
Pleasureville,7099,6.6
Plum Branch,2970,14.3
Plum City,22567,3.6
Pocatello,40390,16.6
Point Baker,2819,13.9
Point Comfort,9416,7.2
Polk,24172,7.8
Polkton,9875,17.6
Pollock,6526,6.4
Polo,3889,5.2
Pomeroy,883,7.4
Pomona Park,96436,6.7
Ponce,41711,20.0
Pond Creek,2098,3.6
Poplar Bluff,17340,9.4
Poplar Grove,6932,18.1
Poplarville,18482,10.1
Poquoson,5932,4.5
Port Charlotte,56730,10.8
Port Huron,69940,10.4
Port Murray,53302,9.0
Port Saint Joe,77894,8.6
Portales,8131,9.7
Porter,18935,8.7
Portis,1884,4.0
Portland,404132,17.0
Portola,7200,15.2
Portsmouth,41039,11.6
Post,2018,2.0
Postville,8996,4.2
Poteau,18311,9.4
Poulan,8359,9.8
Powder River,41415,5.1
Powder Springs,70001,8.7
Powderly,20953,7.4
Powellsville,7158,13.5
Powers Lake,1084,2.3
Powhattan,4606,4.5
Prairie,7524,16.2
Prairie Du Sac,62017,11.3
Prescott,1557,10.4
Presidio,2610,9.6
Preston,11710,28.2
Primghar,7237,2.8
Prince George,14315,10.6
Princeton,17863,12.2
Prosser,101169,9.0
Providence,5186,7.2
Prudenville,7563,14.2
Prudhoe Bay,5499,9.3
Puerto Real,10747,25.1
Pukwana,653,16.3
Pulaski,11881,9.9
Punta Santiago,15802,13.8
Puryear,12592,9.7
Pyote,4661,4.4
Quakertown,170448,8.5
Quebradillas,6284,16.1
Quenemo,12701,6.9
Quincy,21376,19.6
Quitman,9699,10.2
Racine,91796,8.4
Radford,6797,8.8
Rainbow,3878,2.1
Raleigh,9841,13.0
Ralls,2478,10.0
Ralston,26027,7.1
Ranburne,6065,8.3
Randolph,8982,13.100000000000001
Rapid City,66519,7.1
Raquette Lake,1887,9.7
Ratliff City,20820,6.1
Ravenden,6714,5.4
Ravenna,4360,8.3
Ray City,3476,14.6
Rayville,8038,9.6
Raywick,7818,9.2
Red Boiling Springs,9657,7.4
Red Bud,13698,6.7
Red Cloud,1689,4.7
Red Springs,64574,25.2
Red Valley,18334,18.2
Redmond,74599,9.4
Redvale,4482,5.8
Redwood Falls,7577,4.0
Reed Point,1613,0.9
Reedy,4892,8.9
Reelsville,11766,7.8
Refugio,3096,6.7
Regent,1211,1.1
Register,31144,9.1
Reinbeck,6164,3.9
Reliance,6397,10.9
Rembert,41972,12.4
Remsen,12978,3.4
Renick,9519,8.9
Reno,207304,9.1
Rensselaer,15197,6.3
Resaca,16079,11.1
Reserve,1904,2.7
Rice,20159,10.9
Riceboro,5410,8.8
Richards,9951,6.2
Richburg,12296,13.8
Richey,4694,2.0
Richfield,2696,3.0
Richfield Springs,28464,7.1
Richmond,269424,16.7
Richton,26436,7.4
Richview,7194,5.5
Ridgeville,14841,12.4
Ridgeway,6958,10.7
Ridgway,17208,11.9
Rifle,3389,4.2
Rincon,38044,38.6
Ringgold,3241,9.2
Ringling,891,3.9
Ripon,280460,13.7
Rising City,4299,4.2
Rising Sun,48849,7.5
Riverside,24777,6.8
Rivervale,9053,10.0
Riviera,13466,11.7
Roanoke,122104,25.6
Roaring Spring,57253,6.4
Roaring Springs,459,11.0
Robersonville,9079,14.7
Roberts,51008,8.5
Robins,114142,4.8
Robinson,8369,6.8
Robstown,162895,6.6
Rochelle,2446,6.7
Rocheport,4533,6.3
Rochester,185492,15.0
Rock Island,2218,11.2
Rockford,100381,18.4
Rockville,540333,6.1
Rockwood,20586,9.8
Rogers,116539,11.5
Rogerson,4304,11.7
Rolla,1408,5.8
Rolling Fork,305,11.6
Roma,21006,13.8
Rome City,21795,8.8
Romney,86629,6.5
Roopville,47372,12.1
Roper,4410,15.5
Roscommon,5197,12.0
Roseau,8447,2.7
Roseboro,13040,12.1
Roseglen,4541,1.6
Roseville,5678,9.3
Rossburg,23751,7.6
Rosston,3265,9.5
Rossville,9224,8.2
Rotan,1767,7.2
Rowlett,41300,5.9
Roxie,3102,8.9
Rufus,746,7.9
Rugby,5034,4.0
Rumely,3166,10.8
Runnemede,241708,10.2
Rupert,2869,20.6
Russell,7585,12.7
Russell Springs,5926,9.0
Russellville,97184,42.6
Ruston,26077,18.8
Ruth,14477,9.5
Rutherfordton,8270,8.8
Ruthville,3323,8.2
Rutledge,11133,13.5
Sabana Grande,5339,24.3
Sacramento,3938,8.4
Sacred Heart,7573,5.0
Sadieville,32408,15.0
Safford,14819,25.299999999999997
Saginaw,81106,11.1
Saint Ansgar,5319,3.2
Saint Bonifacius,650324,6.0
Saint Clair,48336,7.2
Saint Clair Shores,401146,9.0
Saint Hilaire,7636,3.0
Saint John,4907,4.8
Saint Louis,639414,19.8
Saint Marks,12899,9.3
Saint Mary,9292,4.2
Saint Marys,31469,12.2
Saint Onge,13004,3.8
Saint Paris,18230,9.1
Saint Paul,266709,7.1
Saint Petersburg,423351,8.4
Saint Simons Island,36375,9.3
Saint Vincent,2182,2.8
Salem,163206,33.699999999999996
Salemburg,26833,10.4
Salina,15991,9.2
Salinas,184228,20.6
Salisbury,56519,11.5
Salt Lake City,536170,5.8
Saltillo,9438,13.9
Saluda,17612,4.7
Salvisa,10646,6.9
Salyersville,3663,12.2
San Acacia,5706,7.3
San Angelo,805,4.4
San Augustine,2237,16.3
San Bernardino,829145,12.6
San Francisco,478373,6.8
San German,29851,29.7
San Juan,439099,56.5
San Lorenzo,11327,15.8
San Rafael,129027,5.7
San Sebastian,8785,29.4
San Ygnacio,5184,12.2
Sand Lake,24588,11.2
Sanders,379,0.8
Sanderson,10174,8.9
Sandy Hook,14654,21.5
Sandy Ridge,19972,9.3
Sanford,71793,21.6
Santa Barbara,203616,8.0
Santa Fe,70423,7.9
Santa Rosa,240247,8.1
Santa Teresa,88919,11.5
Sarahsville,4641,7.0
Sarasota,155023,8.2
Sardis,5571,7.4
Satanta,3618,7.3
Saucier,6920,9.7
Sauk Rapids,20104,6.7
Saulsbury,8256,18.7
Savage,5904,2.5
Savannah,124627,9.7
Savonburg,5863,7.0
Sawyer,5308,8.9
Saxe,5266,4.9
Scandia,2455,3.8
Schellsburg,22499,7.3
Schlater,9422,16.3
Scobey,916,2.6
Scottown,11344,7.5
Scotts Hill,11115,9.4
Scottsville,376930,28.099999999999998
Seal Beach,1508753,7.6
Seattle,1079601,6.3
Sebasco Estates,17689,5.7
Secor,18798,5.9
Sedalia,34580,13.600000000000001
Sedgwick,1028,6.4
Selby,2595,5.8
Selfridge,1291,20.3
Selinsgrove,19403,5.0
Selmer,8901,14.9
Seminary,6628,13.7
Seneca,28796,10.4
Seney,2803,15.6
Senoia,62298,7.0
Sentinel,5057,3.5
Sextons Creek,5459,15.9
Seymour,1486,1.4
Shady Dale,5520,12.7
Shalimar,84899,6.9
Shallowater,10729,6.4
Shambaugh,7075,5.1
Sharon,9345,5.1
Sharon Grove,4648,8.5
Shattuck,1824,5.0
Shawnee,29366,6.8
Shawsville,7494,5.7
Sheboygan,59133,5.8
Shellsburg,13080,4.7
Shelton,463610,9.0
Sheridan Lake,723,2.0
Shermans Dale,22893,6.3
Sherwood,18328,7.0
Shields,16411,3.2
Shippenville,17055,8.1
Shipshewana,15663,5.5
Shirley,4332,7.0
Shoshone,2712,11.8
Shuqualak,3841,19.0
Sibley,3282,3.3
