City,Hispanic,White,Black,Native,Asian,Pacific
Ash,4.8,81.2,10.6,0.3,0.6,0.4
Ash Grove,5.1,89.4,1.6,0.45,1.15,0.05
Ashburn,7.550000000000001,55.650000000000006,34.3,0.1,1.25,0.0
Ashburnham,10.2,79.0,4.2,0.2,4.4,0.0
Ashford,0.5,98.0,0.7,0.0,0.1,0.0
Ashland,7.6,81.275,6.225,0.275,2.775,0.0
Ashley,2.9,94.0,1.5,0.8,0.3,0.0
Aspen,9.7,86.3,1.2,0.2,1.4,0.0
Assaria,10.5,80.9,3.1,0.5,2.5,0.1
Astoria,27.9,26.1,17.4,0.2,24.2,0.0
Atchison,2.8,88.2,4.1,0.4,0.3,0.1
Athens,6.566666666666666,74.60000000000001,14.433333333333332,0.3,2.0333333333333337,0.0
Atkins,3.9,81.8,12.0,0.7,0.1,0.0
Atlanta,1.2,96.3,0.4,0.6,0.0,0.0
Atlantic,8.8,60.9,28.6,0.4,0.1,0.0
Atlantic City,18.1,57.0,14.3,0.2,8.2,0.0
Attleboro,6.8,84.2,3.3,0.0,2.1,0.1
Atwood,2.3,85.2,10.3,0.4,0.2,0.0
Au Gres,1.8,95.2,0.5,1.3,0.2,0.0
Auburn,2.125,55.400000000000006,40.60000000000001,0.475,0.15000000000000002,0.0
Auburntown,1.8,94.7,1.6,0.3,0.3,0.0
Audubon,1.8,86.8,0.5,7.0,0.5,0.0
Augusta,3.75,73.6,18.675,0.175,2.0,0.05
Aurora,23.55,69.65,1.6,0.45,2.6,0.1
Austin,20.5,70.76666666666667,2.8666666666666667,1.366666666666667,2.3000000000000003,0.10000000000000002
Austinburg,3.8,90.2,3.4,0.1,0.5,0.0
Austinville,2.9,95.3,0.8,0.0,0.2,0.0
Autaugaville,2.6,75.8,18.5,0.4,1.0,0.0
Avera,3.3,41.8,54.3,0.1,0.1,0.0
Avinger,4.1,76.6,17.2,0.2,0.4,0.1
Avoca,26.6,55.6,15.1,0.4,0.3,0.0
Avondale,42.3,53.0,1.7,0.5,0.7,0.0
Axtell,22.6,59.0,15.9,0.15000000000000002,1.05,0.05
Axton,5.2,70.6,22.1,0.0,0.5,0.0
Azle,18.2,78.2,1.2,0.7,0.4,0.0
Bainbridge,2.1,95.0,0.8,0.3,0.5,0.0
Bajadero,99.5,0.4,0.0,0.0,0.0,0.0
Baker,1.0,95.6,1.3,0.3,0.4,0.0
Baker City,3.8,91.8,0.3,1.2,0.7,0.2
Bakersfield,26.45,65.75,2.8,0.55,2.5,0.05
Baldwin,2.9,91.7,2.7,0.4,0.7,0.0
Baldwyn,2.5,67.2,27.8,0.2,0.7,0.0
Balko,21.7,76.0,0.6,0.5,0.1,0.0
Ball Ground,9.9,80.2,6.1,0.2,1.7,0.0
Baltic,0.9,98.0,0.2,0.1,0.1,0.1
Baltimore,4.6,28.1,62.3,0.2,2.6,0.0
Bandana,1.2,93.4,3.4,0.5,0.6,0.0
Banks,0.9,57.1,38.2,0.8,2.1,0.0
Barceloneta,99.8,0.2,0.0,0.0,0.0,0.0
