City,Hispanic,White,Black,Native,Asian,Pacific
Chambers,0.0,99.8,0.0,0.0,0.2,0.0
Chapel Hill,8.3,69.8,11.5,0.4,7.3,0.0
Chapin,5.0,44.3,45.5,0.1,2.7,0.1
Chapmansboro,2.6,93.7,1.6,0.1,0.4,0.2
Chapmanville,0.9,95.8,2.1,0.2,0.4,0.0
Chappell,8.7,88.8,0.0,0.5,0.1,0.0
Charleston,3.8666666666666667,79.43333333333334,12.5,0.13333333333333333,1.1666666666666667,0.0
Charlo,4.0,66.3,0.2,23.3,0.4,0.0
Charlottesville,5.0,66.4,19.2,0.2,6.6,0.2
Chase,0.4,65.9,32.7,0.0,0.1,0.0
Chateaugay,3.3,81.9,5.4,7.2,0.4,0.0
Chatfield,2.7,92.0,1.4,0.4,2.6,0.0
Cherokee,12.349999999999998,71.95,6.1,6.8500000000000005,0.3,0.05
Cherryvale,2.8,92.9,0.2,0.5,0.6,0.0
Chesapeake,5.1,59.2,29.3,0.2,3.2,0.1
Chester,6.366666666666667,79.03333333333333,10.5,0.46666666666666673,1.9333333333333333,0.0
Chester Gap,3.9,87.9,4.0,0.2,1.0,0.0
Chesterland,1.3,95.8,1.3,0.0,0.6,0.0
Cheyenne,14.0,79.2,2.8,0.8,1.1,0.1
Cheyenne Wells,12.9,84.5,0.3,0.1,1.5,0.0
Chicopee,22.7,65.4,7.8,0.1,2.1,0.0
Chicora,0.7,97.4,0.9,0.0,0.2,0.0
Chiefland,8.0,80.1,9.1,0.4,0.5,0.0
Chili,4.1,93.8,0.4,0.3,0.4,0.0
Chillicothe,10.95,81.6,5.7,0.35,0.35,0.15
Chilton,3.9,91.7,0.7,0.6,2.3,0.0
Christiana,7.1,74.0,13.4,0.1,3.0,0.0
Christmas Valley,7.7,85.6,0.4,0.8,0.6,0.0
Church Hill,1.3,95.4,1.4,0.2,0.4,0.0
Ciales,99.5,0.5,0.0,0.0,0.0,0.0
Cibolo,36.7,52.6,6.7,0.2,1.6,0.0
Cidra,99.5,0.3,0.0,0.0,0.1,0.0
Cincinnati,2.8,66.8,25.6,0.1,2.2,0.0
Cincinnatus,2.5,92.9,1.5,0.1,0.9,0.0
Cisco,14.8,80.2,2.8,0.2,0.4,0.0
Claremont,3.15,89.7,0.5,4.6,0.2,0.0
Clarence,2.0,91.6,2.55,0.1,2.75,0.0
Clarendon,10.1,82.5,5.7,0.6,0.4,0.1
Clark,2.5,93.8,0.8,1.0,0.8,0.0
Clarks Mills,1.3,90.5,5.6,0.1,0.7,0.0
Clarksdale,2.1,95.2,0.8,0.5,0.2,0.0
Clarkson,5.0,92.5,0.6,0.1,0.3,0.0
Clarkston,3.6,91.6,0.4,1.1,0.9,0.3
Clay City,1.4,96.4,0.5,0.2,0.2,0.0
Clayton,11.14,80.58,1.8799999999999997,2.52,0.8,0.0
Cle Elum,8.5,84.6,0.9,0.8,2.2,0.1
Clearbrook,1.6,85.8,0.3,8.5,0.4,0.1
Cleveland,8.75,75.45,11.875,0.3,1.8499999999999999,0.0
Clifford,2.1,75.6,18.4,0.3,0.7,0.0
Clifton,9.7,87.1,1.0,0.30000000000000004,0.45,0.0
Clifton Forge,1.4,92.0,5.3,0.0,0.2,0.0
Clinton,1.0,87.6,9.1,0.0,0.5,0.0
Clio,4.6,46.2,46.7,0.2,0.4,0.0
Cloquet,1.6,88.6,1.2,5.4,0.6,0.0
Clover,4.8,71.8,18.8,0.6,1.7,0.0
Cloverdale,10.0,85.3,0.2,0.9,0.9,0.3
Cluster Springs,1.9,59.9,36.7,0.1,0.6,0.0
Coahoma,39.9,51.5,5.2,0.7,0.9,0.4
Coal City,9.0,87.6,1.4,0.1,0.7,0.0
Coalgate,3.6,71.0,0.3,11.5,0.2,0.0
Coamo,99.8,0.2,0.0,0.0,0.0,0.0
Coats,6.6,89.5,0.7,1.7,0.0,0.1
Coatsville,0.8,97.6,0.3,0.1,0.3,0.5
Coeburn,0.8,98.0,0.9,0.0,0.1,0.0
Coffeeville,0.1,55.5,43.5,0.0,0.5,0.0
Colby,5.4,91.5,1.8,0.3,0.1,0.1
Cold Brook,1.9,95.0,0.9,0.2,0.4,0.1
Coldwater,2.5,65.1,30.8,0.0,0.4,0.0
Colebrook,1.5,94.4,1.7,0.6,0.4,0.0
Coleman,1.85,94.2,0.8999999999999999,0.45,1.3499999999999999,0.0
Collierville,2.5,68.2,27.6,0.0,0.6,0.0
Collins,10.7,58.7,28.9,0.3,0.3,0.0
Collinston,1.2,49.8,47.3,0.1,0.3,0.0
Collison,4.6,79.4,13.8,0.3,0.8,0.0
Colonial Heights,5.0,76.8,12.7,0.6,3.5,0.0
Colorado City,38.7,48.7,10.6,0.3,0.5,0.0
Colt,4.4,41.2,51.7,0.3,0.3,0.0
Columbia,8.3,80.65,6.75,0.95,1.1,0.05
Columbia City,1.9,95.9,0.4,0.4,0.3,0.0
Columbia Falls,2.6,93.3,0.3,1.5,0.5,0.0
Columbiaville,4.4,92.3,1.3,0.2,0.5,0.0
Columbus,8.299999999999999,75.825,11.675,0.22499999999999998,2.05,0.07500000000000001
Columbus Grove,5.8,93.0,0.3,0.0,0.2,0.0
Comanche,6.8,81.4,1.9,5.7,0.5,0.0
Comer,3.9,76.3,16.0,0.4,0.3,0.0
Comerio,99.8,0.1,0.0,0.0,0.0,0.0
Comfort,21.8,75.1,0.7,0.0,0.7,0.0
Comfrey,7.0,87.7,0.6,0.5,2.7,0.0
Comins,1.3,96.0,0.4,0.7,0.1,0.1
Commerce,4.65,75.3,5.25,6.85,0.7,0.35
Commiskey,2.3,95.5,1.4,0.1,0.2,0.0
Concord,12.85,81.69999999999999,3.95,0.25,0.25,0.05
Concrete,17.5,75.7,0.7,1.3,1.8,0.4
Conehatta,1.6,62.3,30.4,4.8,0.3,0.0
Conley,13.1,13.7,65.8,0.2,5.2,0.0
Connellsville,1.0,92.4,4.0,0.1,0.2,0.2
Conover,1.8,85.5,0.2,8.9,0.5,0.0
Conrad,1.8,81.3,0.3,14.3,0.4,0.0
Conroe,22.2,69.1,3.4,0.3,2.5,0.0
Converse,3.0,86.2,6.9,0.2,1.2,0.0
Conway,4.0,57.8,35.050000000000004,0.30000000000000004,0.6000000000000001,0.1
Conway Springs,5.2,90.3,0.9,1.3,0.2,0.1
Cook Station,1.7,95.9,0.2,0.6,0.1,0.0
Coon Valley,1.5,96.5,0.5,0.2,0.5,0.0
Cooper,2.6,95.4,0.1,0.0,0.4,0.0
Coquille,5.9,85.8,0.6,2.5,1.2,0.1
Cora,7.7,88.1,0.0,0.0,0.5,0.0
Corinth,1.85,94.2,0.55,0.6000000000000001,0.55,0.0
Cornersville,4.9,86.0,7.0,0.0,0.5,0.0
Corning,23.5,70.1,0.5,1.8,1.3,0.2
Cornish,1.4,95.7,0.4,0.5,0.9,0.0
Corsica,6.1,90.0,0.4,2.4,0.2,0.0
Cortez,12.1,73.5,0.1,11.3,0.2,0.0
Corunna,2.6500000000000004,94.9,0.3,0.25,0.45,0.0
Corwith,3.7,94.2,0.6,0.1,0.3,0.0
Cosby,3.7,92.35,1.1,0.25,0.6,0.0
Coshocton,0.9,96.2,1.1,0.1,0.4,0.0
Cost,49.1,43.2,6.6,0.1,0.1,0.0
Cotopaxi,13.0,78.0,5.1,1.3,0.7,0.1
Cotter,1.9,95.3,0.3,0.6,0.5,0.0
Cotton Center,57.9,35.4,4.6,0.1,0.4,0.0
Cottonwood Falls,3.9,92.5,0.9,1.5,0.0,0.0
Cotulla,83.2,15.3,0.9,0.0,0.0,0.0
Couch,1.5,94.5,0.2,1.3,0.1,0.0
Coulee City,30.0,66.1,0.2,0.9,0.7,0.0
Council,3.1,93.5,0.0,1.7,0.1,0.0
Coupeville,6.6,80.9,2.8,1.0,4.6,0.5
Courtland,1.6,47.8,50.0,0.0,0.0,0.0
Cove City,6.9,66.6,21.1,0.4,2.4,0.1
Covington,3.1666666666666674,77.35,15.566666666666668,0.85,0.9833333333333334,0.08333333333333333
Coxsackie,5.3,86.2,5.8,0.0,1.0,0.0
Coy,0.6,27.4,72.0,0.0,0.0,0.0
Crab Orchard,6.300000000000001,88.1,3.65,0.35,0.6000000000000001,0.0
Craigsville,2.9,92.4,2.7,0.2,0.1,0.0
Craigville,4.4,94.1,0.7,0.1,0.3,0.0
Crane,30.1,66.55000000000001,1.9,0.55,0.3,0.05
Crawford,6.5,84.9,0.1,1.8,0.0,0.1
Crawfordsville,16.1,79.8,0.8,0.2,2.5,0.1
Crawfordville,3.05,45.0,50.5,0.0,0.6,0.0
Crayne,0.7,96.7,1.2,0.2,0.0,0.0
Crenshaw,0.9,28.3,70.2,0.0,0.0,0.0
Creole,4.2,92.2,3.1,0.0,0.3,0.0
Cresco,14.2,68.5,12.7,0.2,2.2,0.0
Crestline,1.4,96.0,0.7,0.0,0.4,0.0
Creston,1.35,96.15,0.9,0.4,0.15,0.0
Creswell,9.7,56.2,30.4,0.2,2.8,0.2
Cromwell,3.7,94.2,1.4,0.0,0.1,0.0
Crook,15.4,78.5,1.4,1.2,2.1,0.0
Cropwell,2.2,86.3,9.4,0.4,0.8,0.0
Crossville,14.0,80.9,1.8,1.1,0.3,0.1
Crowell,22.35,72.2,4.8,0.05,0.5,0.0
Crowley,19.5,74.6,2.5,0.5,0.8,0.4
Crown Point,17.7,54.8,24.4,0.2,1.3,0.0
Crystal Spring,1.1,96.5,1.3,0.2,0.1,0.0
Crystal Springs,2.8,45.2,50.8,0.0,0.5,0.0
Cub Run,1.6,92.0,4.7,0.2,0.2,0.0
Cuba,2.7,92.2,3.5,0.1,0.3,0.1
Culbertson,1.9000000000000001,66.65,0.1,27.9,0.15000000000000002,0.0
Culebra,95.7,3.4,0.0,0.3,0.0,0.0
Cullman,4.3,92.2,1.1,0.4,0.6,0.0
Cumberland,0.8,95.2,2.4,0.2,0.4,0.2
Cumberland Center,1.9,91.1,2.6,0.2,2.1,0.0
Cumberland Gap,1.0,95.6,1.1,0.0,0.4,0.1
Currie,3.2,94.3,0.4,0.3,0.4,0.4
Cushing,2.1666666666666665,91.73333333333333,0.8666666666666667,2.8333333333333335,0.3,0.0
Cusseta,7.65,58.75,27.549999999999997,0.75,1.85,0.15
Cut Bank,2.5,32.0,0.3,63.1,0.5,0.1
Cutler,2.3,86.3,8.7,0.3,0.4,0.0
Cuyahoga Falls,1.8,78.6,14.2,0.2,2.6,0.0
Cynthiana,1.0,96.4,1.3,0.0,0.4,0.0
Cypress,3.85,75.94999999999999,17.700000000000003,0.3,0.4,0.05
Daggett,1.6,93.7,0.3,2.0,0.2,0.0
Dahlonega,3.9,93.0,0.6,0.2,0.5,0.0
Dailey,0.8,96.2,1.9,0.2,0.2,0.0
Daisy,11.9,56.6,30.2,0.0,0.8,0.0
Dakota City,3.7,94.5,0.1,0.1,0.2,0.0
Daleville,4.833333333333333,64.9,26.333333333333332,0.5,1.0666666666666667,0.0
Dalhart,33.95,58.150000000000006,4.8,0.55,0.55,0.0
Dalton,3.9,89.7,2.7,0.2,1.5,0.0
Damon,28.9,50.6,12.8,0.3,5.9,0.0
Dana,8.8,86.9,2.4,0.1,0.7,0.0
Danville,2.8333333333333335,69.39999999999999,25.46666666666667,0.10000000000000002,1.0,0.0
Darlington,4.5,92.5,0.9,0.3,0.5,0.0
Datto,1.7,96.0,0.4,0.3,0.1,0.0
Davidson,7.2,76.8,12.1,0.3,2.3,0.0
Davis,0.5,97.7,0.2,0.0,0.6,0.0
Dawson Springs,1.6,90.2,5.85,0.1,0.25,0.15
Dawsonville,10.149999999999999,81.8,1.75,0.2,4.3500000000000005,0.0
Dayton,3.1666666666666665,82.56666666666666,10.033333333333333,0.13333333333333333,1.6666666666666667,0.0
De Borgia,1.6,97.3,0.1,0.5,0.2,0.0
De Mossville,1.1,97.1,0.6,0.1,0.0,0.0
De Queen,32.2,59.3,4.7,1.9,0.5,0.0
De Smet,2.1,95.4,0.6,0.1,0.6,0.0
De Soto,1.1,95.5,1.8,0.6,0.4,0.0
Dearborn,5.9,84.5,5.1,0.2,0.9,0.2
Deary,4.0,89.9,0.6,0.6,2.2,0.0
Decatur,4.6,85.85,6.85,0.3,0.3,0.05
Decorah,3.75,93.65,0.8,0.15000000000000002,0.75,0.0
Dedham,3.8,78.1,6.0,0.1,9.7,0.0
Deer Island,4.6,89.5,0.5,1.2,1.1,0.2
Deer Lodge,1.1,93.4,4.3,0.0,0.0,0.0
Deer Park,1.3,65.2,24.9,8.1,0.4,0.0
Deer Trail,6.2,89.9,0.5,0.4,0.5,0.0
Deerfield,6.2,80.8,5.0,0.2,5.4,0.0
Defuniak Springs,5.9,84.3,5.1,0.9,1.2,0.2
Delcambre,3.0,78.8,14.1,0.6,2.1,0.0
Delta,14.2,83.1,0.5,0.2,0.35,0.15
Deltona,12.1,73.9,10.3,0.3,1.7,0.0
Deming,64.1,33.0,1.0,0.9,0.4,0.1
Denhoff,0.3,98.2,0.0,0.4,0.0,0.0
Denmark,1.3,35.5,62.3,0.1,0.4,0.0
Dennis,2.6,91.1,2.5,0.4,1.4,0.0
Denver,16.15,74.65,4.7,0.3,1.75,0.05
Denver City,50.6,46.55,1.25,0.2,0.65,0.15
Depew,3.7,77.4,2.3,10.2,0.5,0.0
Derry,2.5,93.5,0.7,0.1,1.8,0.0
Detroit,5.5,49.8,39.2,0.3,2.9,0.0
Devol,7.0,77.2,2.0,8.0,0.6,0.0
Dewy Rose,4.45,69.69999999999999,25.05,0.05,0.30000000000000004,0.0
Dexter,2.0666666666666664,93.83333333333333,2.066666666666667,0.16666666666666666,0.7666666666666667,0.06666666666666667
Diaz,2.8,77.6,17.2,0.5,0.2,0.0
Dickinson,2.35,71.85,23.2,0.45,0.8500000000000001,0.25
Dilley,78.1,17.0,3.9,0.0,0.4,0.0
Dillon,14.7,81.0,1.2,0.2,0.9,0.4
Dingmans Ferry,9.9,81.8,5.5,0.2,1.2,0.0
Dinwiddie,2.8,62.6,32.8,0.1,0.4,0.0
Disputanta,3.3,38.5,55.8,0.3,0.1,0.1
Divide,6.1,89.6,1.1,0.3,0.9,0.0
Dixfield,1.1,95.8,0.4,0.5,0.6,0.0
Dixon Springs,0.4,85.5,12.0,0.0,1.2,0.0
Dodge,10.05,87.6,0.2,0.15000000000000002,0.44999999999999996,0.1
Dodson,1.5,56.3,16.400000000000002,24.35,0.0,0.15
Dolliver,9.0,88.5,1.4,0.4,0.2,0.0
Donaldsonville,5.0,69.8,21.8,0.1,0.9,0.0
Donnelly,1.4,97.0,0.0,0.0,0.2,0.0
Doon,2.5,96.3,0.1,0.2,0.3,0.0
Dorado,98.7,1.05,0.15000000000000002,0.0,0.0,0.0
Doswell,2.5,84.7,9.2,0.1,1.5,0.0
Dothan,2.85,68.0,27.299999999999997,0.15,0.4,0.0
Douglas,10.9,59.3,28.2,0.1,0.6,0.0
Douglass,18.5,60.4,18.0,0.4,1.6,0.0
Douglasville,8.8,45.9,41.2,0.1,1.7,0.0
Dove Creek,5.9,90.7,0.0,1.2,0.0,0.2
Dover,10.5,70.95,11.95,2.25,1.05,0.0
Dow City,27.0,69.1,1.0,0.9,0.3,0.2
Downsville,4.3,68.1,25.8,0.0,0.2,0.2
Doyle,2.0,94.0,1.7,0.0,0.0,0.0
Doylesburg,4.9,89.2,3.6,0.2,1.0,0.0
Drakes Branch,4.0,60.0,33.8,0.1,0.3,0.0
Drewsey,4.6,87.8,0.7,4.1,0.6,0.1
Driscoll,5.0,94.7,0.0,0.0,0.0,0.0
Drummond,1.5,85.4,0.6,9.9,0.4,0.0
Dry Branch,0.1,55.8,42.0,0.1,0.0,0.0
Dryden,68.0,27.8,1.6,0.8,1.8,0.0
Du Bois,1.8,92.7,0.0,2.0,0.3,0.0
Duck Hill,1.1,52.5,45.0,0.0,0.2,0.0
Dudley,2.5,59.4,36.0,0.1,1.1,0.0
Duke Center,2.0,93.8,2.3,0.2,0.5,0.0
Dulce,71.5,13.1,0.4,14.0,0.4,0.0
Duluth,1.4,91.7,1.5,1.9,1.0,0.0
Dumont,1.1,97.1,0.2,0.2,0.1,0.0
Dundee,0.3,22.6,75.8,0.1,0.6,0.0
Dunellen,19.6,46.1,9.2,0.1,23.2,0.0
Dunn Center,2.8,83.1,0.1,9.9,1.3,0.1
Dunning,0.0,98.7,0.0,0.0,0.4,0.4
Dupree,3.7,23.7,0.3,70.6,0.7,0.0
Durand,1.4,97.0,0.4,0.1,0.2,0.0
Durango,19.3,76.7,0.0,1.5,0.0,0.0
Durant,0.3,16.3,82.6,0.0,0.4,0.0
Durham,13.4,42.1,37.1,0.3,4.6,0.0
Dustin,4.6,65.2,5.8,17.9,0.0,0.0
Dutch John,2.3,95.7,0.0,1.0,0.0,0.0
Eagle,7.6,85.5,1.1,0.5,2.6,0.2
Eagle Pass,95.2,3.1,0.1,0.9,0.5,0.0
Eagle River,1.4,95.4,0.6,1.0,0.6,0.0
Earle,2.0,59.0,36.75,0.25,0.6,0.1
Earling,2.4,95.7,0.2,0.1,0.5,0.0
East Concord,5.0,76.6,13.0,0.4,3.1,0.0
East Jordan,1.6,94.3,0.3,1.4,0.4,0.0
East Nassau,4.3,84.6,5.7,0.0,2.3,0.0
East Peoria,2.2,94.3,1.2,0.1,0.9,0.0
East Prairie,1.9,72.3,24.1,0.3,0.0,0.0
East Stone Gap,1.2,92.0,5.3,0.1,0.5,0.0
Eastsound,5.8,89.3,0.5,0.7,1.4,0.1
Eastview,5.6,76.5,11.2,0.2,2.3,0.4
Eaton,1.4,96.1,0.6,0.1,0.2,0.0
Eatonton,6.6,65.3,26.6,0.0,0.4,0.0
Eau Claire,1.4,94.2,1.3,0.3,1.2,0.0
Ebro,3.4,77.4,15.1,0.7,0.1,0.1
Echola,3.2,63.5,30.6,0.1,1.5,0.0
Eckert,14.7,82.1,1.0,0.5,0.6,0.0
Edelstein,4.4,71.2,17.3,0.3,3.7,0.0
Edgartown,0.8,92.1,3.1,0.8,0.8,0.0
Edgemont,3.0999999999999996,88.44999999999999,0.7000000000000001,5.199999999999999,0.55,0.0
Edgerton,2.4,94.8,0.5,0.6,0.9,0.0
Edgewood,40.6,53.9,1.3,2.0,0.0,0.0
Edinburg,3.2,92.8,0.2,2.4,0.1,0.0
Edison,1.3,96.3,0.4,0.1,0.1,0.0
Edon,4.0,93.3,1.1,0.2,0.4,0.2
Edson,12.1,84.8,1.4,0.2,0.0,0.0
Egegik,2.2,21.0,0.5,67.6,3.2,0.7
Ekalaka,0.7,98.0,0.0,0.2,0.0,0.0
El Cerrito,24.9,46.0,8.6,0.3,15.1,0.5
El Paso,79.85,16.3,2.1,0.15,0.9,0.05
El Reno,7.8,78.0,2.3,3.9,3.1,0.0
Eldorado,38.5,54.95,3.3499999999999996,0.35,0.9,0.0
Eldridge,6.1,81.6,7.6,0.2,2.3,0.0
Electra,8.1,88.8,0.6,1.3,0.5,0.0
Electric City,39.7,56.0,0.6,0.9,1.0,0.0
Elfrida,33.9,56.7,3.6,0.8,1.7,0.1
Elgin,27.15,61.15,8.4,0.05,2.0500000000000003,0.0
Elizabeth,3.9,70.5,19.9,2.0,0.8,0.0
Elizabeth City,3.55,67.65,25.299999999999997,0.4,1.8,0.15
Elk City,6.0,80.4,5.1,2.7,0.9,0.2
Elk Horn,1.4500000000000002,93.95,2.1,0.15000000000000002,0.6,0.0
Elk Park,4.7,87.3,4.1,0.5,0.5,0.0
Elkhart,14.8,76.1,5.6,0.1,1.1,0.0
Elkton,5.2,88.8,0.3,1.3,0.8,0.1
Ellabell,6.1,74.7,14.8,0.5,2.0,0.0
Ellaville,4.5,71.0,23.9,0.0,0.2,0.0
Ellenboro,2.1,84.94999999999999,10.450000000000001,0.2,0.45,0.0
Ellendale,9.2,74.8,12.4,0.3,1.1,0.0
Ellinger,19.6,72.6,7.2,0.0,0.1,0.0
Elliott,2.3,95.9,0.4,0.2,0.4,0.1
Elliottville,1.2,94.3,1.7,0.3,0.5,0.0
Ellsinore,1.9,94.7,0.1,1.1,0.0,0.0
Ellsworth,3.1,93.7,0.44999999999999996,0.0,1.6500000000000001,0.0
Ellwood City,1.2,92.3,3.7,0.1,0.4,0.0
Elm City,9.9,48.3,38.2,0.3,0.9,0.1
Elm Creek,32.7,61.8,4.4,0.5,0.1,0.0
Elmendorf,59.1,29.3,7.1,0.2,2.5,0.0
Elmira,2.9,86.6,5.7,0.4,1.5,0.0
Elmo,6.2,93.2,0.2,0.1,0.1,0.0
Eltopia,51.5,42.3,1.8,0.3,2.0,0.1
Ely,14.6,74.1,4.0,5.1,0.7,0.3
Emmetsburg,2.0,95.5,1.3,0.1,0.4,0.0
Emory,8.2,86.1,2.3,0.7,0.5,0.0
Empire,5.75,78.6,11.0,0.4,1.95,0.2
Emporia,3.0,39.2,55.1,0.2,1.0,0.0
Encampment,17.4,78.4,1.4,0.6,0.2,0.1
Enders,11.0,87.4,0.0,0.0,0.0,0.0
Endicott,61.5,36.2,0.2,0.1,0.6,0.1
Energy,26.9,71.2,0.4,0.1,0.3,0.0
Enfield,1.9500000000000002,68.1,26.15,1.6,0.6000000000000001,0.0
Engadine,1.4,74.8,1.7,15.7,0.5,0.0
Englewood,10.1,82.65,1.0,0.95,2.4,0.2
Englishtown,10.3,75.9,6.7,0.0,5.3,0.0
Enigma,4.9,82.1,10.9,0.1,0.7,0.0
Ennice,9.3,87.3,2.2,0.1,0.2,0.0
Enochs,60.1,37.5,1.9,0.1,0.4,0.1
Enola,4.0,81.4,11.3,0.3,1.3,0.0
Enterprise,1.5333333333333334,74.33333333333333,22.466666666666665,0.16666666666666666,0.10000000000000002,0.06666666666666667
Epping,4.5,86.8,1.8,4.1,0.3,0.1
Epps,1.8,35.1,62.0,0.3,0.1,0.0
Epworth,2.0,95.4,0.3,0.2,0.5,0.0
Equality,0.9,95.9,0.4,0.6,0.5,0.0
Erbacon,0.44999999999999996,97.55000000000001,0.25,0.2,0.2,0.05
Erick,13.5,76.7,3.4,1.0,0.8,0.1
Ericson,1.2,97.3,0.6,0.0,0.0,0.0
Erie,4.9,90.7,1.0,0.3,0.2,0.1
Erlanger,2.9,89.2,4.5,0.2,1.2,0.0
Escalante,4.3,92.0,0.2,0.2,0.1,0.0
Esom Hill,12.7,71.9,13.3,0.0,0.8,0.0
Essex,4.8,60.3,26.7,0.2,5.6,0.0
Essig,3.7,94.5,0.4,0.1,0.4,0.1
Ethan,1.0,92.8,3.5,1.9,0.2,0.4
Ettrick,6.6,91.6,0.5,0.2,0.5,0.0
Eudora,5.199999999999999,53.7,39.95,0.35,0.2,0.0
Eufaula,2.4,68.6,3.5,14.6,0.5,0.0
Eupora,1.3,77.8,19.6,0.0,0.2,0.0
Eutaw,0.7,17.8,80.6,0.1,0.2,0.0
Evans,0.0,97.4,0.7,0.1,0.2,0.0
Evansville,2.7,89.15,5.1,0.25,0.8500000000000001,0.05
Evant,17.5,60.1,14.3,0.4,1.8,0.8
Everson,8.7,80.3,0.8,2.6,3.9,0.3
Everton,1.8,94.3,0.5,0.5,0.1,0.1
Ewing,1.8,93.0,3.7,0.2,0.2,0.0
Fairbanks,7.4,71.9,4.1,5.7,2.6,0.6
Fairbury,4.3,89.2,5.4,0.0,0.3,0.0
Fairfax,16.4,59.8,4.7,0.1,15.4,0.1
Fairfield,3.5666666666666664,93.5,0.4333333333333333,0.6666666666666666,0.4666666666666666,0.0
Fairmont,5.949999999999999,85.25,3.35,1.1500000000000001,0.75,1.05
Fairplay,5.7,90.4,0.0,1.1,1.0,0.8
Fairview,8.9,85.9,0.4,2.4,0.0,0.0
Faith,1.6,95.6,0.1,1.9,0.0,0.0
Falfurrias,92.9,5.1,0.1,0.0,1.9,0.0
Fall Branch,3.2,89.5,3.9,0.3,1.4,0.0
Fallon,13.1,74.6,2.1,4.4,2.7,0.3
Falls Church,9.7,72.6,2.1,0.0,11.4,0.0
Falmouth,2.5,94.9,0.4,0.6,0.4,0.0
Fannin,35.5,58.5,5.3,0.0,0.1,0.1
Fanwood,29.4,42.4,20.3,0.1,4.8,0.0
Farber,2.8,87.4,6.6,0.1,0.1,0.0
Faribault,7.8,84.4,3.8,0.5,2.3,0.1
Farina,1.7,92.0,4.2,0.1,0.7,0.0
Farmersville,1.6,88.1,8.8,0.2,0.5,0.0
Farmington,19.6,41.0,0.5,36.3,0.5,0.1
Farmland,3.2,94.5,0.4,0.1,0.1,0.0
Farnsworth,50.9,46.6,0.2,0.7,0.4,0.0
Federalsburg,5.199999999999999,71.0,20.65,0.05,0.75,0.0
Felt,17.4,80.8,0.2,0.2,0.1,0.0
Ferdinand,2.7,95.4,0.6,0.2,0.3,0.1
Fernandina Beach,3.7,87.2,6.4,0.3,0.9,0.0
Fernley,15.6,76.7,0.8,2.3,1.3,0.1
Fernwood,3.2,84.6,0.3,8.9,0.5,0.1
Ferriday,1.2,57.0,41.1,0.1,0.1,0.1
Fertile,5.8,89.0,1.1,1.0,0.8,0.0
Festus,1.0,95.6,0.7,0.1,0.0,1.7
Fieldton,53.5,41.0,4.4,0.3,0.2,0.0
Firebaugh,51.6,31.2,4.7,0.5,9.6,0.1
Fischer,26.3,69.4,1.9,0.1,0.9,0.0
Fish Camp,10.1,81.7,1.1,2.3,1.3,0.1
Flandreau,3.0,79.1,0.7,12.1,1.7,0.0
Flemington,2.1,94.0,1.0,0.7,0.2,0.0
Fletcher,0.3,94.5,2.0,0.6,0.1,0.0
Flintville,3.0,87.5,5.2,0.2,0.1,0.0
Florence,1.7,75.45,20.85,0.44999999999999996,0.65,0.0
Florida,99.4,0.3,0.1,0.0,0.1,0.0
Fluker,3.8,63.9,29.6,0.3,0.8,0.0
Flushing,3.2,72.5,20.3,0.4,1.0,0.0
Folkston,11.3,62.2,25.0,0.7,0.2,0.0
Fond Du Lac,4.8,90.9,1.1,0.4,1.3,0.0
Fontana Dam,1.5,88.0,0.5,7.6,0.0,0.0
Ford,3.2,87.2,0.5,4.8,0.6,0.0
Forest,0.3,74.7,24.7,0.0,0.1,0.0
Forest City,3.133333333333333,91.2,3.8000000000000003,0.39999999999999997,0.6666666666666666,0.0
Forest Hill,1.8,91.6,4.9,0.3,0.1,0.0
Foristell,2.2,93.5,1.9,0.3,0.5,0.0
Forrest City,2.3,41.0,56.4,0.1,0.0,0.0
Fort Bragg,23.6,66.7,0.6,3.4,1.9,0.2
Fort Buchanan,98.6,1.1,0.1,0.0,0.1,0.0
Fort Collins,10.9,83.5,0.8,0.4,2.0,0.1
Fort Davis,38.5,59.1,0.3,0.9,1.1,0.0
Fort Johnson,2.7,93.3,1.6,0.1,0.6,0.0
Fort Lauderdale,27.0,40.4,26.9,0.2,3.4,0.0
Fort Morgan,35.0,60.5,2.5,0.5,0.4,0.0
Fort Pierce,17.3,59.8,19.1,0.2,1.8,0.0
Fort Plain,12.3,83.6,1.5,0.1,0.7,0.0
Fort Scott,2.3,91.0,3.5,0.8,0.9,0.0
Fort Stewart,11.7,42.4,39.3,0.4,2.1,0.4
Fort Valley,3.65,81.3,12.5,0.2,0.7,0.0
Fort Wayne,7.0,75.2,11.3,0.2,3.2,0.0
Fortine,2.6,93.5,0.1,1.3,0.6,0.0
Fortuna,10.6,75.7,1.1,4.6,2.6,0.3
Fouke,3.0,69.8,24.7,0.4,0.1,0.0
Fountain,8.6,54.56666666666666,32.0,0.3333333333333333,1.5,0.13333333333333333
Fountaintown,3.9,92.8,1.3,0.0,0.7,0.0
Fowler,7.9,87.5,2.1999999999999997,0.15000000000000002,0.9,0.05
Francis,4.7,67.6,2.3,7.3,0.9,0.0
Frankfort,14.5,83.8,0.7,0.2,0.3,0.1
Franklin,4.744444444444444,77.78888888888889,14.788888888888888,0.1,0.8666666666666667,0.044444444444444446
Frankston,11.7,79.5,6.5,0.6,0.6,0.1
Frazer,2.0,85.6,0.2,10.1,0.2,0.2
