City,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Arena,76.4,11.1,0.4,4.1,1.7,6.4,26.1
Arkadelphia,79.2,10.7,0.4,4.1,1.3,4.3,21.5
Arlington,72.46666666666665,8.1,8.233333333333333,3.8333333333333335,2.0,5.3999999999999995,24.383333333333336
Armagh,80.5,8.5,0.6,5.3,1.9,3.2,22.2
Armour,73.3,5.7,0.5,5.2,0.8,14.5,14.4
Armstrong,94.6,0.0,0.0,5.4,0.0,0.0,16.6
Arnett,84.3,9.7,0.1,1.9,1.2,2.7,24.3
Arnold,71.63333333333334,11.266666666666666,0.03333333333333333,5.966666666666666,1.5666666666666667,9.6,17.266666666666666
Arpin,82.0,8.2,0.2,4.1,1.9,3.6,18.9
Arroyo,85.1,11.0,2.1,0.8,0.0,1.0,21.3
Artemus,85.8,9.5,0.9,1.4,0.2,2.1,20.9
Ash,79.6,13.3,0.4,0.7,1.2,4.8,23.7
Ash Grove,79.85,11.55,0.39999999999999997,2.1500000000000004,1.6,4.45,20.85
Ashburn,78.95,12.5,0.35,1.5,2.95,3.8,22.2
Ashburnham,81.7,8.7,1.6,2.7,1.0,4.2,28.3
Ashford,87.0,8.7,0.0,2.7,0.1,1.5,30.4
Ashland,78.025,10.9,3.1750000000000003,3.225,1.425,3.2750000000000004,25.5
Ashley,75.8,7.4,0.3,9.4,0.7,6.4,12.5
Aspen,52.3,8.4,11.9,10.4,6.5,10.4,17.8
Assaria,83.0,8.4,0.5,1.8,3.1,3.2,14.4
Astoria,31.6,6.4,52.3,5.8,1.5,2.4,42.6
Atchison,73.6,10.9,0.1,7.4,1.0,6.9,20.8
Athens,82.60000000000001,10.066666666666666,1.4999999999999998,1.8666666666666665,1.3,2.6666666666666665,22.866666666666664
Atkins,81.9,12.8,0.6,1.3,1.3,2.2,24.7
Atlanta,82.6,7.7,0.0,3.0,0.8,6.0,27.2
Atlantic,79.9,11.2,0.5,4.0,1.7,2.7,20.9
Atlantic City,76.1,8.3,7.4,3.4,2.8,2.0,23.8
Attleboro,82.1,9.0,2.5,2.3,0.9,3.1,27.6
Atwood,85.5,8.1,0.2,1.6,2.3,2.3,24.7
Au Gres,81.5,9.6,0.8,2.9,1.5,3.7,26.2
Auburn,80.075,11.975,0.35,3.575,1.7249999999999999,2.3,24.175
Auburntown,82.2,12.4,0.2,1.0,0.8,3.4,33.5
Audubon,77.8,10.8,0.4,2.9,1.5,6.6,22.8
Augusta,84.125,9.375,0.525,1.725,0.85,3.3999999999999995,27.124999999999996
Aurora,77.69999999999999,13.25,1.9500000000000002,1.75,1.1,4.300000000000001,25.65
Austin,69.83333333333333,13.733333333333334,5.533333333333334,4.866666666666666,1.7666666666666668,4.3,22.0
Austinburg,83.4,9.3,0.8,1.9,1.5,3.1,25.2
Austinville,83.5,12.6,0.2,0.5,0.2,3.0,25.3
Autaugaville,87.5,8.8,0.1,0.5,1.3,1.8,26.5
Avera,78.3,14.0,0.6,2.9,0.5,3.7,24.5
Avinger,88.1,5.8,0.3,1.2,2.3,2.3,25.1
Avoca,78.4,15.9,0.0,1.7,1.7,2.3,21.4
Avondale,79.9,12.2,1.0,2.7,1.2,3.0,21.1
Axtell,81.55,11.9,0.2,1.65,1.1,3.6,19.5
Axton,87.8,8.9,0.3,0.2,0.6,2.2,23.9
Azle,82.1,10.9,0.0,0.8,0.6,5.5,32.2
Bainbridge,75.9,12.5,0.7,5.0,0.8,5.2,23.7
Bajadero,85.7,9.4,0.5,2.3,0.5,1.7,27.9
Baker,78.1,6.7,0.0,5.7,0.6,8.9,13.2
Baker City,72.3,11.2,0.2,5.9,3.1,7.3,15.6
Bakersfield,81.19999999999999,11.4,0.6000000000000001,1.4,2.1,3.3,21.65
Baldwin,83.9,8.1,0.9,2.5,1.2,3.4,19.5
Baldwyn,88.0,8.1,0.3,1.0,0.7,1.9,19.5
Balko,84.6,7.4,0.6,2.7,0.8,3.9,19.8
Ball Ground,80.1,8.9,0.4,0.9,1.9,7.8,32.7
Baltic,51.7,21.8,0.3,6.9,10.5,8.9,21.8
Baltimore,60.2,9.2,18.6,6.7,2.1,3.1,30.5
Bandana,85.9,6.4,1.8,0.8,2.5,2.6,23.7
Banks,87.2,5.8,0.7,2.2,0.9,3.2,19.2
Barceloneta,82.1,7.1,0.0,6.3,1.9,2.6,24.9
Barksdale,56.2,14.4,0.0,5.7,7.2,16.5,23.2
Barnesville,78.65,13.100000000000001,0.35,2.1,0.95,4.8,21.200000000000003
Barnhart,85.8,9.8,0.2,0.5,0.4,3.1,30.3
Barnum,84.3,7.1,0.4,2.0,1.5,4.7,16.1
Barranquitas,89.25,5.050000000000001,0.7,2.2,0.15,2.55,32.6
Bartlett,80.6,9.4,0.7,0.9,1.4,6.9,27.2
Barton,84.8,8.7,0.5,1.4,1.3,3.3,23.3
Bartow,82.0,12.0,0.5,0.6,2.7,2.2,21.3
Basehor,81.5,12.5,0.1,1.9,1.4,2.6,22.3
Basile,80.2,12.8,0.2,2.4,2.5,2.0,27.8
Bassett,79.7,14.4,0.1,1.5,2.3,1.9,17.9
Batavia,83.2,8.6,0.4,3.4,1.6,2.9,21.9
Bates,72.8,11.4,0.8,5.5,1.4,8.1,18.2
Batesburg,77.6,12.2,2.0,1.8,1.7,4.8,30.7
Batesville,83.6,7.6,0.3,1.7,2.0,4.9,26.3
Bath,82.3,9.2,0.3,3.3,1.4,3.5,25.6
Bath Springs,87.5,6.3,0.1,1.6,1.0,3.5,26.7
Battle Creek,81.3,10.7,0.3,2.1,2.3,3.4,14.7
Battle Ground,81.8,10.9,0.2,1.9,1.3,4.0,24.1
Battle Mountain,61.1,8.1,3.9,25.0,0.0,2.0,17.0
Bauxite,85.9,9.8,0.2,0.7,0.8,2.7,25.5
Bay City,83.6,10.899999999999999,0.75,1.95,0.7,2.0999999999999996,22.3
Bay Port,81.3,9.2,0.5,3.6,1.1,4.3,20.7
Bayamon,75.2,12.9,4.8,2.0,3.3,1.9,35.6
Bayport,79.3,7.9,6.5,1.6,1.2,3.5,31.4
Beach,71.4,8.3,0.0,9.4,2.1,8.8,12.7
Beach Haven,82.5,7.5,2.1,1.6,1.6,4.7,30.9
Bealeton,78.8,9.9,1.4,1.6,0.9,7.2,39.8
Bear Creek,76.6,10.8,1.1,1.1,2.6,7.8,28.3
Beattyville,79.8,14.1,0.0,1.1,0.0,5.1,32.5
Beaufort,75.5,11.5,0.5,2.7,2.8,6.9,21.9
Beaumont,83.1,7.9,0.0,1.6,0.5,7.0,22.9
Beaverton,77.15,9.55,3.7,2.75,1.9,4.949999999999999,25.4
Bechtelsville,80.2,9.8,1.7,3.3,1.5,3.6,24.4
Becker,83.0,9.2,1.4,0.7,1.4,4.3,32.3
Bedford,86.3,10.1,0.0,0.3,1.1,2.3,29.6
Bee Branch,83.4,10.3,0.2,1.8,1.1,3.3,27.4
Beeson,84.4,9.3,0.5,2.8,1.1,2.0,21.6
Beeville,81.0,13.2,0.0,2.4,1.5,1.9,23.0
Bejou,79.1,6.5,0.3,4.2,1.5,8.4,21.7
Belden,86.6,9.0,0.1,0.7,1.5,2.1,24.1
Belgium,84.6,6.1,0.5,1.7,1.3,5.7,24.0
Bella Vista,81.9,8.1,0.7,2.1,1.8,5.5,20.0
Bellaire,74.3,14.7,0.6,2.2,1.1,7.0,24.5
Belle Plaine,83.9,7.3,1.8,0.9,1.1,5.0,26.4
