City,Professional,Service,Office,Construction,Production
Auburn,96.30000000000001,71.0,89.80000000000001,52.60000000000001,90.5
Auburntown,26.6,14.2,23.5,12.4,23.4
Audubon,32.7,17.5,20.2,13.7,15.9
Augusta,144.0,65.2,99.4,39.5,51.8
Aurora,55.1,34.1,44.1,26.6,40.1
Austin,91.2,44.0,53.900000000000006,59.699999999999996,51.1
Austinburg,25.3,18.5,22.2,10.1,23.9
Austinville,26.8,18.0,20.2,14.6,20.4
Autaugaville,33.2,17.0,24.2,8.6,17.1
Avera,24.4,21.8,14.9,14.5,24.4
Avinger,21.3,19.2,24.4,14.9,20.2
Avoca,28.3,20.4,24.5,14.7,12.1
Avondale,30.1,22.8,25.7,9.8,11.7
Axtell,61.9,39.8,43.2,24.5,30.6
Axton,25.0,16.5,26.7,9.4,22.4
Azle,28.5,15.6,25.1,14.0,16.8
Bainbridge,31.2,18.6,22.0,10.0,18.1
Bajadero,29.4,19.9,28.9,8.5,13.3
Baker,30.2,17.3,18.1,19.3,15.1
Baker City,36.7,14.2,22.5,13.8,12.8
Bakersfield,51.7,40.3,43.4,33.2,31.4
Baldwin,27.8,17.1,24.2,10.0,21.0
Baldwyn,30.8,16.3,24.2,8.0,20.7
Balko,33.0,13.0,19.1,19.9,14.9
Ball Ground,38.0,15.4,28.2,8.9,9.4
Baltic,20.8,13.5,19.3,14.7,31.6
Baltimore,40.5,20.8,23.1,5.6,10.0
Bandana,26.9,16.5,23.2,12.0,21.4
Banks,29.7,15.9,25.6,9.4,19.3
Barceloneta,19.8,28.6,21.4,16.1,14.1
Barksdale,22.7,20.9,26.9,22.0,7.5
Barnesville,57.3,34.8,43.7,24.4,39.8
Barnhart,29.2,18.7,25.4,12.4,14.3
Barnum,30.5,19.8,23.3,12.0,14.4
Barranquitas,58.5,40.0,52.0,27.3,22.2
Bartlett,45.4,14.6,24.9,7.4,7.7
Barton,35.5,17.7,22.5,9.4,14.8
Bartow,30.1,18.1,26.2,11.1,14.5
Basehor,36.6,18.6,23.1,10.2,11.6
Basile,28.0,17.4,24.3,14.9,15.4
Bassett,23.7,17.4,21.6,11.0,26.2
Batavia,30.4,18.4,22.5,11.9,16.8
Bates,34.8,18.3,21.4,13.7,11.7
Batesburg,21.9,14.8,21.3,19.4,22.7
Batesville,27.5,16.8,22.6,11.9,21.1
Bath,28.9,17.6,21.6,12.8,19.1
Bath Springs,28.4,20.9,18.5,13.0,19.2
Battle Creek,28.8,16.9,23.9,12.1,18.3
Battle Ground,22.9,15.9,22.9,13.4,24.9
Battle Mountain,37.5,11.4,15.9,23.8,11.4
Bauxite,33.9,16.1,27.7,11.0,11.2
Bay City,52.2,41.3,49.3,25.9,31.5
Bay Port,27.3,16.4,22.0,13.3,20.9
Bayamon,33.4,17.5,33.6,7.6,8.0
Bayport,37.8,17.5,25.7,9.4,9.5
Beach,36.4,20.2,20.0,17.9,5.4
Beach Haven,34.5,18.5,27.4,10.7,8.9
Bealeton,42.6,15.4,22.3,12.2,7.5
Bear Creek,39.4,16.6,19.8,11.5,12.6
Beattyville,22.0,29.5,22.1,13.1,13.3
Beaufort,33.6,24.3,24.9,9.8,7.6
Beaumont,24.5,12.8,24.7,10.2,27.8
Beaverton,67.7,39.400000000000006,46.5,19.4,27.0
Bechtelsville,31.3,16.3,24.2,9.2,18.9
Becker,34.0,16.1,23.4,10.7,15.8
Bedford,23.8,16.0,19.0,18.8,22.3
Bee Branch,25.3,16.7,22.1,19.6,16.3
Beeson,31.2,19.3,27.8,10.4,11.2
Beeville,21.3,26.4,22.4,14.5,15.5
Bejou,33.5,17.5,20.4,14.6,14.0
Belden,22.8,10.7,25.7,7.9,32.9
Belgium,46.5,14.0,22.5,6.8,10.1
Bella Vista,31.4,21.4,27.4,10.8,8.9
Bellaire,26.3,23.0,22.3,11.0,17.4
Belle Plaine,41.1,14.6,23.8,8.1,12.3
Belleview,22.5,25.2,20.9,12.1,19.3
Belleville,34.7,19.5,24.7,8.1,13.0
Bellevue,70.5,33.3,49.900000000000006,23.3,22.9
Bells,31.4,18.2,24.9,11.2,14.3
Belmont,32.1,21.0,19.5,11.7,15.8
Belpre,30.4,16.9,25.4,10.4,16.9
Belvidere,33.2,18.1,24.1,10.2,14.5
Bend,22.3,25.2,26.0,9.6,16.9
Benicia,32.5,20.1,25.3,10.1,12.0
Benkelman,41.3,9.1,16.4,22.5,10.6
Bennett,33.9,14.2,24.3,10.3,17.3
Bennington,55.6,43.1,41.8,21.0,38.599999999999994
Benzonia,29.7,22.2,22.5,12.5,13.2
Berea,58.0,25.8,46.599999999999994,26.4,43.2
Berkeley Springs,30.9,19.0,19.0,15.8,15.2
Berlin Heights,29.5,22.4,22.0,8.1,18.1
Bern,25.3,19.3,23.8,16.1,15.6
Bernalillo,39.7,17.5,25.0,10.0,7.8
Berryton,30.1,18.8,21.1,14.6,15.4
Berthoud,33.1,16.8,23.3,13.1,13.7
Berwick,25.3,19.2,21.5,12.3,21.7
Bessemer,28.4,24.8,17.1,10.9,18.9
Bethlehem,72.6,33.3,51.3,18.4,24.4
Bethune,31.4,18.1,22.7,19.1,8.7
Beulah,70.5,35.5,40.5,29.2,24.4
Biddeford,34.1,19.0,24.4,9.9,12.6
Big Cabin,28.3,17.8,22.1,14.4,17.5
Big Pine Key,32.1,23.9,25.5,10.9,7.6
Big Rock,54.5,35.3,46.7,32.4,31.1
Big Sandy,63.6,40.900000000000006,40.5,23.799999999999997,31.2
Big Spring,44.1,5.0,19.2,27.3,4.4
Big Wells,19.3,23.5,31.9,17.0,8.3
